miliseconds,x,y,z
0,200067883.8719284,99982747.52717763,400104405.1340371
100,199790701.07586992,99967438.94861598,399815202.3669555
200,199693007.7411496,99945116.69786228,399751982.4081299
300,199621132.84351435,99931928.61164641,399575265.69172215
400,199463732.5650199,99882264.70520937,399312918.47551835
500,199295257.1553097,99883468.93583204,399240404.96268487
600,199320261.54546827,99845063.8938838,399026931.28824794
700,199158407.1401381,99822941.98709795,398882790.7999124
800,198943905.5501632,99793150.74851382,398556002.87835664
900,198876289.74428698,99789522.79890382,398497828.866517
1000,198708253.60892233,99754183.26072165,398136632.4059869
1100,198564132.70852503,99723908.70719613,398196928.27252555
1200,198505027.48783436,99692716.34320788,397987239.68228316
1300,198432670.0096695,99659700.96848331,397767145.3504221
1400,198258532.96594104,99661770.1247966,397561676.2064812
1500,198116264.23528576,99631320.62490602,397406624.07354665
1600,198102724.3376124,99616214.61363457,397245443.7301229
1700,197941703.7903662,99586428.3367306,397035053.79879904
1800,197722703.17824683,99544428.5884199,396741738.7342029
1900,197689182.56632093,99536043.29535782,396627249.86884916
2000,197489068.6669299,99497176.31921808,396467660.09548455
2100,197367739.63519818,99471267.76336747,396335060.3191362
2200,197326846.28164554,99472502.80127499,396244517.6134436
2300,197106915.52464736,99445855.12371472,396079953.04762685
2400,197085285.9128914,99405880.14844084,395861165.7538143
2500,196890597.34370202,99378701.66034769,395690986.7304328
2600,196866825.71419242,99342489.74691139,395390736.89011544
2700,196668033.48955464,99322094.85265747,395396919.26855135
2800,196651095.0799851,99322274.88537605,395271025.6741283
2900,196470235.90019214,99285325.07643837,394910079.283167
3000,196291552.5069007,99271455.46459879,394774039.1955658
3100,196133646.4556804,99226333.68116403,394519269.10791904
3200,196017590.00329405,99220281.19421889,394584849.028781
3300,195919553.35548556,99197204.64845453,394367341.3386359
3400,195932138.80385274,99148205.7175633,394092981.6143787
3500,195691315.39488336,99123257.85863455,393970823.2775706
3600,195555067.5136788,99129293.93648924,393827634.72991914
3700,195508827.10539946,99091612.83916992,393526848.9512404
3800,195303848.98243093,99071063.73498927,393332716.2188363
3900,195331889.5713756,99051874.0904689,393184596.2965749
4000,195146396.78958023,99011679.9898914,393057897.6777245
4100,194991863.51735893,98985817.42403328,392826260.4942192
4200,194817323.1823777,98969940.64733966,392802894.6573328
4300,194839029.8019625,98959843.62713222,392512512.50496507
4400,194745772.92111847,98911752.90597299,392455700.8993603
4500,194485951.67224222,98918559.07896991,392298332.3276163
4600,194388782.00666076,98862509.71128602,392185953.01341105
4700,194338824.4297079,98868942.16648161,391958691.32403296
4800,194232639.02718234,98846071.86536151,391888464.37720805
4900,194071021.6849287,98793291.74960211,391528756.88215065
5000,194017983.3961411,98770285.96089621,391420012.90217507
