miliseconds,x,y,z
0,199953422.06440303,100011652.56656697,400066577.61916584
100,199965873.03136593,99979377.89489271,399853129.3623497
200,199821066.4271493,99934847.64060803,399760837.69516814
300,199561685.1053361,99916788.7062141,399458553.25594485
400,199575587.64084005,99890906.33805507,399201765.8992883
500,199367327.0269137,99885236.27256918,399199367.5289465
600,199288877.7268819,99842958.97444242,399005779.2671491
700,199069141.18023726,99810226.93118563,398879194.27956945
800,198932909.25195366,99799515.8055096,398664380.0629701
900,198807167.71584138,99791672.58379515,398442957.25911963
1000,198701388.47997814,99747451.64361733,398312191.83019143
1100,198693565.26781198,99728270.5884469,397992854.6922501
1200,198448250.77330658,99689621.75040458,397921483.07707953
1300,198338454.3508987,99661830.42438935,397672151.75895625
1400,198289631.4625273,99633741.79740034,397461509.44866234
1500,198079218.74692968,99618575.50837028,397312993.43502
1600,198013072.92189908,99591221.08716182,397223017.75342155
1700,197923942.8849793,99589188.53202029,396949931.19979864
1800,197798293.38675848,99539590.54746981,396787187.98938745
1900,197707157.26391977,99531043.08237022,396604417.4704671
2000,197554140.53817132,99494668.41650984,396408475.77809745
2100,197392047.72370598,99491835.82401173,396294035.6857342
2200,197335304.1224544,99438613.01124029,396103834.5654939
2300,197259483.89447594,99419340.249811,396007283.2967832
2400,197007083.26297802,99402830.61639777,395751325.6185967
2500,196951915.9331148,99386656.91981487,395708350.6195818
2600,196762663.6405732,99372941.17286207,395371714.36998314
2700,196710793.3033053,99342080.29855013,395258441.36640954
2800,196609702.9760112,99297809.23691061,395184669.8843593
2900,196519450.13791558,99280726.07592498,394970412.0056571
3000,196287760.6288859,99268233.06557462,394847069.5213665
3100,196250430.09827626,99226520.38186283,394600260.58261853
3200,196068647.1076772,99195175.88037105,394579056.55843925
3300,196019527.78431326,99190894.70610517,394200667.91431606
3400,195889069.89463487,99173967.3019187,394094032.709983
3500,195763469.9130358,99133051.83353004,393962924.87359357
3600,195666679.78458956,99115846.870128,393706145.25881594
3700,195469639.17353162,99079760.41661255,393681716.6308811
3800,195401886.75532663,99059681.53334571,393331380.52258873
3900,195270714.5827248,99053788.82575904,393186560.9522528
4000,195166115.6346069,99035978.97829813,393029674.8973802
4100,195043174.54283133,99002951.74877122,392829359.9103617
4200,194855042.45576745,98967734.129639,392782115.6152235
4300,194859035.49173015,98937978.43139648,392554040.1544003
4400,194673689.50328657,98909865.89787172,392551934.0889117
4500,194506470.47327062,98921063.29202701,392208477.7756334
4600,194486823.76108924,98872389.5906011,392169786.2438254
4700,194298216.5113797,98843830.09627993,391946100.46396434
4800,194180855.30732197,98815576.4085935,391682353.7444322
4900,194075852.81410044,98799496.64072552,391561402.774107
5000,193999731.01574865,98773055.17957371,391320290.2512551
