milliseconds,T,B,I,S
0,0.14,0.000392,0.000284,0.000439
100,0.1400068343246389,0.00044096767043606914,0.0003011495693581389,0.0004849179748544194
200,0.14001465370046678,0.0004817372410111784,0.00032049501497697773,0.0005100649114257712
300,0.14002305130629103,0.000505883395361731,0.000341048615356401,0.0005337694737993746
400,0.14003191611111473,0.0005319616427196638,0.00036253614494380696,0.0005701632240145567
500,0.14004155912339003,0.0005778117661201245,0.00038569037611217927,0.0006100272549104842
600,0.1400518477227887,0.0006000276828797261,0.00041017933100409316,0.0006294510841754696
700,0.14006253652666986,0.0006200566665350828,0.0004354082372006737,0.0006501121930641864
800,0.14007378238151938,0.0006618762713666363,0.00046174470624182337,0.0007040771584244964
900,0.1400857606138909,0.0006857183948470224,0.0004895945465181174,0.0007166619781481215
1000,0.14009810146264928,0.0007030839296624519,0.0005180652000520552,0.0007340937111585861
1100,0.1401108206944807,0.0007322161954406453,0.0005471892147763521,0.0007804282957665936
1200,0.1401242703604173,0.000763552051995798,0.0005777980719453268,0.0007963549108215848
1300,0.14013810060761292,0.0007787363477631114,0.0006090456833148371,0.0008109608577641737
1400,0.14015220770300965,0.000796138630192192,0.0006406801345467855,0.000838539840394377
1500,0.14016690916211463,0.0008335852327767252,0.0006734540412356809,0.0008698659215688216
1600,0.14018207832932292,0.0008476642875772504,0.0007070542049571994,0.0008810274482022324
1700,0.14019747552485984,0.000859815730602686,0.0007409040048003753,0.0008936864577533738
1800,0.1402132634107032,0.0008940037963352904,0.0007753889090594941,0.0009398997246890394
1900,0.14022962299410896,0.0009104597708973838,0.0008109320507896176,0.0009449844020860102
2000,0.14024618947244952,0.0009206739052394088,0.0008466569664228804,0.0009551455217070915
2100,0.14026298380305222,0.0009428783033882099,0.0008826122993408096,0.0009944460607811442
2200,0.140280363427186,0.000967514381183377,0.0009196455183701836,0.0010035692083360647
2300,0.14029798300351645,0.0009762024063745011,0.0009569251707024507,0.0010115742476860736
2400,0.14031574321833695,0.000987312736808932,0.0009942133628416013,0.001032761089006569
2500,0.1403339664174047,0.0010186709951590098,0.0010322770092569726,0.00105790604942866
2600,0.14035253022706118,0.0010268425470998834,0.0010708163656973641,0.0010630639997743262
2700,0.14037119877311446,0.0010332776567025326,0.0011092672168458973,0.001069922261975267
2800,0.14039013905827452,0.001061938595086659,0.0011480280307899866,0.001110513123954118
2900,0.14040953635744224,0.0010730318824374917,0.0011875345893613653,0.0011101519711205208
3000,0.14042902917681302,0.0010780542065203314,0.0012269215363910587,0.0011150436142397858
3100,0.14044864214429267,0.0010952338738717169,0.0012662488207516188,0.0011492352398640086
3200,0.14046873672931873,0.0011149928775939317,0.0013063754060478534,0.0011533980449402606
3300,0.14048897052335346,0.0011189657297492098,0.0013464797593924459,0.001156618307470066
3400,0.14050924760520997,0.0011255079013993876,0.0013863345507004305,0.0011731753783770216
3500,0.1405298939743849,0.0011524480068155502,0.001426717066942463,0.0011938200736447888
3600,0.1405507902629591,0.0011563453873931948,0.0014673370386341204,0.001194640229597596
3700,0.14057170342782666,0.0011586380000025156,0.0015076394609818086,0.0011972864072874276
3800,0.1405928035503904,0.0011832778134226094,0.0015480318182409395,0.0012337994202862854
3900,0.14061427883236238,0.0011904838217243862,0.0015889584047885585,0.0012294864518376041
4000,0.1406357702000645,0.00119174365760283,0.001629562109277881,0.0012305548083380495
4100,0.14065730499623066,0.0012052782830595658,0.0016699110693823552,0.0012610438159167431
4200,0.14067924777618016,0.0012215105908547216,0.00171087258743974,0.0012616266550898225
4300,0.14070125818880042,0.00122206767129842,0.0017516322847742933,0.0012613742621728659
4400,0.14072324257002308,0.0012253015969155032,0.0017919699610361233,0.0012745674077586232
4500,0.1407455296850049,0.0012490379402659746,0.0018326703416028625,0.0012919802727038411
4600,0.14076800247228707,0.0012498414385075784,0.0018734502961055433,0.001289640097387478
4700,0.14079042961521931,0.0012491292580672625,0.001913760777649891,0.0012892327153580904
4800,0.14081298348311663,0.0012708586482882726,0.0019540157025027412,0.0013227893169601944
4900,0.14083585468375884,0.0012752512669772544,0.0019946659521528757,0.0013156203935509158
5000,0.14085868557657147,0.0012737823909163772,0.0020348597815811977,0.0013139161301934314
