miliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,ARF,ARF_Mdm2,damDNA,p53deg,p53syn,mdm2deg,mdm2syn,Mdm2mRNAdeg,Mdm2mRNAsyn,totdamDNA,totp53,totMdm2
0,4.997705467339141,5.002868403972086,94.9983065534855,-1.9202929023824477e-05,0.0,0.0,0.0,0.0018336019777590172,0.0017724958756450686,-4.79204323212937e-05,8.594783590022613e-10,9.303200808291526e-10,-3.411553243944005e-05,0.0,99.9999835832319,100.00003506129704
100,5.003542119973334,5.002817199343844,94.99850100236861,7.373513298550928e-05,0.0,0.0,0.0,0.004028169575907501,0.006757889773308467,0.00019745226892768934,-3.458277756296718e-08,3.108342522332152e-09,5.714597262156042e-05,0.0,99.99996661719808,99.99972054044794
200,5.008216104611071,5.006801679278253,94.98676457745947,0.00010307569033407717,0.0,0.0,0.0,0.017243589765450863,0.021282255180120148,0.0003914134027957247,3.502890322082909e-08,7.339833207691629e-09,8.664923679568006e-05,0.0,99.99993555281786,99.99963007038767
300,5.013014496751718,5.011967525419015,94.98407937852528,0.00015114905211501296,0.0,0.0,0.0,0.0214149882892857,0.019217820822180667,0.0005834226123832297,1.5795958159803755e-08,1.0223325753122898e-08,0.00016878127653237776,0.0,99.99989178257975,99.99921910935679
400,5.017712342380393,5.020144970985973,94.97760943563452,0.00023736429513663936,0.0,0.0,0.0,0.03295700674903444,0.03216865507794709,0.000905375165069854,6.433875665763055e-08,1.8492360603364887e-09,0.00018798510682310263,0.0,99.9998411283513,99.99925367271504
500,5.0252114320507735,5.023226169475412,94.97706734533783,0.0002371410851804135,0.0,0.0,0.0,0.040292136883204904,0.0404157699595979,0.0011643033223922386,4.22575349437369e-09,8.339233947304029e-09,0.00028867011681185895,0.0,99.99980703793568,99.99883577628256
600,5.0269699377815105,5.031979822059972,94.97013255249394,0.0002797418332923269,0.0,0.0,0.0,0.041433338195730335,0.050583138623350184,0.0013249129058716526,5.0200221864037035e-08,1.7785875446187364e-08,0.0003002235721990683,0.0,99.99977019585593,99.9988304776696
700,5.030761812846535,5.034700468360439,94.96761045317812,0.0003331442067513114,0.0,0.0,0.0,0.05767382661334594,0.05256262951166678,0.0014227480020742563,4.442309371609108e-08,8.204766083504873e-09,0.0003688680642483605,0.0,99.99975827287535,99.99858852330404
800,5.038326755125074,5.041190868269972,94.960508770846,0.00037036961430999155,0.0,0.0,0.0,0.06416577219696679,0.061960026917053185,0.0017565785783133351,5.396892402622413e-08,1.8691298896627243e-08,0.00036838927632191587,0.0,99.9997257061691,99.99835219317667
900,5.045233522870119,5.044244333953512,94.95642386919263,0.0004619158326568634,0.0,0.0,0.0,0.06672635988775387,0.07061557879127946,0.001933632376293673,1.2839208905605313e-07,2.5878329219460967e-08,0.00044661510267666847,0.0,99.99966573110824,99.99802727774866
1000,5.044770898754618,5.047191162874894,94.94938428827557,0.0005083804539952667,0.0,0.0,0.0,0.07852756911028523,0.07553388038373582,0.0020445124692067243,1.084842448306606e-07,2.0860934518907077e-08,0.0005379377125939815,0.0,99.99965711988067,99.99793969328874
1100,5.049761380644052,5.057991243925451,94.94741829476048,0.0005180867730636698,0.0,0.0,0.0,0.08226912817225984,0.08182790207178842,0.002346875210287762,1.3690596108009648e-07,2.1977961324141825e-08,0.0005845763378984151,0.0,99.99960033795051,99.99747612492918
1200,5.05781062145381,5.059065194805374,94.93781970541015,0.0006132289773778919,0.0,0.0,0.0,0.09886935189402264,0.08914585637831825,0.0024961746242899876,1.8496694233650599e-07,3.7460715180919176e-08,0.0005977847769449642,0.0,99.99957497895747,99.9973356456984
1300,5.060890183639007,5.06426476221318,94.9314451996294,0.0006351605709946877,0.0,0.0,0.0,0.10386265437067108,0.09778385922122865,0.0029100472819903744,1.928918664893864e-07,3.544520309641408e-08,0.0006323776695578108,0.0,99.99956645327684,99.99711280488074
1400,5.068080968121382,5.069065213603701,94.92829070326695,0.0007263836181609005,0.0,0.0,0.0,0.11451280013206351,0.111405976098696,0.0029880873743698146,2.5715520309304733e-07,4.384742043570657e-08,0.000693833927083756,0.0,99.9995039371912,99.9968916280831
1500,5.069228862982521,5.076801409798834,94.92120518808989,0.0007815250471494272,0.0,0.0,0.0,0.12131225366410908,0.11360902297879963,0.0034120585036814294,3.0691551270330387e-07,5.6676123344306585e-08,0.0007276899004518646,0.0,99.99948433626221,99.99662079594303
1600,5.074531567272197,5.078390186405899,94.91773979512443,0.0008068676361726639,0.0,0.0,0.0,0.12637255460899574,0.12095899700567142,0.0034485859867617744,2.8391734717891885e-07,6.741409344821069e-08,0.0008002602198223702,0.0,99.999463741008,99.99661626651708
1700,5.080117091906802,5.082767341804113,94.91819737536179,0.0008779607588726751,0.0,0.0,0.0,0.12974205137827985,0.1316655685898877,0.0038256558095886768,4.0049447983507454e-07,7.21930084472524e-08,0.0008580651960034876,0.0,99.9994369413908,99.99618936726273
1800,5.083379696592132,5.086576722407105,94.90835377025208,0.0008912955495961757,0.0,0.0,0.0,0.1422459102354346,0.1374870751411957,0.0038695653026573364,4.270200324509955e-07,8.7515401854699e-08,0.0009397390076270585,0.0,99.999379831156,99.99604345041246
1900,5.088165508449902,5.095670023776797,94.90197205812179,0.0009920083229027475,0.0,0.0,0.0,0.147049783081093,0.1516888603717535,0.004171805368695025,4.014284223344677e-07,9.6821445904098e-08,0.0009639827090746475,0.0,99.99936846087265,99.99600845301089
2000,5.0940302277768605,5.096124274766947,94.90178157593905,0.0010268321012793416,0.0,0.0,0.0,0.15129690483012245,0.15190081953280174,0.004504739841272441,4.861360726534177e-07,9.824297826260707e-08,0.0009974630943594505,0.0,99.99933899613144,99.99564046496286
2100,5.0981507122676994,5.103357622647091,94.89389612507276,0.0010441519789870367,0.0,0.0,0.0,0.16756679323376783,0.16009390721172528,0.00463054383740957,5.767351387643479e-07,1.0470962070084071e-07,0.0010789048136093163,0.0,99.99929905014811,99.99531479340357
2200,5.104836300692948,5.105695462831269,94.88991173120365,0.0010820848758250085,0.0,0.0,0.0,0.17722604050374258,0.1767238104069926,0.00474297025793584,6.11770050288392e-07,1.247546663558539e-07,0.0011367552742841613,0.0,99.9992703163736,99.99505629183658
2300,5.109192177107713,5.116485103515653,94.88621278697602,0.001165953344839994,0.0,0.0,0.0,0.17539935436982376,0.1792653976352605,0.005189089870825513,6.742135847259094e-07,1.3300123625713045e-07,0.0011629793313519489,0.0,99.99925683259515,99.99511994425663
2400,5.116326708045769,5.119509620313003,94.87831349408788,0.0012168876616005483,0.0,0.0,0.0,0.19227405332709394,0.19177156036171955,0.00541004564442137,7.459591814859357e-07,1.4354680040338718e-07,0.001248085061663122,0.0,99.99922743525758,99.99480015117022
2500,5.116963718077992,5.124660557640045,94.87622814998119,0.0012739239304326601,0.0,0.0,0.0,0.2011864982845731,0.19601483911712606,0.0054005738113021,8.183709584311355e-07,1.5660944493111846e-07,0.0012524053060666744,0.0,99.99920449925668,99.99460897700641
2600,5.124140581793251,5.132229981009758,94.86706425548265,0.0013515990721114147,0.0,0.0,0.0,0.20920636918149493,0.203704935220772,0.0056243112436638485,8.840385687824961e-07,1.6992196614257924e-07,0.0013320036769923745,0.0,99.99915512782378,99.99420313545617
2700,5.127397543721931,5.1362448551880115,94.8627169173019,0.0013890033049655964,0.0,0.0,0.0,0.20830673624235282,0.21307267235365693,0.005965145506592725,8.68208283416385e-07,1.8199412497538087e-07,0.0013467308398946722,0.0,99.9991257896311,99.99409813777466
2800,5.1322986528439785,5.137924197624999,94.85932411039002,0.001424775003735412,0.0,0.0,0.0,0.2232092196965793,0.22306728986723823,0.006190125074082986,9.80571250462682e-07,1.9091404722973934e-07,0.0014535494086405595,0.0,99.99911698652046,99.99383569881012
2900,5.135508575444689,5.141529432632631,94.85829430680718,0.001487130689180881,0.0,0.0,0.0,0.22524819925202763,0.22392339111102455,0.0062567412096071,1.071324888794463e-06,2.1051420159793518e-07,0.0014735355456635298,0.0,99.99909904433636,99.99377850030919
3000,5.141996301688102,5.149270600568522,94.85319817918423,0.0015285250268391706,0.0,0.0,0.0,0.2311550511440315,0.23625099348073603,0.006581148609278644,1.138047009212327e-06,2.20753670369889e-07,0.0014993156620436926,0.0,99.99907214006488,99.99335784438645
3100,5.147020886357157,5.154245176465652,94.84587337541885,0.0015410995356706484,0.0,0.0,0.0,0.2372611434706902,0.24455669451951867,0.006838444539525344,1.23080733894475e-06,2.336709517862861e-07,0.0015834342001662689,0.0,99.99904000174645,99.993200604526
3200,5.150368824919944,5.15888797037849,94.84408119759938,0.0016307833585236038,0.0,0.0,0.0,0.24487922614675112,0.25435579003592335,0.0071898699490557105,1.3185901687207415e-06,2.5550241531086475e-07,0.0015891713124224186,0.0,99.99901969005987,99.99295656617682
3300,5.1535317015046065,5.159765419579013,94.83414421224538,0.0017092629271024825,0.0,0.0,0.0,0.25936420069332267,0.25163000612697606,0.007263982889156172,1.3167787073035757e-06,2.803772899744543e-07,0.001701047365477599,0.0,99.99898401986877,99.9927094312255
3400,5.160139314211964,5.166219371844437,94.82851600365942,0.0016979494428937631,0.0,0.0,0.0,0.2699970837099298,0.2677467038142557,0.00741326349515554,1.4240354938176654e-06,2.828449336523913e-07,0.001764158671971088,0.0,99.99895823862582,99.99262727196275
3500,5.1634479543782,5.1704385134337265,94.82548373081391,0.0017423369297770409,0.0,0.0,0.0,0.27913124907167514,0.2747774149754161,0.007585763808058082,1.5259172039083333e-06,3.141254644187119e-07,0.0017914007779938513,0.0,99.9989447727535,99.9921540947467
3600,5.168153164002947,5.176208899148542,94.8216677506035,0.001865859032510027,0.0,0.0,0.0,0.2876310973435964,0.28038811019552556,0.008034190433520405,1.635206508029849e-06,3.2324924848514575e-07,0.0018061837387545283,0.0,99.99890929111339,99.9919617200174
3700,5.1758292635427345,5.183703285245017,94.81597090764298,0.001904908444828948,0.0,0.0,0.0,0.2850462658464335,0.28356170309157835,0.008009538855361705,1.7212437425223993e-06,3.404686429500596e-07,0.0018606295022375735,0.0,99.9988937994633,99.99191807157501
3800,5.178078776669338,5.187965210942894,94.81560417118267,0.0019179504546185811,0.0,0.0,0.0,0.2983704673588188,0.2908099643317846,0.008291297025300908,1.8079786573071444e-06,3.6785584376966233e-07,0.0019423620508247647,0.0,99.99888012457748,99.9916465296801
3900,5.187055513102623,5.188284877677275,94.80702854831698,0.0019837898071436316,0.0,0.0,0.0,0.30314512393500603,0.29943539754887644,0.00873982719896401,1.8964107837999907e-06,3.7819181144863447e-07,0.0019645226600625474,0.0,99.99885283860823,99.99151372293066
4000,5.186553241916565,5.197440098191077,94.80016360498378,0.002056324460808199,0.0,0.0,0.0,0.31893445077282107,0.3160198529651338,0.008777933104773327,2.0332989793776783e-06,4.0119243523924043e-07,0.0020153298546935626,0.0,99.99882843841196,99.99104656292495
4100,5.19536538463566,5.202375249129461,94.79947550134855,0.0020651620830738323,0.0,0.0,0.0,0.31529043863261647,0.3253258605416478,0.00913491811294147,2.0673797614209606e-06,4.308521747815331e-07,0.002113210074658158,0.0,99.99879190920043,99.99080876793572
4200,5.196787765366977,5.204960798162517,94.78972291555607,0.0021345788578440448,0.0,0.0,0.0,0.32784444814435737,0.3230026541164262,0.009188088643105342,2.2597999267037924e-06,4.478344718430727e-07,0.0021719104731275133,0.0,99.99877369494611,99.99080998468834
