milliseconds,_75,_79,_84,_96,_99,_101,_105,_129,_147,_153,_174,_181,_198,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,_5,_9,_11,_13,_15,_19,_21,_25,_27,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999999951844375,0.0,0.0,0.0
100,0.00014579727441805355,6.695243816881103e-11,0.001248265481418905,5.87318269441166e-20,0.00153269085530917,9.965581049506167e-06,5.105637220147427e-10,2.872566675228571e-20,0.0011664876971138975,6.694200481799264e-42,9.945217587614946e-06,9.482889706850884e-18,6.461742272647579e-26,2.082411760726841e-05,1.967229636335114e-06,0.00444873153661972,7.717219190550487e-20,1.4819436075100984e-09,4.860242496174535e-41,1.9671905050069386e-06,2.934781630997169e-11,8.439561044831748e-06,6.678246306444881e-18,8.833280058262874e-22,1.0110998993105846e-11,1.4483599997337873e-87,2.8464261779401327e-86,1.980165593316059e-06,9.093809693023374e-06,3.749909303315316e-23,9.824616658677053e-09,8.833280058262874e-22,1.9222305084214863e-06,5.3942077627177366e-21,1.189144586803259e-05,4.965139622709423e-09,5.525576180333833e-16,1.8062832002238614e-15,3.4287330874307884e-05,3.749909303315316e-23,2.65029857583098e-26,1.457749178016942e-20,8.833280058262874e-22,9.82451830585874e-09,1.8059630111784502e-15,1.3371880711362325e-06,3.87166592214312e-16,8.833280058262874e-22,2.65029857583098e-26,0.0999999951844375,3.0369249826981076e-19,4.187932129472313e-26,9.90066052514807e-09
200,0.0002911893158012214,5.340400425193417e-10,0.0024930683424447962,3.698060217669902e-18,0.003012548633717979,1.9854963005507975e-05,4.010090136755204e-09,5.855197740929479e-18,0.0023007492484141295,1.0428623353103609e-36,1.9781735204933882e-05,5.548208530770155e-16,1.6045329349351788e-23,3.820042279891885e-05,3.870602005268128e-06,0.008744085809287868,1.4745126891971808e-17,1.1639523812125277e-08,6.684773546553606e-36,3.870300094159622e-06,2.2832217256446865e-10,1.4397503574388075e-05,3.788695635495214e-16,1.0250178998455977e-19,7.866236648692434e-11,5.603938539881838e-78,9.221668519964755e-77,3.9213161840292085e-06,3.58512724289961e-05,8.404339055034348e-21,3.8612292089743586e-08,1.0250178998455977e-19,7.197068616164894e-06,2.0082864735962192e-18,4.649183141918766e-05,1.972223057234335e-08,1.6217492531048088e-14,5.5913761938257185e-14,0.0001331734253843845,8.404339055034348e-21,1.1307406759139729e-23,5.111507428748707e-18,1.0250178998455977e-19,3.8610772551902615e-08,5.5893417458558444e-14,4.7997183398092135e-06,1.0963328064558991e-14,1.0250178998455977e-19,1.1307406759139729e-23,0.09999999518443749,1.8362901542171676e-17,1.7840727723156156e-23,3.9210553027457386e-08
300,0.000436176457623124,1.7971235282098078e-09,0.0037344181881970554,4.1981925034657056e-17,0.004442142106394871,2.9657794055079276e-05,1.3286848159118371e-08,1.2479143139865792e-16,0.0034039483859827795,1.1742016335402327e-33,2.9510837993903368e-05,5.907175559399821e-15,4.136649533851546e-22,5.277709603966313e-05,5.712565494867538e-06,0.012893456472545948,2.970565196370068e-16,3.856570892269651e-08,6.715926756605438e-33,5.711582600622964e-06,7.495689047556597e-10,1.861426840927216e-05,3.917360991791579e-15,1.6698759229220107e-18,2.5824516813995525e-10,3.909491914269233e-72,5.41627727238705e-71,5.8244136152671445e-06,7.95092279129505e-05,2.073742987944842e-19,8.536729037120957e-08,1.6698759229220107e-18,1.5191883484337454e-05,6.170939176433779e-17,0.0001022602783845999,4.406620759364859e-08,1.1373133974327661e-13,4.1318484123379057e-13,0.0002910144083099082,2.0737429879448422e-19,4.23632066893701e-22,1.4876732489324347e-16,1.6698759229220107e-18,8.535984794266058e-08,4.129501779833789e-13,9.75164038004564e-06,7.436936186158444e-14,1.6698759229220107e-18,4.23632066893701e-22,0.09999999518443732,2.0198145097046484e-16,6.672769912054441e-22,8.73531567780516e-08
400,0.0005807590417115081,4.247417516028804e-09,0.004972324597150759,2.3365140886564277e-16,0.005823900995153472,3.93646111402145e-05,3.091798329462392e-08,1.0299233073316462e-15,0.004477204890133962,1.2188087539229889e-31,3.913379502287147e-05,3.0937869167829436e-14,4.003672034696347e-21,6.508030361156564e-05,7.495469347164014e-06,0.016903799503478575,2.3386766228730643e-15,8.974023751394567e-08,6.397497163091267e-31,7.493221495410897e-06,1.7287089585598852e-09,2.160910357375982e-05,1.9981946145242625e-14,1.1768259090636105e-17,5.955878040917583e-10,1.5987445612349327e-68,1.964616669076951e-67,7.69039504317435e-06,0.00013933400907358855,1.9352556902850688e-18,1.491369885322475e-07,1.1768259090636105e-17,2.5393145026552517e-05,6.376689182530065e-16,0.00017774516966240428,7.779517034228461e-08,4.4318122344299803e-13,1.6928672932933673e-12,0.0005025700567531555,1.935255690285073e-18,5.202654206716803e-21,1.4708608405474922e-15,1.1768259090636105e-17,1.4911422314154218e-07,1.6915436384011038e-12,1.57471123876462e-05,2.811577016837436e-13,1.1768259090636105e-17,5.202654206716808e-21,0.09999999518443643,1.0904811748707393e-15,8.182563175184483e-21,1.5376714012892292e-07
500,0.0007249374181616025,8.271522154273303e-09,0.006206797121211293,8.851863695427346e-16,0.00716012376845796,4.896679979634291e-05,5.9278464986357366e-08,5.219223438939893e-15,0.00552159628074337,4.766632096085631e-30,4.8651859501796286e-05,1.1037444283814604e-13,2.3566994631431063e-20,7.553727947113957e-05,9.22156777452809e-06,0.020781661618320516,1.1366498640047182e-14,1.7205514993535974e-07,2.3061536918587443e-29,9.217330978799177e-06,3.285885230856869e-09,2.374628688644579e-05,6.955273400512164e-14,5.311038824155619e-17,1.1320916658106447e-09,1.501146917114423e-65,1.6304282354161707e-64,9.520173585790792e-06,0.00021462030215476229,1.090680399372973e-17,2.2900989568921856e-07,5.311038824155619e-17,3.7383766633333236e-05,3.838858804680378e-15,0.00027157906447691684,1.2071030185893453e-07,1.253021692892863e-12,5.025866392407478e-12,0.0007629759950110979,1.0906803993729908e-17,3.648116524967206e-20,8.50378753823477e-15,5.311038824155619e-17,2.2895609657934545e-07,5.020794150941489e-12,2.2472969522534285e-05,7.730470350633493e-13,5.311038824155619e-17,3.6481165249672367e-20,0.09999999518443353,4.006669353655961e-15,5.728888517647457e-20,2.3790595947088043e-07
600,0.0008687119452565722,1.4251451332733068e-08,0.007437845285787101,2.6272663814105792e-15,0.008452984918427577,5.8456554557975215e-05,1.0054998766213536e-07,1.9276057469116033e-14,0.006538159420436225,9.518349664471454e-29,5.806626898475752e-05,3.088551634295762e-13,1.0024233717565636e-19,8.44950370834999e-05,1.0893023849161697e-05,0.02453320653597894,4.046159679300176e-14,2.9184008251228566e-07,4.273841781168841e-28,1.088595715864596e-05,5.527153660230595e-09,2.5281951463482184e-05,1.9021052963082508e-13,1.8065901961276787e-16,1.904313656979665e-09,4.540616879829304e-63,4.391118222873408e-62,1.131463894230036e-05,0.00030469006951801676,4.463697950956523e-17,3.241138090684009e-07,1.8065901961276787e-16,5.0825062590221867e-05,1.6249676800244776e-14,0.00038247397481855783,1.7261580707348575e-07,2.893443028108647e-12,1.2169771253764758e-11,0.0010677181550044017,4.4636979509569876e-17,1.793491412017279e-19,3.471026810408794e-14,1.8065901961276787e-16,3.2400581094607216e-07,1.2154568037797527e-11,2.9709475513608696e-05,1.7399267744028162e-12,1.8065901961276787e-16,1.7934914120173739e-19,0.099999995184426,1.1535704916851976e-14,2.8120185500581927e-19,3.392374772917098e-07
700,0.0010120829893882442,2.256466087676284e-08,0.008665478589862368,6.586594973499919e-15,0.009704541789140047,6.78268397468361e-05,1.5672987171891152e-07,5.744459057395874e-14,0.007527892050095156,1.1483271260009297e-27,6.737824556939182e-05,7.308789749734844e-13,3.407379639374153e-19,9.223520526472948e-05,1.2511913212527816e-05,0.028164239328776035,1.1671639644494254e-13,4.548874932061999e-07,4.838329041184455e-27,1.2501079316803348e-05,8.545750418531947e-09,2.6395357239690728e-05,4.4063664994415013e-13,5.050931251589272e-16,2.9444063098234297e-09,4.495713537971113e-61,3.940143223597765e-60,1.3074657994401131e-05,0.0004088915141159404,1.4618504148787193e-16,4.3361406836066585e-07,5.050931251589272e-16,6.544207573374266e-05,5.4011011020565884e-14,0.0005092169097686713,2.3331886244062397e-07,5.812657458152451e-12,2.5600459962119472e-11,0.0014126089643992316,1.4618504148794108e-16,6.877460944657317e-19,1.1166640127343862e-13,5.050931251589272e-16,4.334203453470535e-07,2.556203038055584e-11,3.7302630079045704e-05,3.4141581713362957e-12,5.050931251589272e-16,6.877460944658995e-19,0.09999999518440948,2.805823708820066e-14,1.0765839105644682e-18,4.57243590323447e-07
800,0.0011550509249773284,3.3584076979194376e-08,0.00988970650607045,1.4591012121333912e-14,0.010916741114810342,7.707135041184054e-05,2.2963998097451836e-07,1.4640798294485392e-13,0.008491754283799306,9.413129346149e-27,7.658899609571365e-05,1.5302585760008207e-12,9.811025847734146e-19,9.898651916709148e-05,1.4080227674642962e-05,0.03168022951637427,2.889987554597322e-13,6.664778918457723e-07,3.757599222788538e-26,1.406461126051417e-05,1.2423263152664504e-08,2.721246508827658e-05,9.045577311023268e-13,1.2227891960630919e-15,4.280524970432923e-09,1.9669752623235567e-59,1.594854712837005e-58,1.4801075398490966e-05,0.0005265980735785965,4.0597106737699235e-16,5.5671188325631e-07,1.2227891960630919e-15,8.101141626035245e-05,1.5051836223125098e-13,0.0006506656245566534,3.0262957153272934e-07,1.0549242303721977e-11,4.8584979915748024e-11,0.001793764883599504,4.059710673776594e-16,2.189059445507852e-18,3.022637545876364e-13,1.2227891960630919e-15,5.563918560084492e-07,4.8499273388562226e-11,4.5144039658703e-05,6.0641659394395876e-12,1.2227891960630919e-15,2.1890594455096732e-18,0.09999999518437722,6.031702609124542e-14,3.421238128996724e-18,5.914198639149145e-07
900,0.0012976161343946073,4.767812430018301e-08,0.01111053848076604,2.9408711935198115e-14,0.01209142511799983,8.61844742544899e-05,3.2093546989561144e-07,3.3162818380915074e-13,0.009430670031510666,6.008860714016215e-26,8.569971234051705e-05,2.918565247370375e-12,2.4909779283041375e-18,0.00010493471611341646,1.5599878625848158e-05,0.0350863323552744,6.378755184112374e-13,9.314045597936069e-07,2.2804604220661257e-25,1.5578402733076223e-05,1.7230681886923856e-08,2.782183126673127e-05,1.693974298553393e-12,2.6522818568890705e-15,5.937193475339187e-09,5.90889590455264e-58,4.437573932867386e-57,1.6494714156863964e-05,0.0006572074634107586,9.944267806650293e-16,6.926427671823382e-07,2.6522818568890705e-15,9.735173568411178e-05,3.673417291941599e-13,0.0008057446602969041,3.8036092589738595e-07,1.772184524478377e-11,8.523386376134271e-11,0.0022075857535450443,9.944267806699564e-16,6.050869523402459e-18,7.185436568452888e-13,2.6522818568890705e-15,6.921462939949427e-07,8.506019077796456e-11,5.31578305426522e-05,9.98817358220979e-12,2.6522818568890705e-15,6.050869523417409e-18,0.09999999518431954,1.1799361372230627e-13,9.441618809650682e-18,7.412751794599685e-07
