milliseconds,CtrA,GcrA,DnaA,Fts,Zring,DivK,DivK_P,I,CcrM,hcori,hctrA,hccrM,hfts,Ini,Elong,DNA
0,0.11,0.78,0.6,0.29,1.0,0.66,0.34,0.11,0.5,1.0,0.0,0.0,0.0,0.0,0.05,1.05
100,0.10952392430791491,0.7803580017455035,0.5996369213660785,0.2889867742825006,0.9998695078839284,0.6609246932164888,0.3388703928875436,0.10956087887805917,0.49729987813823884,0.9971818687650195,0.0,0.0,0.0,1.8033468977070056e-06,0.05060722852769801,1.0506072285276982
200,0.10905207911061324,0.7807181002310589,0.5992737847583971,0.28797708826223517,0.9998701849237785,0.6618451209043772,0.33774442653271064,0.10912351051749589,0.4946154441040396,0.9944276031366792,0.0,0.0,0.0,3.610669785684852e-06,0.05122901985207209,1.051229019852072
300,0.10858442053908732,0.7810802456224915,0.5989105892874452,0.2869709291846634,0.9998720970225576,0.6627618460446607,0.33662154186850457,0.1086878876944017,0.4919465976184051,0.9917356043924567,0.0,0.0,0.0,5.421888055851335e-06,0.05186551869207719,1.0518655186920773
400,0.10812090850247116,0.781444392238168,0.59854733429194,0.2859682851932777,0.9998738901508034,0.6636748833991399,0.3355017277179145,0.1082540037044673,0.4892932461106571,0.9891044330149716,0.0,0.0,0.0,7.236927914900995e-06,0.052516833845796876,1.0525168338457969
500,0.10766149842686755,0.7818104892138471,0.5981840192000287,0.2849691429972969,0.9998756437833035,0.6645842446580695,0.3343849763930869,0.10782185103639913,0.4866552861428976,0.9865325139967777,0.0,0.0,0.0,9.055707380887082e-06,0.05318305801138802,1.053183058011388
600,0.10720615588883924,0.7821784972163172,0.5978206436785185,0.28397349225832624,0.9998773789260958,0.6654899393609333,0.33327128145717616,0.1073914238501482,0.4840326374758193,0.9840186480692682,0.0,0.0,0.0,1.0878163140431082e-05,0.053864242292968406,1.0538642422929685
700,0.1067548415656621,0.7825483712494125,0.5974572074516766,0.2829813210919507,0.9998790895294414,0.66639197853136,0.3321606354431833,0.10696271543486971,0.4814252080779842,0.9815614823507873,0.0,0.0,0.0,1.2704222762758745e-05,0.0545604232827856,1.0545604232827857
800,0.106307514832455,0.7829200647660495,0.5970937103585804,0.2819926171286406,0.9998807741513569,0.6672903735883122,0.3310530306209496,0.10653571880911004,0.4788329024321402,0.9791596393025923,0.0,0.0,0.0,1.453381148379081e-05,0.05527161047537689,1.0552716104753768
900,0.10586413549123282,0.7832935316521865,0.5967301523845404,0.28100736802145704,0.9998824347223393,0.6681851359372977,0.3299484592515757,0.10611042700815299,0.4762556255193675,0.9768117787840991,0.0,0.0,0.0,1.6366855382776938e-05,0.05599778014680962,1.0559977801468095
1000,0.10542466367031024,0.7836687261411727,0.5963665335933956,0.28002556146265667,0.9998840718116967,0.6690762769573427,0.32884691360219825,0.10568683309168768,0.47369328280816153,0.9745165840903175,0.0,0.0,0.0,1.820328120069412e-05,0.05673888919551865,1.0567388891955185
