milliseconds,ADP,ATP,MT,Hsc70,Hsp90,CHIP,Bag2,TauH3RUb,TauH4RUb,Nucleus3,Nucleus4,Agg33,Agg43,Tau03R,TauN3R,TauH3R,Tau0_3R,Tau03RMT,TauN_3R,TauN3RMT,TauH_3R,TauH3RMT,TauH3R_Hsc70,TauH3R_Hsp90,Tau03R_Hsp90,TauH3R_CHIP_Hsc70,TauH3R_CHIP_Hsc70_Bag2,Tau04R,TauN4R,TauH4R,Tau0_4R,Tau04RMT,TauN_4R,TauN4RMT,TauH_4R,TauH4RMT,TauH4R_Hsc70,TauH4R_Hsp90,Tau04R_Hsp90,TauH4R_CHIP_Hsc70,TauH4R_CHIP_Hsc70_Bag2,_20S,_26S,Ap,Bp
0,1.0011075199020487,0.011427094450633321,15.001120734629101,0.1000000000083036,0.09999999999930946,0.10000000000006433,0.10000000000017437,-5.441985183086957e-14,1.1615208367748154e-15,-7.921702636337396e-34,-3.3774738558056824e-30,9.40259885492617e-45,-7.1355299896952965e-43,-1.026335333877919e-05,2.313677565831078e-06,2.01881803105141e-09,2.6854361228036396e-06,0.00016262641973168232,4.1394267154593927e-07,0.0011626272386106935,9.92265054597785e-09,-1.3741437199347934e-07,2.4983100874686012e-11,6.798564105359481e-14,2.2203526965342654e-14,5.796596071349278e-13,2.1349571786255276e-13,1.3815170126495867e-05,-5.480541005289451e-07,-8.678105094200961e-08,1.7561101210815157e-06,-0.00038001553587035437,-5.0475020368355544e-08,-0.00017676914793307252,-6.587323264523469e-09,6.3726595450364725e-06,1.1477389480507081e-11,1.5776466264464194e-13,-4.7458803257232094e-14,1.83778519962201e-13,-1.0724349914993919e-18,1.0,1.0,1.2146832743984649e-55,3.573989897162694e-53
100,0.9329128397626054,0.06397288840685081,14.989980824334944,0.1000000000357809,0.09999999999966078,0.09999999999984159,0.09999999999994766,-5.189776112247439e-15,5.862715277539615e-14,4.710386446416232e-32,7.384952159939069e-31,-9.134533393865533e-45,6.312253243409324e-43,0.0027781695409172936,1.0593587255328405e-06,-3.4768045493839614e-09,0.00011530237122806839,0.0038589820717290267,1.6240277922422912e-07,0.0006304143010829375,1.4512278823006484e-08,4.643312697739103e-08,8.519023291051206e-13,2.619490908562872e-13,-1.3358911424041249e-14,1.1279970433195407e-12,-4.9445954491667735e-14,0.0018403999006795257,5.648981416049996e-06,4.8031036440307585e-08,7.97047270680497e-05,-0.0019139788861063693,-9.143532236200719e-08,-0.0006777136876287803,3.22762740274269e-08,5.4308162837052545e-06,-3.844751844814721e-12,3.016115033050178e-13,-1.7685006756952953e-14,2.4391957156296186e-13,1.352638058273171e-18,1.0,1.0,1.2159948350619266e-55,3.568529960723263e-53
200,0.8858199969302741,0.13750573017796977,14.997519905490622,0.09999999999837965,0.09999999999982578,0.09999999999996464,0.10000000000013051,-2.230244506821628e-14,-5.6590585480146246e-14,-1.9441546130790979e-31,-1.1300025088950232e-30,-7.657045948230728e-45,-1.3179369346013474e-43,0.004207036529397843,3.0063109421989422e-06,-1.2962963250406371e-08,0.00018977550145146232,0.0011512171060309535,3.6182411877002087e-07,0.0020825375699224033,-6.851139985815937e-09,-4.4570182267306484e-07,-1.918717048817826e-11,1.5574679085119995e-13,-2.1604905917141705e-14,1.1328761407921961e-12,-1.8606495941999335e-13,0.0028796690751633526,-5.323703036718758e-06,-6.679697957562005e-08,0.00012825697172656793,0.004546884755236284,8.758323028840576e-08,-0.0005180306875888986,-6.217602914863033e-08,4.771033588224481e-06,-2.228252731864977e-12,-1.1341667186434477e-13,5.2311495767560584e-14,2.1547094963552893e-13,1.1923062119537811e-18,1.0,1.0,1.2128991812120769e-55,3.580387616209238e-53
300,0.8355020291046623,0.15944969467514555,14.988453996301342,0.10000000002825819,0.09999999999934973,0.1000000000018198,0.09999999999997207,1.6617300975361176e-14,-2.0932204027481432e-13,8.721333100541551e-32,2.027253142334512e-30,-4.370160475482294e-45,1.3496660765972576e-43,0.005017964476047575,1.142106692380001e-06,8.849075681693667e-09,0.00022993670388847507,0.005264476373031,-2.116775060307297e-07,0.001963116854162648,8.253521972014176e-10,8.024949787578415e-08,-1.5364580479841444e-11,-8.245991750251311e-14,-1.2165813051819599e-14,-3.091796568974165e-13,2.2580950177974494e-13,0.0033151740830846778,4.332798276073665e-06,1.8058447504997119e-07,0.00014984985616994283,0.004349806156470904,-4.652625397831204e-08,-0.00023218501278708691,-5.7312349619402834e-08,3.476930967890122e-06,-4.589099323080776e-12,2.319594079392244e-13,4.594289987232939e-14,-1.0907190634982111e-13,1.0897497638933938e-18,1.0,1.0,1.2116745045905432e-55,3.5725656557546197e-53
400,0.7473855559036678,0.25973818821302486,14.984578624062097,0.09999999996919595,0.09999999999948704,0.0999999999999303,0.10000000000000925,3.6770771685274265e-14,-9.824300630579674e-14,1.026664626796325e-31,-3.374181392800938e-30,-1.0501109355430747e-44,5.725792123848406e-43,0.005244644394711901,2.6733396144737318e-06,-1.8319988889209275e-09,0.00024276625962336835,0.00975359002012061,7.830864338563101e-08,0.0009500588113275161,-2.8567227585149063e-10,-4.4630182532978357e-07,-2.1934632792741074e-11,-5.546086927056834e-15,-2.3033697286294305e-15,-2.8389303603187127e-12,-1.984120031842536e-13,0.0036516349200410546,1.291411551834621e-05,2.760484861409165e-07,0.00016056472150983417,0.003980491252541988,1.012469082008545e-07,-0.0006525916067871831,1.6608200676506173e-08,-1.7546031297643207e-06,3.846025670427527e-12,-3.815542189139417e-13,-1.0547793445348782e-15,1.500393933245344e-13,-1.1418259167558944e-19,1.0,1.0,1.2132892153443962e-55,3.557743413533831e-53
500,0.733604577151141,0.28820607118799235,14.972690460410172,0.10000000003842864,0.1000000000004511,0.09999999999692855,0.10000000000004669,4.239317226775733e-14,-1.6090603392338874e-13,-2.032653597845426e-31,-8.572682390446542e-31,8.680098158713382e-45,2.5333476576494663e-43,0.005572741560850232,2.5483453073754867e-06,1.0982504586841638e-08,0.0002574482814631428,0.014381174843967177,3.53866016880224e-07,0.0015365767151906086,1.4980624486597647e-08,5.474106398463476e-07,9.919464255823363e-12,2.5843898133683617e-13,-1.2861600346562195e-14,5.882657334499105e-13,-2.2749069605144797e-13,0.003782028369157827,3.259306937514655e-05,7.088581342540609e-08,0.0001668052621838331,0.010736712164450653,-2.9554431526004843e-08,-0.0003564148663741186,-1.684901727641294e-08,5.423614951811829e-06,-1.0258667197130564e-12,3.722748987332267e-14,-2.738257819683818e-14,2.425098504661562e-13,-8.165272083471458e-19,1.0,1.0,1.2179134489308868e-55,3.579339703017135e-53
600,0.6422227258568103,0.33961992021578713,14.971151890479067,0.10000000002735998,0.09999999999950471,0.09999999999908198,0.10000000000001756,-3.600099181953263e-14,1.3241424941273622e-13,1.687143308913349e-31,5.751547893377595e-31,9.897418202373647e-45,4.4284313022292725e-43,0.005574281132944882,7.808466570530367e-06,-2.5520294208873604e-08,0.00026780851167893335,0.013920315697488927,-3.99559317956447e-07,-0.0005873290528608051,7.682539434299018e-09,2.377863749785348e-07,3.3236643932024496e-12,3.842494385592826e-13,-2.7531975017426762e-14,-1.80733166437349e-13,-2.527682275034652e-13,0.003852237247199435,4.162825115403289e-05,4.3997442630530525e-07,0.00017516506263782233,0.009149920561255326,1.2059745506661624e-07,5.254891552490503e-05,5.413772583187108e-08,4.9786947284717175e-06,3.701453091291555e-12,2.1295745963415795e-13,-4.277254288839888e-14,-2.1191606761737658e-13,7.190772061971213e-19,1.0,1.0,1.2143277302051556e-55,3.561853190886744e-53
700,0.6220372899055815,0.39955352521895593,14.96018829652717,0.09999999995559757,0.1000000000006837,0.09999999999923304,0.1000000000002445,7.178193931767188e-15,-1.6552331584647784e-13,-3.965961744565696e-32,-3.0100619272583683e-30,-5.599150365861855e-45,1.0163737473183088e-43,0.0056322860012571726,7.959816893894996e-06,1.9202904504116505e-08,0.0002742171544806005,0.021805945090705253,5.19966435811372e-07,-0.0006635476959526148,2.2173725603627927e-09,3.2478694111089314e-07,4.19985208534673e-12,1.6519269618897214e-13,3.176494601578259e-14,2.8394772424157134e-12,1.3151245883522882e-13,0.0038540209539284446,5.6291321209800003e-05,2.038796620978039e-07,0.0001756940211508482,0.014782055468551904,2.089479658990597e-07,-0.00036215476989512205,2.3197316473797958e-08,6.7014158253508495e-06,3.9804675914772824e-12,2.360995832245443e-13,-1.3934914276951312e-14,8.166463566553382e-14,5.966124455191865e-19,1.0,1.0,1.2187216508861809e-55,3.558450184079629e-53
800,0.5963034263108098,0.42585971658648564,14.954929096958312,0.09999999996918986,0.1000000000000869,0.09999999999700498,0.10000000000009336,3.0821075593723296e-14,-8.734799755353739e-14,-1.2680032420979827e-31,-3.3332019010642444e-30,4.648759271700335e-45,4.067898040104981e-43,0.005785791161781914,6.907417413748492e-06,-8.596084385423139e-09,0.0002727096683257448,0.020274336835553446,1.1803961142952478e-07,0.0004341487631957121,-9.898448956260686e-09,-4.852035323918607e-07,1.7937631397024322e-11,-3.5099747905194875e-13,1.3536752266880427e-14,1.4954468749635482e-12,1.1967901245333973e-13,0.0038102870209405218,6.196978152183838e-05,1.7462699155429356e-07,0.0001755639451620521,0.013214237282281377,1.1644671576338837e-07,0.0003619778898914137,3.2713180781441595e-08,-2.3016283608467908e-06,-7.737078494420023e-12,-1.1880866211116429e-13,-3.96188520712963e-14,3.4053423094601055e-13,9.85195679986338e-19,1.0,1.0,1.2157024476942623e-55,3.577035291336167e-53
900,0.544445157529821,0.43897304795145886,14.961444907648872,0.1000000000281099,0.10000000000068918,0.10000000000238297,0.1000000000001075,-4.104197331941479e-14,2.1018471900332284e-13,1.0338125471588112e-31,-8.641961415841878e-31,8.552361823656154e-45,7.369957705890664e-43,0.005708547842956807,9.318484792819634e-06,3.4958704870022825e-08,0.00028834729367244665,0.023112902333433084,-1.83684339008355e-07,0.0012263392560045662,1.4650612597785057e-08,-9.521892686385843e-08,1.3929241605538198e-11,9.275649764742446e-14,-1.1674082526557926e-14,-1.4937218661598767e-12,1.6419949965946986e-14,0.0038883386403452944,7.219270101737649e-05,6.992211278240379e-07,0.00018178967739494828,0.015381482247903375,1.5182329495481464e-07,0.0005421611201101696,3.708711097883135e-08,-3.4795028084981374e-06,-1.044689308518483e-12,1.188327099863601e-13,5.984335496245587e-14,2.36517194438584e-13,1.259626278068729e-18,1.0,1.0,1.2165024935239968e-55,3.5607705602409684e-53
