miliseconds,C,B,T
0,1.1433124720958803,207.99448273370865,10.0
100,1.1426388732960795,208.04746362583637,10.0
200,1.1394915469097031,208.07306957691517,10.0
300,1.137460339944017,208.11867186102583,10.0
400,1.1362032120687726,208.15387317032815,10.0
500,1.13474410523832,208.19312829023048,10.0
600,1.131447232670414,208.2401454486235,10.0
700,1.1306352019350543,208.2857021190013,10.0
800,1.1291816489813904,208.31587048707453,10.0
900,1.1263648467300906,208.36008645709845,10.0
1000,1.1255561918199877,208.38474841303196,10.0
1100,1.1231385105040714,208.4117344370849,10.0
1200,1.1216852356459421,208.43001953268774,10.0
1300,1.1192108075794884,208.4687804281256,10.0
1400,1.1176190145803968,208.50937454851672,10.0
1500,1.1160331246898612,208.53566817562583,10.0
1600,1.1148673728176708,208.5859831676706,10.0
1700,1.113493312786373,208.58748220077635,10.0
1800,1.1127333683887874,208.6125009659376,10.0
1900,1.1112522525010207,208.63942901745693,10.0
2000,1.1087502048680602,208.66643149852035,10.0
2100,1.108779397087107,208.70029628129805,10.0
2200,1.105758879385054,208.72962922532622,10.0
2300,1.105160740066223,208.76485323762964,10.0
2400,1.1038315054525776,208.77699544777306,10.0
2500,1.1017844074166234,208.79661070589188,10.0
2600,1.101999471455927,208.81364121583394,10.0
2700,1.0992018483413666,208.83796400637758,10.0
2800,1.0984389188088084,208.86840340562594,10.0
2900,1.097628280138005,208.89494132813033,10.0
3000,1.0958019136746286,208.92122630794447,10.0
3100,1.094414810282938,208.93716115454467,10.0
3200,1.0942148909668674,208.95654181540178,10.0
3300,1.093837441128803,208.96292778843576,10.0
3400,1.0914854674784302,208.98653891775567,10.0
3500,1.090658856206806,208.9960172516019,10.0
3600,1.0902250398842823,209.04405395956212,10.0
3700,1.0897281791721436,209.05570488020535,10.0
3800,1.088215919050532,209.05703681587238,10.0
3900,1.0865468334906574,209.06698261066947,10.0
4000,1.0856760730965378,209.08468776898283,10.0
4100,1.0857007449896188,209.10829801101923,10.0
4200,1.0829876153789444,209.12887837591927,10.0
4300,1.0839406545942005,209.13949991337935,10.0
4400,1.0822415357485344,209.14612041432665,10.0
4500,1.0821247190061287,209.17030846136527,10.0
4600,1.079835433990759,209.17774230755748,10.0
4700,1.0789383831710413,209.19172832744837,10.0
4800,1.0780852125939917,209.20629269378043,10.0
4900,1.0774627328930528,209.24396460640372,10.0
5000,1.076489809797426,209.2364649329843,10.0
