miliseconds,C,B,T
0,1.1444187862813544,208.02442404118082,10.0
100,1.1426570362164479,208.03576273476526,10.0
200,1.1405922130933075,208.08091639189172,10.0
300,1.1380732500333837,208.12901372697962,10.0
400,1.136988222658723,208.1792420828187,10.0
500,1.1337299446735916,208.22206447558338,10.0
600,1.1330395211000712,208.2459545461542,10.0
700,1.1302045648940122,208.2693102861991,10.0
800,1.1293255546255512,208.32174866951937,10.0
900,1.1274342954064704,208.33001466455437,10.0
1000,1.1259262901908333,208.3949692200861,10.0
1100,1.1242523429142899,208.4068197103136,10.0
1200,1.1221390086856582,208.42850950661474,10.0
1300,1.120741597253685,208.48419436560778,10.0
1400,1.117866726570909,208.49096666381553,10.0
1500,1.116799237440362,208.55089428435483,10.0
1600,1.115644549985514,208.56380433818464,10.0
1700,1.1143347374532477,208.59919671400468,10.0
1800,1.111509950326942,208.64280489042062,10.0
1900,1.1102491799606133,208.66660113246064,10.0
2000,1.108990575680294,208.6819883820806,10.0
2100,1.108183340972257,208.71371467450226,10.0
2200,1.106073195623787,208.72332658384823,10.0
2300,1.104938539069261,208.75500550513064,10.0
2400,1.1045238886039705,208.76293466816196,10.0
2500,1.1024456307515538,208.79814302348512,10.0
2600,1.1007988323298838,208.82008829010556,10.0
2700,1.0999517030011579,208.83959681987162,10.0
2800,1.0982013197988887,208.88096609726276,10.0
2900,1.097792166622365,208.8932613781801,10.0
3000,1.0971121744463768,208.91353995060518,10.0
3100,1.096139434477396,208.92997269849064,10.0
3200,1.0935359350682716,208.9655775109793,10.0
3300,1.0931937136373646,208.97806668854085,10.0
3400,1.0926624287098508,208.98039881483115,10.0
3500,1.0905603188443553,209.0230990588847,10.0
3600,1.0904412869995275,209.02647428747414,10.0
3700,1.087873778640456,209.0461251309655,10.0
3800,1.0877706888852086,209.07530037785153,10.0
3900,1.0865829539736775,209.06504982117013,10.0
4000,1.086673119097853,209.08799579296797,10.0
4100,1.0857966287512797,209.12267721068537,10.0
4200,1.0837068692842453,209.1309073761113,10.0
4300,1.0823989392653295,209.13641049949516,10.0
4400,1.0824076186633518,209.17239139456447,10.0
4500,1.08021614794227,209.1599253686413,10.0
4600,1.080812569688584,209.17093350607055,10.0
4700,1.0785672594593005,209.21150451261997,10.0
4800,1.0777092938527193,209.22735204324576,10.0
4900,1.0777139338216386,209.2225039402772,10.0
5000,1.0767186319036481,209.24095413609558,10.0
