miliseconds,C,B,T
0,1.1438086714605051,208.00884528534436,10.0
100,1.1429731666863028,208.05880528004846,10.0
200,1.1399747068904122,208.07779460837543,10.0
300,1.13739525358199,208.11392965779575,10.0
400,1.135394008040973,208.1603299518714,10.0
500,1.1335445738700547,208.19727415993825,10.0
600,1.1321979281367613,208.2485944012901,10.0
700,1.12998563915066,208.27447549021835,10.0
800,1.1283257023334758,208.31901370657096,10.0
900,1.1266969460699905,208.34027263034415,10.0
1000,1.125286926672138,208.39714058250425,10.0
1100,1.1233858342901606,208.42824124823701,10.0
1200,1.1215051687221167,208.46050346061017,10.0
1300,1.1194469874727586,208.4736497360168,10.0
1400,1.1193140462360822,208.52671545157705,10.0
1500,1.1171613462906373,208.52426617350335,10.0
1600,1.1149122686839021,208.55022046255445,10.0
1700,1.1137641125968596,208.5865482224274,10.0
1800,1.1121875023750918,208.61386318785404,10.0
1900,1.1099739344886972,208.6563041692491,10.0
2000,1.1092491047717772,208.67653497630025,10.0
2100,1.1085808589129862,208.6886980417032,10.0
2200,1.106546595068502,208.7233395675268,10.0
2300,1.104956401626146,208.73772523691363,10.0
2400,1.1040425333874246,208.78422242833042,10.0
2500,1.1027384913356946,208.8113709985984,10.0
2600,1.1015990632956174,208.82611896686132,10.0
2700,1.0999700312105078,208.8607643708442,10.0
2800,1.0991578148865393,208.8769210331405,10.0
2900,1.098217407014515,208.8813164552342,10.0
3000,1.096130939800663,208.90089532648463,10.0
3100,1.096244340039474,208.92776701644738,10.0
3200,1.0951725487684312,208.96589596294456,10.0
3300,1.0925410928985368,208.95773126854783,10.0
3400,1.092872309838396,208.99280034955282,10.0
3500,1.0905943123302317,209.02358253762117,10.0
3600,1.0893453981765842,209.0182353724131,10.0
3700,1.087876155359303,209.056853092595,10.0
3800,1.0869185963470869,209.05799529936544,10.0
3900,1.0871941503452456,209.08526698548886,10.0
4000,1.0850718733860867,209.08981346179664,10.0
4100,1.0852278003535933,209.10670982758575,10.0
4200,1.0842229210564744,209.12050232246258,10.0
4300,1.0831210565969172,209.15330920063803,10.0
4400,1.0821859006716583,209.14835267455987,10.0
4500,1.0814567234078263,209.176583041469,10.0
4600,1.0803760229494712,209.18440809280037,10.0
4700,1.0790250494643194,209.21262098350735,10.0
4800,1.0789326467961773,209.21187339163714,10.0
4900,1.0783301781477956,209.22656253203397,10.0
5000,1.0774604380727355,209.24963545014728,10.0
