milliseconds,Th,T,Cs,Cp,C
0,0.0,100000.0,0.0,0.0,0.0
100,1.575664171786476e-05,105287.55339934703,0.027383751030095046,0.031195466481734706,0.02738282125952568
200,3.719491025172478e-05,110863.1046972909,0.028209945858311217,0.032576222069774605,0.028207155221861097
300,5.875357213074366e-05,116736.3612772673,0.028241894198702242,0.032996044987730865,0.028237159075009326
400,8.026540549852162e-05,122923.19080314408,0.028248800288613672,0.033421482343525745,0.028242120472101236
500,0.0001017201090594437,129440.71638872699,0.028253292605365684,0.03388882956407284,0.02824467330111147
600,0.00012311163471536918,136307.07892885307,0.028255863841627458,0.034403592197030645,0.02824531136948618
700,0.00014443363858567733,143541.49098205287,0.028256516455965726,0.0349708937187811,0.028244038141678734
800,0.0001656793784759593,151164.31010438394,0.028255095215156126,0.035596128555159805,0.02824069942468656
900,0.00018684163491433555,159197.1239359612,0.028251470345659637,0.036285253350908236,0.028235166573535884
1000,0.00020791268082363232,167662.83239327773,0.028245505333592363,0.03704478729354701,0.028227304286292176
1100,0.00022888424441076062,176585.74531214914,0.028237030559692407,0.03788181644322449,0.028216944246053758
1200,0.0002497474546807412,185991.69942103195,0.028225868649172155,0.038804075062034385,0.028203910483763427
1300,0.00027049279878712704,195908.17279981272,0.028211826186189438,0.03981996702676961,0.028188011100032394
1400,0.0002911100744809768,206364.4148074368,0.02819469137963527,0.04093860555591714,0.028169035937582527
1500,0.0003115883392443285,217391.58261622797,0.028174238883533806,0.04216985868435268,0.028146761413532354
1600,0.0003319158635130396,229022.9025513505,0.028150216899322986,0.04352435926691661,0.02812093763012006
1700,0.0003520800764085032,241293.84807912062,0.02812235817363298,0.045013546235240925,0.028091299369795306
1800,0.0003720675149985825,254242.32355164323,0.028090378907523264,0.04664967915894042,0.028057565023086026
1900,0.000391863772812793,267908.8867492999,0.028053979417273122,0.048445839611292146,0.02801943725427494
2000,0.0004114534505975765,282336.9859247364,0.028012845731637533,0.05041591927068252,0.027976604599243993
2100,0.00043082011223263735,297573.2210324546,0.027966649579564903,0.05257458417975484,0.027928741450401123
2200,0.0004499462405365775,313667.6185360591,0.027915052020605187,0.05493723277088166,0.027875511690069524
2300,0.00046881320276785584,330673.9653329766,0.02785770703118319,0.05751990111941896,0.02781657227053002
2400,0.00048740122149381715,348650.1596077317,0.027794267542654724,0.06033914459688678,0.027751579245917965
2500,0.0005056893566500299,367658.6023529927,0.027724389913561246,0.06341187026312696,0.027680192225377254
2600,0.0005236554904788929,387766.60003406694,0.02764774063547391,0.06675515784679954,0.02760208106430727
2700,0.0005412763400916209,409046.86424767936,0.027564004696286233,0.07038596152560142,0.027516934195131248
2800,0.0005585274763021997,431578.01179162774,0.027472895536052592,0.07432079790617875,0.027424468554594
2900,0.0005753833634245436,455445.1253478374,0.0273741655359014,0.07857535183257457,0.027324440030222743
3000,0.0005918174052319669,480740.32875646884,0.02726761717324288,0.08316406182303476,0.02721665457280007
3100,0.0006078020395326994,507563.4805144851,0.027153116854738216,0.08809953244520935,0.027100981966085166
3200,0.0006233088320559519,536022.8527284616,0.027030607791077434,0.0933919693408671,0.02697736864445775
3300,0.0006383085943683015,566235.866682789,0.026900123496863392,0.09904854494420069,0.026845851128000076
3400,0.0006527715221655687,598329.8714360737,0.02676180137559607,0.10507271185012373,0.02670656953795692
3500,0.0006666673677606727,632442.9906079485,0.026615894918019807,0.111463462316164,0.02655977972230398
3600,0.0006799656072886464,668724.9602270661,0.02646278318520176,0.118214663898257,0.026405862675255975
3700,0.0006926356191658499,707337.9955643663,0.02630297879400176,0.12531441604786508,0.026245332462818485
3800,0.0007046468795027815,748457.6988395731,0.026137131883517187,0.1327444670122693,0.02607884013762372
3900,0.0007159691451760095,792273.9629409431,0.025966027853924586,0.14047984846200243,0.02590717145020839
4000,0.00072657261993442,838991.8763987322,0.025790582263364198,0.1484887130559125,0.025731241752439675
4100,0.0007364281103393802,888832.6006599512,0.025611827219987733,0.15673227780999516,0.025552082346383464
4200,0.0007455071483271987,942034.2512083804,0.02543088969544086,0.1651652412250682,0.025370818831157563
4300,0.0007537820724488088,998852.7726528924,0.02524897528652433,0.17373652073392304,0.025188655011154377
4400,0.0007612260708010579,1059562.7781290107,0.025067331549594552,0.18239023319195355,0.025006836257269793
4500,0.0007678132171728964,1124458.4233229128,0.02488722327280751,0.191066803269193,0.024826624882843703
4600,0.0007735184104806417,1193854.2589124616,0.024709892469684486,0.19970479398465152,0.02464926025202108
4700,0.000778317312738059,1268086.114404044,0.024536523240371894,0.20824254231379197,0.024475923791389728
4800,0.0007821862572164853,1347512.0490236916,0.024368212963303812,0.2166199329354472,0.024307710306787016
4900,0.0007851021550132383,1432513.3206337215,0.024205940813131755,0.2247801464203509,0.024145596624068875
5000,0.000787042350979113,1523495.5300021947,0.024050547537471798,0.2326714009570309,0.023990421474758786
