milliseconds,DnaA,GcrA,CtrA,CtrA_P,DivK,DivK_P,I,CcrM,hcori,hctrA,hccrM,hftsZ,Ini,DNA,Count,PodJL,PerP,DivJ,CckA_P,CpdR,RcdA,ParAADP,FtsZ,Zring,CckA_tot,CpdR_tot,ParA_tot,Elong,Z,FtsQ
0,0.7795737696372973,0.6495582406430531,0.03984135663310112,0.07974275808379822,0.659628272440742,0.3391127432241868,0.089983765921038,0.15017718876694583,0.9999966899129301,0.0,0.0,0.0,3.898273266475393e-08,1.0489812532201577,2.0,0.20084441625282531,0.550007066304759,1.000901547895268,0.7596962943770059,0.6595964109175011,0.7397471666993339,0.9964817518412565,0.5302591832623751,0.038659417885546325,1.3,1.0,1.0,0.04900699847387053,1.000000009369772,0.20014545896920988
100,0.7797040769202691,0.6491059483333562,0.03969443073298137,0.07989571269277798,0.6564521423285384,0.342286393891967,0.08992524443507786,0.14995754269901518,1.000000025093391,0.0,0.0,0.0,5.895383445515901e-08,1.0506926818085938,2.0,0.2020266239647802,0.5496022464802404,0.999876373427114,0.7604856542205487,0.6579296732374478,0.7396035467016064,0.9295551240073625,0.5327286846038081,0.04296964134520271,1.3,1.0,1.0,0.04997193385244122,0.9999987979992511,0.2002042989429738
200,0.7795845254508464,0.6560604146305746,0.039357337680293335,0.07939787198234732,0.6541242498763084,0.3456108917541206,0.0892397991784146,0.14893157949636818,0.9999758494686987,0.0,0.0,0.0,2.2368380252588766e-09,1.0498374921598959,2.0,0.2039378044057646,0.5488016521609171,1.0006238745269658,0.7616553838322492,0.6566064409337852,0.7384339998872073,0.8581726390469036,0.5330170773511375,0.04465131443507277,1.3,1.0,1.0,0.050380126757896694,0.9999988243191605,0.1986922221877887
300,0.7790857511085871,0.6554073402945774,0.039368874620838885,0.07938798161903748,0.6524944182997651,0.347199882372346,0.08900584874249216,0.14822543260728815,0.9999131031163684,0.0,0.0,0.0,6.10951435119177e-08,1.0535034442316302,2.0,0.20293339138866642,0.5459505035019588,1.0022686381314931,0.763052205983492,0.6556664802477562,0.7353217483027525,0.8131181427370309,0.5340581299187425,0.04731485852529619,1.3,1.0,1.0,0.05139753917537217,0.9999988299934972,0.19894148237196377
400,0.7783665359831868,0.6572687397032196,0.03925259072921137,0.07897173547626472,0.649991708950007,0.35034931120959567,0.08865909989829168,0.1486859470688815,0.9999044359801437,0.0,0.0,0.0,7.47662097223105e-08,1.051311176336805,2.0,0.20305074537022377,0.5470145356303144,1.0030137954485037,0.7631721997616099,0.6536929710114837,0.7346804610340648,0.7362191160389897,0.5335850140076219,0.04646809199400636,1.3,1.0,1.0,0.052683338315847,0.9999987870866357,0.19709164454024217
500,0.7785401779830566,0.6631409818093498,0.038698278726699974,0.07887548508258062,0.6477099668414882,0.35189214719940776,0.0884247982029779,0.14840972243790837,0.9998702612665696,0.0,0.0,0.0,1.6769257877234573e-07,1.0538972185415392,2.0,0.2070040389719556,0.54474206794805,1.0029749472300544,0.763780454433789,0.6526453576770554,0.7325702626006546,0.7025312683791856,0.5369531989232295,0.04851718839523707,1.3,1.0,1.0,0.05435848336891954,0.9999987914151736,0.1978222241906351
600,0.7782312874887549,0.6631303357740003,0.03882282706871983,0.07874007671446821,0.6453927840443678,0.3535593857008714,0.08806252326931482,0.14725728442721187,0.9998563264557901,0.0,0.0,0.0,1.1539762028698179e-07,1.055698434346565,2.0,0.20721276672444056,0.5447105977560879,1.0040496259111078,0.7643484122486877,0.6511119164366318,0.7314603174936716,0.6621915719431263,0.5393980317035465,0.04925534765275659,1.3,1.0,1.0,0.05328919693328771,0.9999988216367501,0.19665016231267746
700,0.7777217155761523,0.6661955242821024,0.03835396595399781,0.07841304813525816,0.6434416254588635,0.35633734275424156,0.08772421320869796,0.14740185052937463,0.9998537124312026,0.0,0.0,0.0,2.3098302475990034e-07,1.0548101601329973,2.0,0.20652311797762316,0.5425488276405066,1.00568076304834,0.7657302704325646,0.6504457303319654,0.7327875053599017,0.6422420679648393,0.540589472529583,0.0524616316790556,1.3,1.0,1.0,0.055464117581685,0.9999987881403787,0.19659271032560766
800,0.7769140096887691,0.6690804908846232,0.037931688905680674,0.07853311454850566,0.6419512530037691,0.3576694594421601,0.08737484271600048,0.14696421173752278,0.9997962695416065,0.0,0.0,0.0,2.3368026495401693e-07,1.0567607160070478,2.0,0.20852805610055367,0.5413238933139151,1.0051375711815826,0.7656354867810066,0.6485266534984164,0.7299456937317355,0.5995548382597654,0.5394028182325379,0.05545770025573891,1.3,1.0,1.0,0.05433820283168266,0.9999988214524925,0.19599975571635442
900,0.7766824104358646,0.6749527834145657,0.03811539290857106,0.07808093170769344,0.6400331049731136,0.3601542234173934,0.08696176051965952,0.1468844052416819,0.999790311268279,0.0,0.0,0.0,2.0066509901679372e-07,1.0553712225153928,2.0,0.2094002569255195,0.541348955583166,1.0056452088328878,0.7662129265560124,0.6483421869033454,0.7303996219488248,0.5787685688335297,0.5425163518257645,0.05554357525085906,1.3,1.0,1.0,0.05664727875478498,0.9999987888330214,0.19561410039521715
