milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
0,5e-08,1.5e-07,0.0,2.2e-07,0.0
100,4.99931906178027e-08,1.4985033799754796e-07,6.809382197304169e-12,2.1985714739977894e-07,1.4285260022114853e-10
200,4.9993193361921675e-08,1.497010781087101e-07,6.806638078326988e-12,2.1970788476837556e-07,2.9211523162451367e-10
300,4.999319554370459e-08,1.4955213721736333e-07,6.804456295417988e-12,2.1955894169532862e-07,4.4105830467145464e-10
400,4.999319771216018e-08,1.494035539708844e-07,6.802287839821914e-12,2.1941035628043612e-07,5.896437195639528e-10
500,4.9993199873243896e-08,1.4925516855236262e-07,6.800126756105957e-12,2.1926196870085008e-07,7.380312991499733e-10
600,4.999320202845387e-08,1.4910700756954483e-07,6.7979715461291595e-12,2.1911380556282575e-07,8.861944371743239e-10
700,4.9993204183175906e-08,1.4895916667698057e-07,6.79581682409171e-12,2.189659625155499e-07,1.034037484450158e-09
800,4.999320633418847e-08,1.4881158865845079e-07,6.7936658115351165e-12,2.1881838234601127e-07,1.1816176539887859e-09
900,4.999320848297876e-08,1.4866427875809514e-07,6.791517021241499e-12,2.1867107029686324e-07,1.3289297031368068e-09
1000,4.999321063924543e-08,1.4851727117468602e-07,6.789360754570201e-12,2.1852406055718607e-07,1.4759394428139747e-09
1100,4.999321279755681e-08,1.4837054675539663e-07,6.7872024431894236e-12,2.1837733397958102e-07,1.6226660204190396e-09
1200,4.9993214957245796e-08,1.4822410655185023e-07,6.785042754206618e-12,2.182308916163394e-07,1.7691083836606706e-09
1300,4.999321710873811e-08,1.480779656568572e-07,6.782891261893116e-12,2.1808474856985991e-07,1.9152514301401326e-09
1400,4.999321925897782e-08,1.4793211312385103e-07,6.780741022187765e-12,2.1793889388662182e-07,2.061106113378247e-09
1500,4.999322140796491e-08,1.4778654895283165e-07,6.778592035090563e-12,2.1779332756662504e-07,2.206672433375014e-09
1600,4.9993223555699404e-08,1.4764127314379912e-07,6.776444300601511e-12,2.1764804960986963e-07,2.351950390130434e-09
1700,4.9993225702181286e-08,1.474962856967534e-07,6.774297818720609e-12,2.1750306001635556e-07,2.4969399836445067e-09
1800,4.999322784707781e-08,1.473515823799601e-07,6.772152922193217e-12,2.173583545546741e-07,2.6416454453259796e-09
1900,4.999322999042076e-08,1.4720716359749515e-07,6.770009579246452e-12,2.1721393362887005e-07,2.7860663711299993e-09
2000,4.999323213240957e-08,1.4706303188579434e-07,6.767867590437921e-12,2.170697997751841e-07,2.9302002248159632e-09
2100,4.999323427304424e-08,1.469191872448577e-07,6.765726955767623e-12,2.1692595299361619e-07,3.074047006383873e-09
2200,4.999323641232477e-08,1.4677562967468522e-07,6.76358767523556e-12,2.1678239328416633e-07,3.217606715833727e-09
2300,4.9993238550251164e-08,1.466323591752769e-07,6.761449748841729e-12,2.1663912064683454e-07,3.3608793531655258e-09
2400,4.999324068682342e-08,1.4648937574663272e-07,6.759313176586132e-12,2.164961350816208e-07,3.5038649183792694e-09
2500,4.999324282204154e-08,1.4634667938875274e-07,6.7571779584687685e-12,2.163534365885251e-07,3.6465634114749577e-09
2600,4.9993244955905515e-08,1.462042701016369e-07,6.755044094489639e-12,2.1621102516754747e-07,3.78897483245259e-09
2700,4.9993247088415356e-08,1.4606214788528522e-07,6.752911584648743e-12,2.160689008186879e-07,3.9310991813121685e-09
2800,4.9993249219220875e-08,1.4592029262417217e-07,6.7507807791352674e-12,2.159270434267727e-07,4.072956573227365e-09
2900,4.999325134787113e-08,1.4577867841611475e-07,6.748652128877749e-12,2.1578542709007188e-07,4.214572909928173e-09
3000,4.999325347506164e-08,1.4563734521237086e-07,6.746524938368702e-12,2.1564409175914463e-07,4.355908240855443e-09
3100,4.99932556007924e-08,1.454962930129405e-07,6.744399207608125e-12,2.1550303743399088e-07,4.4969625660091735e-09
3200,4.9993257725063415e-08,1.4535552181782368e-07,6.7422749365960185e-12,2.153622641146107e-07,4.637735885389368e-09
3300,4.9993259847874676e-08,1.4521503162702037e-07,6.740152125332383e-12,2.1522177180100405e-07,4.778228198996025e-09
3400,4.999326196922619e-08,1.4507482244053065e-07,6.738030773817218e-12,2.1508156049317092e-07,4.918439506829144e-09
3500,4.999326408911796e-08,1.4493489425835443e-07,6.735910882050524e-12,2.1494163019111133e-07,5.058369808888724e-09
3600,4.9993266207549974e-08,1.4479524708049173e-07,6.7337924500322996e-12,2.148019808948253e-07,5.1980191051747666e-09
3700,4.9993268324522247e-08,1.446558809069426e-07,6.731675477762547e-12,2.146626126043128e-07,5.337387395687272e-09
3800,4.999327044003477e-08,1.4451679573770698e-07,6.729559965241264e-12,2.1452352531957382e-07,5.476474680426239e-09
3900,4.999327255408754e-08,1.443779915727849e-07,6.7274459124684525e-12,2.1438471904060838e-07,5.6152809593916684e-09
4000,4.9993274666680566e-08,1.4423946841217637e-07,6.725333319444111e-12,2.1424619376741652e-07,5.753806232583559e-09
4100,4.9993276777813843e-08,1.4410122625588137e-07,6.7232221861682406e-12,2.1410794949999815e-07,5.892050500001912e-09
