milliseconds,Ttum,Tplas,Tnew
0,1000000.0,4000000.0,0.0
100,999839.2374268731,3739322.8272087374,259.1732071014022
200,999661.7375425202,3495720.7495161803,501.4701654461637
300,999468.6199694639,3268075.932715181,727.9956086245511
400,999260.9317709677,3055342.9556270554,939.7827124276995
500,999039.6515700951,2856544.6988784308,1137.7971565365926
600,998805.6933989384,2670768.503180176,1322.940920336977
700,998559.911304807,2497161.5722458633,1496.0568252186638
800,998303.1035709982,2334926.7603719514,1657.9326967319214
900,998036.0163502652,2183318.9462281903,1809.3049476113067
1000,997759.3471109095,2041641.5937167525,1950.861976109804
1100,997473.7473359193,1909244.0582505006,2083.246827631784
1200,997179.8248723111,1785519.2421940714,2207.0595115594597
1300,996878.1483278149,1669899.2072491958,2322.8613373492544
1400,996569.2490478087,1561853.2015016556,2431.176863884943
1500,996253.6237931143,1460884.9871059183,2532.4965401943714
1600,995931.7371810148,1366530.404250068,2627.279112553925
1700,995604.0229609603,1278356.0981197995,2715.952882575572
1800,995270.8863545323,1195957.1838238805,2798.918014971372
1900,994932.7058614275,1118955.4441595138,2876.548318578612
2000,994589.8350988246,1046997.4941005795,2949.1930604235467
2100,994242.6044951066,979753.0905502661,3017.178635950056
2200,993891.3231212294,916913.3048402674,3080.8103752529832
2300,993536.2791513649,858190.0629050937,3140.37299702239
2400,993177.7431804738,803312.83481795,3196.13388083052
2500,992815.966358806,752030.4962525748,3248.341226952913
2600,992451.1852963271,704106.4343735548,3297.228893438357
2700,992083.6191300306,659321.4744291648,3343.0135038807516
2800,991713.4741756285,617469.2377025225,3385.8990348310786
2900,991340.9418852238,578358.1794682601,3426.074801693764
3000,990966.2020452184,541808.3979222769,3463.718612587761
3100,990589.42192138,507652.4873241344,3498.99592546529
3200,990210.758377308,475733.42385903955,3532.0619371053476
3300,989830.357531893,445904.90754312504,3563.0612455633695
3400,989448.3562867704,418029.83793489763,3592.12935653445
3500,989064.8823369481,391980.3034713021,3619.3926938193804
3600,988680.0550588476,367636.6953039422,3644.9694752052433
3700,988293.9860443714,344887.17432571284,3668.9702392027816
3800,987906.7793519913,323627.4205601937,3691.4980926748103
3900,987518.5324243587,303759.7175041986,3712.649615891808
4000,987129.3360190287,285193.02121623873,3732.514794251097
4100,986739.2751828696,267841.98793377075,3751.177979262094
4200,986348.4290967279,251627.1290899075,3768.717735470201
4300,985956.8720078818,236473.8807663473,3785.2077600291836
4400,985564.6729793738,222312.8538283191,3800.7166355609857
4500,985171.8968400686,209078.88584617365,3815.3087671672024
4600,984778.6038172053,196711.40772123745,3829.0440200325315
4700,984384.8504877059,185153.4943870194,3841.978657721295
4800,983990.6893807155,174352.26138827516,3854.164950177826
4900,983596.1698394753,164258.00480639495,3865.6520237908335
5000,983201.3376830677,154824.53879397592,3876.4855278269574
