milliseconds,species_0000001,species_0000002,species_0000006,species_0000007,species_0000008,species_0000009,species_0000011,species_0000016,species_0000017
0,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05
100,4.1224234792436644e-11,5e-06,9.71095236019801e-10,4.117621426521774e-11,4.509164549825409e-23,1.4214954914185446e-11,2.3346365021644006e-14,1e-05,1e-05
200,4.12242347819905e-11,5e-06,9.711974919989174e-10,8.239185932842418e-11,4.507388013346014e-23,5.613662751008793e-11,3.2963348728924234e-14,1e-05,1e-05
300,4.122423477138618e-11,5e-06,9.711971207532136e-10,1.2360735282889928e-10,4.5072810971720805e-23,1.2455908204333985e-10,4.258029721113159e-14,1e-05,1e-05
400,4.122423476077093e-11,5e-06,9.71194698252914e-10,1.6482264182376224e-10,4.507305398986395e-23,2.1861618569750643e-10,5.2197197993804956e-14,1e-05,1e-05
500,4.122423475015348e-11,5e-06,9.711942284393063e-10,2.060376657568732e-10,4.507367161495495e-23,3.373589235675631e-10,6.18140369371797e-14,1e-05,1e-05
600,4.1224234739541365e-11,5e-06,9.711942494592943e-10,2.472523728603247e-10,4.507363518815786e-23,4.799815692634838e-10,7.143080195090074e-14,1e-05,1e-05
700,4.1224234728931475e-11,5e-06,9.711944803124846e-10,2.884667166414611e-10,4.507333314968138e-23,6.458062402628216e-10,8.10474821898144e-14,1e-05,1e-05
800,4.122423471831928e-11,5e-06,9.711945072755312e-10,3.296806254741535e-10,4.507333108456169e-23,8.33787323793635e-10,9.066406094565705e-14,1e-05,1e-05
900,4.122423470770673e-11,5e-06,9.711944647992379e-10,3.708940533150323e-10,4.507338733983095e-23,1.0432777264091506e-09,1.0028052747481148e-13,1e-05,1e-05
1000,4.122423469709489e-11,5e-06,9.711944654555424e-10,4.121069274928213e-10,4.507337817934739e-23,1.2733187648482563e-09,1.0989686482615373e-13,1e-05,1e-05
1100,4.1224234686483345e-11,5e-06,9.711944523201415e-10,4.5331919358680636e-10,4.5073355197052e-23,1.523158424741766e-09,1.195130603005464e-13,1e-05,1e-05
1200,4.1224234675871794e-11,5e-06,9.711944499038785e-10,4.945307867953924e-10,4.507335175959097e-23,1.7920536913711285e-09,1.2912909876953518e-13,1e-05,1e-05
1300,4.12242346652603e-11,5e-06,9.71194452303624e-10,5.357416473175494e-10,4.507336295011861e-23,2.0792238693527997e-09,1.3874496628092657e-13,1e-05,1e-05
1400,4.122423465464915e-11,5e-06,9.711944487950096e-10,5.769517168570719e-10,4.5073357903781864e-23,2.384254157468491e-09,1.4836064923642256e-13,1e-05,1e-05
1500,4.1224234644038207e-11,5e-06,9.711944464238894e-10,6.18160933260655e-10,4.507335423517252e-23,2.7062633267075977e-09,1.5797613313053877e-13,1e-05,1e-05
1600,4.122423463342744e-11,5e-06,9.711944472630281e-10,6.593692354544228e-10,4.5073355991659705e-23,3.044500680282659e-09,1.6759140371167156e-13,1e-05,1e-05
1700,4.1224234622816856e-11,5e-06,9.71194451602852e-10,7.005765631804387e-10,4.5073363946482303e-23,3.3983182697406006e-09,1.7720644691961482e-13,1e-05,1e-05
1800,4.122423461220664e-11,5e-06,9.711944507061914e-10,7.417828603135183e-10,4.507336228932478e-23,3.767588569602632e-09,1.868212496635954e-13,1e-05,1e-05
1900,4.12242346015967e-11,5e-06,9.711944501824318e-10,7.829880641607526e-10,4.5073361564273976e-23,4.151357003920917e-09,1.9643579731222783e-13,1e-05,1e-05
2000,4.122423459098704e-11,5e-06,9.711944503352178e-10,8.241921144581537e-10,4.5073362568850567e-23,4.5489748622341586e-09,2.0605007580388653e-13,1e-05,1e-05
2100,4.122423458037768e-11,5e-06,9.711944510342339e-10,8.653949515702291e-10,4.507336496586852e-23,4.959932807294627e-09,2.1566407122354437e-13,1e-05,1e-05
2200,4.122423456976867e-11,5e-06,9.711944508225831e-10,9.065965177827502e-10,4.5073364949427437e-23,5.384147555431831e-09,2.252777701043149e-13,1e-05,1e-05
2300,4.122423455916e-11,5e-06,9.711944505807743e-10,9.477967519962664e-10,4.5073364825420224e-23,5.8207851265678954e-09,2.3489115818969833e-13,1e-05,1e-05
2400,4.122423454855169e-11,5e-06,9.711944503002992e-10,9.889955943988745e-10,4.50733645751586e-23,6.269297063164516e-09,2.4450422152351916e-13,1e-05,1e-05
2500,4.1224234537943756e-11,5e-06,9.711944499967819e-10,1.0301929854613456e-09,4.5073364265027084e-23,6.729283698302442e-09,2.541169462157616e-13,1e-05,1e-05
2600,4.1224234527336205e-11,5e-06,9.711944497310172e-10,1.0713888661835672e-09,4.507336412065115e-23,7.200623874227623e-09,2.637293185002489e-13,1e-05,1e-05
2700,4.122423451672906e-11,5e-06,9.711944494717891e-10,1.1125831764876495e-09,4.5073364043292074e-23,7.682629126814505e-09,2.733413243585517e-13,1e-05,1e-05
2800,4.122423450612233e-11,5e-06,9.71194449224073e-10,1.1537758567196247e-09,4.507336406179343e-23,8.174834130773323e-09,2.8295294987145935e-13,1e-05,1e-05
2900,4.122423449551605e-11,5e-06,9.71194448982596e-10,1.194966847310216e-09,4.507336412997378e-23,8.676921571077538e-09,2.925641811394234e-13,1e-05,1e-05
3000,4.12242344849102e-11,5e-06,9.711944487309248e-10,1.2361560887823905e-09,4.507336411993424e-23,9.188735345896611e-09,3.021750042843122e-13,1e-05,1e-05
3100,4.122423447430483e-11,5e-06,9.711944484810336e-10,1.2773435214243316e-09,4.5073364111765625e-23,9.709709028747228e-09,3.11785405373484e-13,1e-05,1e-05
3200,4.1224234463699934e-11,5e-06,9.711944482332533e-10,1.3185290856204543e-09,4.507336410030966e-23,1.0239444373597441e-08,3.2139537049663935e-13,1e-05,1e-05
3300,4.122423445309554e-11,5e-06,9.711944479861008e-10,1.3597127218043874e-09,4.507336408763911e-23,1.0777689558220658e-08,3.310048857549422e-13,1e-05,1e-05
3400,4.122423444249165e-11,5e-06,9.71194447737126e-10,1.4008943704360095e-09,4.507336407968358e-23,1.1324270859642774e-08,3.40613937255671e-13,1e-05,1e-05
3500,4.1224234431888293e-11,5e-06,9.711944474875644e-10,1.442073971875191e-09,4.5073364067678515e-23,1.1878717006565606e-08,3.5022251108280907e-13,1e-05,1e-05
3600,4.122423442128548e-11,5e-06,9.711944472370596e-10,1.4832514665249846e-09,4.5073364049204105e-23,1.244068520502003e-08,3.598305933303981e-13,1e-05,1e-05
3700,4.1224234410683215e-11,5e-06,9.711944469864208e-10,1.5244267948834432e-09,4.507336402983346e-23,1.3009978386028653e-08,3.694381701146472e-13,1e-05,1e-05
3800,4.122423440008153e-11,5e-06,9.711944467365942e-10,1.5655998974598241e-09,4.5073364016082366e-23,1.3586416666964081e-08,3.790452275543801e-13,1e-05,1e-05
3900,4.1224234389480436e-11,5e-06,9.711944464868047e-10,1.6067707146229843e-09,4.507336400265395e-23,1.4169604800140355e-08,3.886517517356593e-13,1e-05,1e-05
4000,4.122423437887994e-11,5e-06,9.711944462370725e-10,1.6479391868066987e-09,4.507336398971326e-23,1.4759247118078935e-08,3.9825772875969533e-13,1e-05,1e-05
4100,4.122423436828007e-11,5e-06,9.711944459873607e-10,1.6891052546047434e-09,4.507336397680461e-23,1.5355192658106155e-08,4.0786314476503734e-13,1e-05,1e-05
4200,4.122423435768083e-11,5e-06,9.71194445737644e-10,1.730268858578163e-09,4.5073363963599293e-23,1.5957260855626168e-08,4.174679858825961e-13,1e-05,1e-05
4300,4.122423434708224e-11,5e-06,9.711944454879572e-10,1.7714299391205119e-09,4.5073363950418393e-23,1.6565119667952912e-08,4.2707223820419616e-13,1e-05,1e-05
4400,4.1224234336484325e-11,5e-06,9.711944452383052e-10,1.8125884367104877e-09,4.5073363937252674e-23,1.717851405516169e-08,4.366758878415313e-13,1e-05,1e-05
4500,4.122423432588708e-11,5e-06,9.711944449886685e-10,1.8537442920860285e-09,4.507336392408978e-23,1.7797348057887544e-08,4.4627892096678434e-13,1e-05,1e-05
4600,4.1224234315290536e-11,5e-06,9.711944447390383e-10,1.8948974458732048e-09,4.50733639109187e-23,1.842145707041551e-08,4.558813237260355e-13,1e-05,1e-05
4700,4.12242343046947e-11,5e-06,9.711944444894216e-10,1.936047838517919e-09,4.5073363897730585e-23,1.9050565928254414e-08,4.654830822233265e-13,1e-05,1e-05
4800,4.122423429409959e-11,5e-06,9.711944442398163e-10,1.977195410573874e-09,4.5073363884515313e-23,1.9684465618799644e-08,4.750841825878525e-13,1e-05,1e-05
4900,4.1224234283505216e-11,5e-06,9.711944439902196e-10,2.0183401025970075e-09,4.507336387126271e-23,2.032294849920825e-08,4.846846109493297e-13,1e-05,1e-05
5000,4.1224234272911605e-11,5e-06,9.711944437406288e-10,2.059481855145487e-09,4.507336385796258e-23,2.0965808296398923e-08,4.942843534379949e-13,1e-05,1e-05
