milliseconds,Cdc25_active,Cdc25Ps216_active,Cdc25_inactive,Cdc25Ps216_inactive,Chk1P,protein_14_3_3,Cdc25Ps216_14_3_3_inactive,p53,p21,MPF,p21_MPF,preMPF,Wee1,Chk1,Rad3_ATM,Wee1_phosphorylated
0,1e-06,0.0,1e-06,2e-05,1e-06,2.0,0.03,0.0,0.0,1e-08,0.0,1e-06,0.001,0.999999,0.0,0.0
100,9.990004950230097e-07,7.307334178543035e-15,2.0009994896967915e-06,-7.289749119150145e-15,3.6787938128072976e-07,2.0795815191227,0.027163310046267906,0.0,0.0009950166250166316,1.0001540031850038e-08,4.821504685523587e-14,5.0999998411753016e-05,0.0010199999998990465,0.9999996321206184,0.0,1.0045204399373474e-13
200,9.980019940510319e-07,9.612245680803249e-15,3.001997982729173e-06,-1.300404797861633e-14,1.3532862390122375e-07,2.1583909997836064,0.024578379317624938,0.0,0.001980132669121675,1.0007959875707815e-08,1.8611505948539213e-13,0.00010099999185400897,0.001039999999796153,0.9999998646713757,0.0,2.0183518011462834e-13
300,9.970044935543702e-07,1.0445500069930083e-14,4.002995479456656e-06,-1.8574532975172927e-16,4.977682739563163e-08,2.2364163130098884,0.022239437252151578,0.0,0.002955446644732374,1.0019258307607611e-08,4.044178806176376e-13,0.00015099998033727416,0.001059999999691267,0.9999999502231723,0.0,3.041917601936899e-13
400,9.960079916077596e-07,1.0737824697920303e-14,5.003991979709132e-06,9.741549823853204e-15,1.8313508833555157e-08,2.3136652613976922,0.020123074983727226,0.0,0.0039210560840659174,1.0035433062803292e-08,6.948680135666543e-13,0.00020099996387206869,0.0010799999995843345,0.9999999816864908,0.0,4.075665656006919e-13
500,9.950124868768616e-07,1.0831477767187629e-14,6.004987483707892e-06,-1.234381375804e-14,6.7383423545915824e-09,2.390145569901271,0.018208111213045133,0.0,0.004877057548880258,1.0056480936513258e-08,1.0501359887076765e-12,0.00025099994246892686,0.0010999999994752972,0.9999999932616573,0.0,5.120067685231132e-13
600,9.940179782463923e-07,1.0852112294558533e-14,7.0059819920335334e-06,-2.5305628402860498e-14,2.4827754009235105e-09,2.465864886578354,0.016475380346181248,0.0,0.005823546640125592,1.0082397874959512e-08,1.463727425682239e-12,0.00030099991613839684,0.0011199999993640952,0.9999999975172243,0.0,6.175618937835257e-13
700,9.930244646829066e-07,1.084599742744526e-14,8.006975505476067e-06,-1.7157266203981128e-14,9.141578622810734e-10,2.5408307835133592,0.014907540621378055,0.0,0.006760618007506128,1.0113179057818368e-08,1.9299006832412264e-12,0.00035099988489104066,0.0011399999992506651,0.999999999085842,0.0,7.242837811344926e-13
800,9.92031945184747e-07,1.0830052787642148e-14,9.007968024930829e-06,2.5179409567870167e-15,3.36654726768494e-10,2.615050757308173,0.013488900574368072,0.0,0.007688365358945037,1.0148818972773061e-08,2.443592406296181e-12,0.0004009998487374338,0.001159999999134941,0.9999999996633452,0.0,8.322265480672043e-13
900,9.91040418763384e-07,1.0810508316041267e-14,1.0008959551341072e-05,-9.967143839891795e-14,1.2523053480493783e-10,2.6885322300197774,0.012205262030184585,0.0,0.008606881469955146,1.0189311482964408e-08,3.0003501739317547e-12,0.00045099980768816575,0.0011799999990168536,0.9999999998747693,0.0,9.414465531282935e-13
