miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
0,4.9999975836177254e-08,1.5009078935346295e-07,-2.4992236100669327e-14,2.2005401480237318e-07,-4.9822858978995815e-11
100,4.9993159128670695e-08,1.498631592171992e-07,6.775697074814641e-12,2.1976804829169975e-07,1.2759945196566045e-10
200,4.999319040134784e-08,1.4969085142903725e-07,6.7784191288643374e-12,2.196993295112487e-07,2.68016247025811e-10
300,4.9993195490736084e-08,1.4963799972217016e-07,6.831129910555122e-12,2.1952005902165723e-07,4.497912956665515e-10
400,4.999321617009281e-08,1.4949210865926855e-07,6.766282982417268e-12,2.193882943108765e-07,6.07841142349841e-10
500,4.9993174604414023e-08,1.4922704648527055e-07,6.796861122216149e-12,2.193546332716378e-07,7.706675442848972e-10
600,4.9993162127035356e-08,1.4918550205326092e-07,6.792327582165791e-12,2.1907616636463658e-07,9.701457986474721e-10
700,4.9993232714641655e-08,1.4887980110371412e-07,6.795215865621929e-12,2.1900192812254457e-07,9.810350518930099e-10
800,4.999321124804194e-08,1.4870605098035281e-07,6.768179165501769e-12,2.1875441216461465e-07,1.1468069875526146e-09
900,4.999324177298555e-08,1.4862260550612642e-07,6.817635672112103e-12,2.1875593015611695e-07,1.3598841797392576e-09
1000,4.9993195867736486e-08,1.4857777456078885e-07,6.828990988986222e-12,2.1851639182370633e-07,1.383905303581481e-09
1100,4.9993202633309304e-08,1.4843034396668992e-07,6.762242985406513e-12,2.1843933361510053e-07,1.537748200949874e-09
1200,4.9993188082353185e-08,1.4821139300553954e-07,6.7719002774161546e-12,2.1814293290550555e-07,1.7574375659973698e-09
1300,4.999324496520994e-08,1.4808576582086166e-07,6.789951015020079e-12,2.1806799615607358e-07,1.930667203940468e-09
1400,4.999322636609583e-08,1.4789925469426692e-07,6.797084329584083e-12,2.1795145443830815e-07,2.097808440460389e-09
1500,4.999322704607563e-08,1.4784156354277065e-07,6.809293520981352e-12,2.1778423980236155e-07,2.1802602551525897e-09
1600,4.999324773070768e-08,1.4770232614063018e-07,6.821644739480766e-12,2.176367310995075e-07,2.2744275591647844e-09
1700,4.999322139695623e-08,1.4753416693908367e-07,6.7767224860583705e-12,2.1747507681511737e-07,2.5712607720070863e-09
1800,4.9993241978576155e-08,1.4739482033531484e-07,6.769680863932177e-12,2.1740440800498567e-07,2.5363260593579977e-09
1900,4.999323861282388e-08,1.4721134193960714e-07,6.802911662700147e-12,2.171697774880109e-07,2.8830535206428615e-09
2000,4.9993209425242376e-08,1.4706448420612902e-07,6.7286009132209464e-12,2.1707364311444607e-07,2.9624525079101336e-09
2100,4.999322654904891e-08,1.469428278285476e-07,6.790040960081384e-12,2.1684070569572252e-07,3.0630834752801913e-09
2200,4.999324407942211e-08,1.4670915284335665e-07,6.723871750009354e-12,2.1678183612178595e-07,3.245142441335324e-09
2300,4.999319718742996e-08,1.4664352726982968e-07,6.797165797983702e-12,2.1660675628456918e-07,3.288089178177085e-09
2400,4.999322069689413e-08,1.4642953598459086e-07,6.775195921079621e-12,2.1641283041336485e-07,3.5677547730372816e-09
2500,4.99932524912489e-08,1.462812780922875e-07,6.744115038511884e-12,2.162594338339063e-07,3.751386085076303e-09
2600,4.9993212846529814e-08,1.4618874234221595e-07,6.7454234288694464e-12,2.1629482099035513e-07,3.860926344201063e-09
2700,4.999328448016638e-08,1.459915893412953e-07,6.776297121222419e-12,2.1599603440809546e-07,4.014701410281082e-09
2800,4.999327954725497e-08,1.4588062408792921e-07,6.742455850766855e-12,2.1591156233622076e-07,4.000398817342352e-09
2900,4.999328385996409e-08,1.4576297992513088e-07,6.731196046715876e-12,2.1573294632135983e-07,4.257131848501775e-09
3000,4.999329246519907e-08,1.457071075362207e-07,6.72658527682326e-12,2.1556694435843162e-07,4.438419593756979e-09
3100,4.999325035815468e-08,1.4554387282592087e-07,6.734255745245908e-12,2.1559719064166475e-07,4.5718986918482595e-09
