miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
0,4.999998867889661e-08,1.500664170019844e-07,-3.80888750305071e-14,2.200881570881485e-07,7.291485529624583e-11
100,4.9993190423271414e-08,1.4991723031425133e-07,6.832474651141162e-12,2.1984658498419087e-07,1.861174220718286e-10
200,4.9993174230065907e-08,1.4962598038714393e-07,6.827239453771314e-12,2.1968761388709366e-07,3.897379549427036e-10
300,4.999321570905198e-08,1.4961470671474792e-07,6.829937391358341e-12,2.1965899236848572e-07,4.6420524023192685e-10
400,4.9993190706694395e-08,1.4933539066961953e-07,6.840003108326595e-12,2.1951627798240884e-07,6.009553529129504e-10
500,4.999315519024228e-08,1.4915179549433487e-07,6.771200724092142e-12,2.1934066969966004e-07,6.444771187823113e-10
600,4.999321600366532e-08,1.4903486966716586e-07,6.751385984641036e-12,2.191054769963515e-07,9.810905440886281e-10
700,4.999323394731698e-08,1.4903440204914807e-07,6.806679654642663e-12,2.1905498064987081e-07,1.1127322643064386e-09
800,4.9993192592744304e-08,1.4874140861420018e-07,6.808373931228458e-12,2.1876477894349206e-07,1.199858001305639e-09
900,4.999317277172662e-08,1.4858059503854014e-07,6.769490940581543e-12,2.187020118102639e-07,1.331364465674087e-09
1000,4.9993194368309624e-08,1.4857787161730277e-07,6.827339126247792e-12,2.1854188996274598e-07,1.3755454440735506e-09
1100,4.9993178791867055e-08,1.4846364447844116e-07,6.802952628666743e-12,2.1841086971970662e-07,1.5608409386237448e-09
1200,4.9993198378764097e-08,1.48230260002903e-07,6.7757915046312286e-12,2.1826038707547918e-07,1.752790163455021e-09
1300,4.9993250340595723e-08,1.4800332129665948e-07,6.801290143160233e-12,2.1817666134096427e-07,2.012705746054886e-09
1400,4.999325610269826e-08,1.479379454611922e-07,6.8098434545355246e-12,2.180105715209983e-07,1.9656974800478916e-09
1500,4.999324505355345e-08,1.47729881672024e-07,6.734883646639671e-12,2.1782169387904685e-07,2.1381830079658344e-09
1600,4.999320602897419e-08,1.476776780600322e-07,6.804322413005723e-12,2.1774045569232706e-07,2.309186258641143e-09
1700,4.9993179919090864e-08,1.4746998870775558e-07,6.758367031016e-12,2.1740458324144757e-07,2.4347371380344632e-09
1800,4.999321808683126e-08,1.473279197647295e-07,6.7438149601775755e-12,2.1732402934544414e-07,2.693511195545453e-09
1900,4.999321808993816e-08,1.4714779533084907e-07,6.755197810748287e-12,2.172651759039087e-07,2.766028081449581e-09
2000,4.999324188734206e-08,1.4708993594342983e-07,6.756385235233694e-12,2.1708937662483284e-07,2.9811709656147036e-09
2100,4.999325343090523e-08,1.4693234578833864e-07,6.7467982892936625e-12,2.1682536891588463e-07,2.9683180332516396e-09
2200,4.999319787756098e-08,1.4676251347797625e-07,6.7239184858601785e-12,2.1675476757744466e-07,3.264489655369281e-09
2300,4.999322786364867e-08,1.4655942411504392e-07,6.751590916261278e-12,2.167063422624264e-07,3.3925415976747995e-09
2400,4.999327146457286e-08,1.4651097201454711e-07,6.754896442610992e-12,2.1650186296776978e-07,3.5755708774800973e-09
2500,4.99932233577796e-08,1.4629176788868232e-07,6.731125720679712e-12,2.163864285180089e-07,3.699231494666204e-09
2600,4.999326578057477e-08,1.4613134698341627e-07,6.7290686033152665e-12,2.163113533160534e-07,3.862357487971398e-09
2700,4.99932294368585e-08,1.460262820418393e-07,6.739195885427321e-12,2.1612724744209925e-07,4.0021903867626604e-09
2800,4.999326634697729e-08,1.4586064044286686e-07,6.725652591005992e-12,2.159696141123755e-07,4.075772535411741e-09
2900,4.999322779870296e-08,1.4577832866152076e-07,6.755097643994631e-12,2.1581705362961511e-07,4.284404705689741e-09
3000,4.9993279935515825e-08,1.4562741876382664e-07,6.761363725912024e-12,2.1567110027406063e-07,4.3448556216676285e-09
3100,4.999321032625437e-08,1.455246526420008e-07,6.730667473658271e-12,2.1555389043319321e-07,4.505585021908824e-09
3200,4.9993296160598504e-08,1.452754157092471e-07,6.7296084390197484e-12,2.153522116891565e-07,4.571234090846233e-09
