milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
0,5.0000023265223355e-08,1.4997621689887357e-07,-2.5923890765526168e-14,2.2006480620277637e-07,-1.011009314345976e-11
100,4.999316911040369e-08,1.4984691373281983e-07,6.844466881794811e-12,2.197632775327724e-07,4.244674729380736e-11
200,4.999319307441099e-08,1.497445303000965e-07,6.806537152888612e-12,2.1968104355966804e-07,2.67815924147312e-10
300,4.9993195510399835e-08,1.4960826880699626e-07,6.801085107404283e-12,2.1963436287037681e-07,4.33163864206618e-10
400,4.999317905160261e-08,1.4936889367757763e-07,6.764885693486191e-12,2.1932618280729377e-07,4.971619259677357e-10
500,4.999321946683085e-08,1.491577685300805e-07,6.754957577549837e-12,2.1925774254824817e-07,6.604797361419244e-10
600,4.9993234490766137e-08,1.4920143209219153e-07,6.781479981084359e-12,2.19154502792376e-07,8.104131826803514e-10
700,4.9993167423062815e-08,1.4887906275393514e-07,6.837479028806286e-12,2.1889680373506716e-07,1.0365934571232149e-09
800,4.9993205351330273e-08,1.4884607771376978e-07,6.778056863010007e-12,2.1876150175155812e-07,1.1847017078714693e-09
900,4.999317862724476e-08,1.487508752168251e-07,6.813248167833013e-12,2.1875247260277206e-07,1.3732518293888174e-09
1000,4.999319263861455e-08,1.485656079731277e-07,6.823428960680994e-12,2.1847513512176733e-07,1.44660190233144e-09
1100,4.999318681736244e-08,1.483702217337893e-07,6.7559541358304576e-12,2.18296292977629e-07,1.7250229046790493e-09
1200,4.999322767065398e-08,1.4816777498149224e-07,6.821641382080548e-12,2.1832357686102576e-07,1.7504995201649833e-09
1300,4.999319199942716e-08,1.4808162608219778e-07,6.758981744714918e-12,2.1818088979252347e-07,1.837839286409214e-09
1400,4.999318470295555e-08,1.480210446619766e-07,6.774660516989285e-12,2.1792105936512704e-07,2.09894682274561e-09
1500,4.9993249508765773e-08,1.4780631312387387e-07,6.790480470637971e-12,2.178462951044173e-07,2.237473025353241e-09
1600,4.9993215673481384e-08,1.4757075286372709e-07,6.778106877801119e-12,2.1764709299985241e-07,2.2850849857134333e-09
1700,4.9993203901828844e-08,1.4754836097197065e-07,6.760013619452391e-12,2.1759410955927493e-07,2.51622543855513e-09
1800,4.9993229196072874e-08,1.4733123293369803e-07,6.780547942770071e-12,2.1729229203272574e-07,2.6524154423351513e-09
1900,4.9993246553452766e-08,1.4710747155571146e-07,6.724426164928356e-12,2.172090803730764e-07,2.6943276109349114e-09
2000,4.9993223518447716e-08,1.471382305458809e-07,6.811417244053188e-12,2.1716585856332147e-07,2.9805078084462728e-09
2100,4.9993260236586936e-08,1.4699592806944908e-07,6.761771157598702e-12,2.1687777390756183e-07,3.1084635957231563e-09
2200,4.999327139863592e-08,1.4675205070398283e-07,6.728907687657661e-12,2.167096705396532e-07,3.1324362517249185e-09
2300,4.999321314448823e-08,1.4672551673550558e-07,6.73751457358028e-12,2.1660785261978245e-07,3.3188471978749034e-09
2400,4.999325943538581e-08,1.4643857738993665e-07,6.736302653478241e-12,2.16534465640055e-07,3.5755899613196615e-09
2500,4.9993280085694376e-08,1.464299472141288e-07,6.766327339210578e-12,2.1637642318253108e-07,3.588527016068754e-09
2600,4.999328548526041e-08,1.4621256786512775e-07,6.723902976207079e-12,2.162165089532644e-07,3.7293753008103015e-09
