milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2
0,5.0000010679374985e-08,1.4999743546085565e-07,-1.7799444329970062e-14,2.2001271540568222e-07,-2.7844603952467972e-11
100,4.999320019476547e-08,1.4979368205925388e-07,6.853408099757815e-12,2.1993394283271753e-07,7.979163327792617e-11
200,4.9993196604947754e-08,1.4965699608854185e-07,6.836018612924124e-12,2.1973730389163947e-07,2.498707633370415e-10
300,4.9993159295529164e-08,1.4961438999908837e-07,6.761023582402312e-12,2.1947540865244552e-07,5.295430709311916e-10
400,4.999321142431391e-08,1.4945531422861542e-07,6.763345163795937e-12,2.1950996346842008e-07,5.110627503813192e-10
500,4.9993233900009526e-08,1.4922241232745902e-07,6.8192985504586694e-12,2.1936395122850494e-07,6.377815705603051e-10
600,4.999324376152137e-08,1.4910116897296e-07,6.78453120246803e-12,2.1902650176145743e-07,8.39551557668322e-10
700,4.999323007660937e-08,1.4903176972293427e-07,6.754939085566321e-12,2.1886828271445833e-07,1.038466097191658e-09
800,4.9993162134575326e-08,1.4883103082850897e-07,6.7973096919871794e-12,2.1884058523842498e-07,1.2701523351993778e-09
900,4.9993216420580564e-08,1.4867013438134027e-07,6.824356002095924e-12,2.186782446362871e-07,1.3568770935035376e-09
1000,4.999325670145214e-08,1.4843428586162388e-07,6.825627942521313e-12,2.1845485361647688e-07,1.4211395800678297e-09
1100,4.999320759238137e-08,1.4841625513553924e-07,6.8240792341199454e-12,2.1835624144432945e-07,1.5965669650890167e-09
1200,4.999320735636098e-08,1.4813430189442325e-07,6.752845890720352e-12,2.181700629829387e-07,1.8458912204295596e-09
1300,4.99932248058697e-08,1.4799315859591067e-07,6.827810093830178e-12,2.1807428806188778e-07,1.9469086116938745e-09
1400,4.9993193382332225e-08,1.4784156101876544e-07,6.734196779711487e-12,2.1799259316155125e-07,2.145513497530551e-09
1500,4.9993205118488354e-08,1.478618706524782e-07,6.795057665682583e-12,2.1769271315933183e-07,2.2189579860040835e-09
1600,4.99932285840118e-08,1.4753577749851033e-07,6.762687105698882e-12,2.1755403132984897e-07,2.306182770013986e-09
1700,4.9993212361436116e-08,1.474755367357735e-07,6.783094005634882e-12,2.1749286946240844e-07,2.5642901590081723e-09
1800,4.999320185496856e-08,1.4745170118135578e-07,6.7609652303561674e-12,2.174155711214255e-07,2.6928779315623436e-09
1900,4.99932182322634e-08,1.4710252823686522e-07,6.772885427138867e-12,2.1730153590191997e-07,2.8805026717132224e-09
2000,4.9993259265721035e-08,1.4716234753584288e-07,6.770368447699548e-12,2.171134406298954e-07,2.892314927706494e-09
2100,4.9993236115696864e-08,1.4685341890496736e-07,6.792059758940848e-12,2.168896144287549e-07,3.1358663881610204e-09
2200,4.999319403966309e-08,1.4680649579954497e-07,6.738664858722853e-12,2.1671339238497034e-07,3.2507236601930928e-09
2300,4.999321043729458e-08,1.4662994620273291e-07,6.79737405166848e-12,2.1663092900828907e-07,3.3849805499137927e-09
2400,4.9993249591939545e-08,1.4644060742959604e-07,6.7311064843302746e-12,2.164574905521886e-07,3.5798064977965095e-09
2500,4.9993232923885376e-08,1.4635039471608264e-07,6.799549297858435e-12,2.1644110924943116e-07,3.692112224107953e-09
2600,4.9993244096903085e-08,1.4612682660567144e-07,6.7336874921185835e-12,2.162602034913511e-07,3.881629315395961e-09
2700,4.9993294096504486e-08,1.4606527696708915e-07,6.709437753261395e-12,2.1617031649470953e-07,3.963582289143304e-09
2800,4.999327646908267e-08,1.4591979280061844e-07,6.792161414330217e-12,2.159498428415441e-07,4.031094982914884e-09
2900,4.999323823607521e-08,1.45835570439353e-07,6.722545928573316e-12,2.1586276310527065e-07,4.249349635484226e-09
3000,4.9993232759450406e-08,1.4559829489954728e-07,6.719432533092342e-12,2.1572380299463845e-07,4.3432955707800206e-09
3100,4.9993224477872525e-08,1.454466723328112e-07,6.698938958616304e-12,2.156033466031659e-07,4.488893385268484e-09
3200,4.999327324706619e-08,1.4536940553039313e-07,6.773155320499887e-12,2.1527283707774864e-07,4.687954687739723e-09
3300,4.999326075721376e-08,1.4511844351636469e-07,6.7570719663548534e-12,2.1532044847788758e-07,4.796747964846199e-09
3400,4.999325565223682e-08,1.4513196375446228e-07,6.7088359366529275e-12,2.1515211783232967e-07,4.838643155619648e-09
3500,4.9993291000090295e-08,1.45006910737227e-07,6.776131887870212e-12,2.14916034068266e-07,4.972679793329116e-09
