milliseconds,L,T,I2
0,227271.98008536268,208818.8939911926,36169423.2745675
100,260262.87793081137,205797.7770021259,36243501.450162895
200,259668.16077675347,211670.22362262715,36792647.36717576
300,266723.67529174354,237041.5962848021,37242147.70168279
400,266775.8099970785,240128.0346988044,37582556.924369946
500,282401.7389664662,255419.07162428112,38123286.33383715
600,290167.31457997573,260777.0229114145,38452484.49627867
700,311709.0429964003,272044.8860733403,38651048.61019025
800,311200.47230530996,279096.4141177305,38698874.752121985
900,310492.21950946003,281464.06311648106,39127438.84055489
1000,332163.19190678146,293288.0615933098,39470835.17381817
1100,345197.2529817608,320456.0484921158,39377933.33942544
1200,353780.68655465957,315072.6559464139,39583949.134124614
1300,365728.72152888577,333405.85931120784,39895819.60200876
1400,385824.1826037707,338715.2425503299,40073316.34198832
1500,374996.90006065037,341812.35707536986,40131689.7685593
1600,384126.861644795,371698.11834994826,40030611.54551887
1700,402617.25816343754,381231.2106180194,40004634.76684888
1800,421778.6826888498,380536.67105856695,39895063.340566225
1900,426643.59143159364,380216.3542830544,40002544.698151365
2000,425752.1414267167,400008.5194244056,40117375.1688356
2100,445577.03737182444,399777.8796941489,39689889.32686103
2200,462244.1030166505,416437.9889084399,39890650.31701695
2300,466237.50225968636,425741.83781599795,39702819.77028559
2400,468302.4968904819,436590.29958221485,39583383.71949332
2500,487707.7700551815,447463.98715765064,39227957.153333835
2600,498735.55949447997,455785.28183192154,39424993.135245144
2700,501879.87058115046,463971.0385007277,38852585.156939305
2800,512398.8908808499,466869.70767325343,38752016.04946943
2900,542003.2191197345,488082.75783607486,38611565.67620146
3000,553109.475348295,482399.0488380894,38358475.62323158
3100,568245.0777518251,482447.6952483024,38101183.24690667
3200,576478.5951742169,495006.62219822325,38019812.698733896
3300,573625.0424689649,495793.15880915546,37422770.948441975
3400,586154.7448790513,510321.232216782,37457970.63229539
3500,582506.0471018282,516126.3814870983,37157289.299247466
3600,601879.3974283382,533400.267966457,36552831.56982078
3700,608997.8300542035,536195.1453388152,36355411.16134398
3800,629500.9193062353,535729.397562314,36137038.27323843
3900,621000.9290533778,533445.3557377277,35989678.79062675
4000,659097.267704972,557104.7748682803,35709722.755756676
4100,647777.2311198916,543195.4312902559,35316318.66714532
4200,650540.0576519066,563616.2315769236,34784809.7260573
4300,678106.8563327261,553676.8284441943,34744124.88037159
4400,685755.1945426138,564749.8528141018,34538413.924466826
4500,701264.4157138804,570990.0107332604,34321072.67857055
4600,692375.985591602,580110.2485585089,33823518.676257566
4700,690435.1484874089,585281.9769091662,33530918.476356708
4800,703750.5117452393,580498.2218069579,33294038.660319783
4900,732884.75312323,579628.1433381971,33004142.643557385
5000,730252.1468910725,575506.3078266069,32664903.30880594
