milliseconds,L,T,I2
0,239516.4923801367,210509.19886853645,35992925.66413739
100,236279.9114254837,198283.47305499256,36328969.63402794
200,270424.80118518975,210883.77090160863,36922560.9114312
300,264236.2361082716,228857.31459111004,37262233.36707284
400,272548.52798124147,240651.42171204963,37441452.54885439
500,277396.2182020511,260407.81510963663,37819623.813327104
600,299519.3469404811,257533.03855073266,38186912.65907081
700,312203.7412431224,272388.2420234488,38407935.845339246
800,319536.8113407992,283720.04612795066,38680545.67415917
900,332882.46392180823,291415.2227068883,39127675.82378889
1000,321762.7197330421,309005.85898795445,39426495.84501693
1100,354554.1388083945,314276.12791072123,39404432.22701157
1200,356240.37370133016,328590.8394020708,39699287.70011964
1300,350592.9915079452,336330.14516659686,39658126.959332794
1400,372825.6350974457,337311.6461240539,39719164.61107355
1500,387716.8393935978,340990.51389805484,40135024.07238888
1600,401961.8298550297,363979.1078024657,40194373.95818688
1700,396370.08767223265,364015.5555206225,40204385.35162285
1800,417837.477429051,374375.710570531,40041040.407861345
1900,421928.12019132014,402119.9890200157,39980702.279571906
2000,450721.9763285929,392751.08378016885,40173225.986259826
2100,431940.51484388084,405827.55678266374,40013779.319429606
2200,444195.8926233932,416201.3223137918,39919213.14843999
2300,457448.8171289832,434766.4259489725,39675907.48474861
2400,492323.5568364816,440963.05613588344,39525673.80339177
2500,487313.34138680034,435300.8051798005,39215184.53591836
2600,510963.1933566855,442862.07953706174,39372842.416017145
2700,501984.6864148441,450989.56513675343,38841223.611818455
2800,527570.8200045044,469135.6625526748,38612828.71678396
2900,546340.0992975687,484520.1219599328,38689739.7903589
3000,531726.3308842368,481744.31349662493,38554338.86297798
3100,557096.6845254366,505680.91432259936,37955010.56151829
3200,556226.0762618309,495378.4301515443,37650509.67850023
3300,577803.3397340127,507546.2753206163,37452063.64600651
3400,578602.7230841933,524022.7426419823,37302782.36674688
3500,602019.9327612702,526510.5684074383,37085937.211787365
3600,602225.0095794797,531816.9594583695,36783470.89881662
3700,623698.7881931369,541449.926243208,36580421.972894706
3800,629989.5875825497,548068.855111229,36356777.075219736
3900,636575.4099869024,547512.2578250208,36092466.8597659
4000,631674.6416811895,540331.3306457917,35684133.1587985
4100,640440.8074070766,563521.5727073242,35475047.108816735
4200,660177.9471967977,555762.0528765345,35171660.66584156
4300,665284.2696124312,557005.8215223788,34789993.7385558
4400,691146.164337646,565965.8557695528,34416918.133696
4500,679935.8794147966,578383.9562517875,34213394.701635666
4600,686159.4460611092,582040.3102673213,33781695.80817643
4700,695335.5318855115,579084.7759719767,33378595.917102948
4800,709621.2090212974,566005.2876661305,33122564.27754963
4900,707594.9985925398,578544.2258540391,32832628.070246063
5000,717004.2230817082,574769.7673958266,32884843.752675314
