milliseconds,L,T,I2
0,246200.9067860115,211035.73285197545,36068637.58911411
100,238429.34825703918,211003.57885208953,36279322.24590691
200,268548.1355755199,223448.85150529165,36842380.360658586
300,263991.9030298364,230019.1147323924,37367678.251164414
400,270388.8993614567,227137.18731664476,37699836.94385928
500,284600.04402433644,246801.43522735228,38216128.603644535
600,289888.9974691537,256264.65476600413,38215830.89850915
700,296629.57972176117,273735.49891252513,38794268.72702185
800,323387.3935374571,271959.684017254,38711941.79091911
900,309230.3054417968,299778.22840629367,38967714.347486414
1000,327382.75147019565,304148.96033401875,39326402.30271421
1100,350321.3219371053,315798.0562539258,39363107.33854451
1200,362045.81303026015,316372.47021777247,39826833.64140395
1300,361158.34520729166,331675.15183110005,40030619.80347085
1400,383177.0835432988,336090.5338131565,39770825.13129399
1500,396570.9006205012,350809.52157132095,40020936.34271645
1600,392872.3266844789,356626.72138346353,40208899.31957545
1700,408361.7823907153,362213.24698897614,40161288.375938624
1800,421187.18489065254,377083.3124311419,39945194.56187147
1900,414112.31716023444,381465.98408418166,40169596.9314797
2000,421287.00484892394,393442.02067366644,39906829.553176746
2100,448448.65113387175,406469.1903924696,40051603.19774846
2200,443108.4284498961,408849.7724657411,39831789.74556405
2300,458250.1991513174,437403.66164537513,39746848.27874489
2400,473656.5231214353,442243.4562280895,39354735.154273316
2500,479991.70367734577,457161.33585847804,39580073.47259261
2600,494177.88419011346,463203.89797493455,39057494.67705545
2700,517742.0691042741,466117.1220141906,38894570.05588394
2800,534846.1632110649,469284.68961045484,38860335.53261729
2900,525100.0559396397,483625.1027747039,38597960.85321502
3000,530337.0087224136,477925.8665468775,38328846.502653696
3100,560480.8537512759,504148.34527018096,38277322.97836897
3200,566011.9350839071,510686.6904099105,38014332.14886748
3300,573671.794743986,509191.0892510248,37646082.380286396
3400,587918.9636023568,521366.77767707285,37529711.287068054
3500,590554.877159489,509404.3604913939,36839044.94427055
3600,595903.6798754308,517860.63659820607,36908034.54016553
3700,602506.4559566029,526154.926939168,36383245.561968
3800,630561.390139937,545105.8768342885,36110368.455771916
3900,622325.2842658231,532843.8422642554,35966505.584350616
4000,656021.7405366845,549855.5703363807,35549626.696619116
4100,647756.7266536512,561243.99870279,35394942.14618936
4200,652493.6594772219,556905.833755123,35065699.984404236
4300,670209.0949091065,565277.0882502279,34508233.21354959
4400,670235.7566252664,554103.7403949815,34434277.1594674
4500,699979.367933867,555988.8897618685,34169237.57069873
4600,688946.3075844876,563219.8950364162,34009164.08453142
4700,698878.0471951,564913.9903026228,33487206.215308357
4800,721960.8532301257,578324.877156215,33366111.606901858
4900,720445.1362882033,572595.7140803295,32838749.05257967
5000,719503.967367326,583329.2762546613,32516462.73839487
