milliseconds,L,T,I2
0,226946.0246898425,203667.79800679913,35995016.32396244
100,260296.94860957083,214843.12588176067,36538502.231568485
200,271581.34827673767,213264.9425988419,37079537.654116146
300,272379.4450849393,232774.94924385363,37132186.37676575
400,272015.56663305144,244028.6024010554,37584321.65667521
500,279255.01619271305,244297.08551935272,37831847.943005726
600,286419.2455479288,268771.65014859935,38359559.37591814
700,312068.8605023847,261807.25334215947,38447232.630270585
800,324657.99582674756,276322.3029285928,39084450.255276956
900,318748.90512780694,284641.3919068237,39257567.6882433
1000,334434.29688000376,302905.1895616361,39479533.854037926
1100,348505.76574688824,309829.6721104214,39756141.76307771
1200,349707.20487983205,321870.0541179533,39736177.96665329
1300,354280.8669413038,326647.02207722055,39880386.42436026
1400,372328.8405658711,329817.44084593304,39760418.20857928
1500,387224.76164598035,357649.09444527165,39983502.57327885
1600,406427.20620065584,364066.6221384092,40039512.56598478
1700,395879.49790364417,372033.3671249756,39914631.76485956
1800,416022.211523713,393157.38795874274,40024401.795626365
1900,420916.5130506473,391981.5642798723,40237966.74670994
2000,422004.5870306607,394716.30125932366,40101413.047600135
2100,443119.82687955466,403472.9539242871,40062278.5578616
2200,446583.09726356866,428809.93237370014,39675061.60486819
2300,481847.2283308318,428897.8203143418,39695137.23238965
2400,467348.02966329723,438873.69822375075,39596805.730864145
2500,483310.7450300802,446893.58553488425,39571083.024759255
2600,512086.02580124344,445261.2748851236,39281566.04309815
2700,522500.219006597,458052.637279704,38916456.8281265
2800,521825.2013534604,473941.10059862625,38896364.91638944
2900,548045.935378942,478935.7386423942,38593303.36323641
3000,530837.1696915585,486464.3796651622,38483393.372252956
3100,542438.5937982461,482286.59128509497,38109172.476823136
3200,579861.773241553,499117.4502343513,37712198.308702536
3300,567235.1023527944,507666.95333612815,37402811.78990411
3400,585481.0552141212,509832.0970709229,37509487.845432326
3500,599521.2225266558,526973.4242274163,36876579.295000315
3600,620319.5608142525,521909.17514602747,36601072.30317524
3700,610996.5578734318,536233.5850689098,36437043.00594056
3800,635776.5348435974,533002.9668423219,36041423.26903143
3900,620032.5875641346,543844.9072616823,36070756.44261503
4000,657213.1641280057,541170.3743056516,35459655.54467748
4100,638699.1747924368,555355.4449809953,35299018.903642766
4200,657146.615049343,566565.1895460784,35203580.30566172
4300,662362.7059807839,564531.1223210525,34491537.79303499
4400,691346.0571361762,568417.2321445312,34276027.02193062
4500,677380.7063058205,558534.8129397582,34309944.84730007
4600,706117.4151408889,562259.6084137817,33782818.155157246
4700,717918.952256079,567413.75596197,33675705.45255853
4800,721312.7950179045,570836.337991894,33169595.067449477
4900,720840.6790554372,570436.988424432,32847675.46856045
5000,737160.6034762643,581245.9121572472,32565340.77921563
