milliseconds,L,T,I2
0,246263.16406475837,192133.45600279403,35830962.47820191
100,246579.1696772765,211244.92435967582,36367039.96795095
200,243338.4271343184,220709.57372577972,36804810.06648246
300,253747.02042469478,231263.0930180793,37327478.42441297
400,263276.46172175446,230486.0112129509,37756538.08410172
500,274414.2711601273,243171.56087751643,37886428.17735328
600,280404.28639988153,248546.9051255686,38524061.78608412
700,290294.556349777,275516.65635098197,38771061.871995166
800,300293.74312824634,272665.8132651955,38984981.16073635
900,314113.1135402876,283603.42177131353,38993577.91916391
1000,335063.98151876905,304816.2361286034,39287844.45021531
1100,347203.2560564785,309055.76027159067,39482812.84177472
1200,362812.91995135415,330775.80758881784,39873045.77754539
1300,361436.30114288983,326009.0993624777,40043686.99381216
1400,378229.22640975297,340971.1130475148,40109803.371327735
1500,378193.0032709568,351035.9072368555,40162980.165353976
1600,391494.36298938736,368642.6015557838,39983180.94545323
1700,389449.4686202448,364607.0625999297,40242167.68838492
1800,425530.64715182956,380540.32199464744,40059064.13899802
1900,415445.7156328165,379611.2383958254,39974891.377365306
2000,437738.6911286356,407877.9389224247,40160121.411308676
2100,459373.8062395052,422032.85603850667,40086553.40695185
2200,470068.6056037656,411163.3935144287,40008191.80379173
2300,461231.64499089896,431667.09235064784,39893957.87584704
2400,474297.1310328213,434245.7932356805,39533311.390838556
2500,482727.11199221195,450739.38553382136,39530697.82774884
2600,495196.66136834235,463582.5382153981,39016323.987640545
2700,520604.56835930084,456276.04451718467,39062605.97859243
2800,523391.9479781262,468275.1993007874,38799917.81979002
2900,525135.8112880792,484426.1206580485,38536493.13714811
3000,551242.0053421371,481932.0338207887,38292755.18627164
3100,562488.7005387499,490270.7707392673,37905726.49718384
3200,555070.2963003056,512415.52811136696,37904990.1224751
3300,575651.8800990497,497640.75377737574,37675351.41335149
3400,591883.7793279686,522139.3008884084,37488139.5625147
3500,601185.5938157269,525291.3946968012,37232771.54635424
3600,607264.424946488,527424.2186968868,36943429.20069667
3700,618548.0872107729,536648.9878774005,36615095.35372039
3800,617158.5303655999,536803.2858145586,36358506.47132824
3900,634038.8349626891,531192.6387849018,36025681.32203385
4000,643615.9107635438,547471.209036602,35536552.19966916
4100,649399.6878001508,544911.2527435351,35465386.56721478
4200,664942.18676035,544370.0959317785,34939083.263295144
4300,678227.9363168919,571695.2406480956,34523432.39065908
4400,685735.1748445483,555222.1624226453,34461316.284442835
4500,676093.705715387,572002.8905821304,33933207.00315032
4600,693598.3810168448,574061.4719098768,33692086.253826834
4700,698930.8966776838,584283.6876834293,33744187.034063086
4800,703460.3036632162,580026.4040400557,33417800.679908432
4900,730550.3076461309,582992.513859575,33175985.213544052
5000,742325.5392925398,573658.3588383566,32918518.80141759
