miliseconds,s46,s32,s42,s40,s33,s39,s114,s155,s172,s173,s185,s84,s165,s109,s87,s119,s183,s178,TAT_PROT,Ligand2,PXRprot_Ligand2,CYPgene_PXRprot_Ligand2,DEX,GRprot_DEX,PXRprot_DEX,CYPgene_PXRprot_DEX,PXRgene_GRprot_DEX,GRgene_GRprot_DEX,TATgene_GRprot_DEX,s2,CBG,CBG_CortOUT,Alb,Alb_CortOUT
0,0.7802720812152983,0.007000231740434778,99.89493764540548,0.5005322268558909,0.0008000160565929065,47.21682866634064,1.1329857172358893,0.8257620298070077,103.9917956458886,0.07585370384617636,0.09967173343432245,0.3299082096750971,0.00030571325317458535,0.050260374115274835,32.477641359059646,0.009957589714480538,0.01968666084673934,0.8097656166000762,0.4594852724949476,99.99301998738078,0.0032347513492494108,-0.004539447212986177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025616576551284803,549.9763917124105,0.04580371889422478,60000.01657351013,0.0006338576418416156
100,0.7309428269575607,0.007002457581626216,98.12796835059659,0.5627023395723446,0.0007999314719724552,78.95082229862886,0.06239688296947572,0.018900005135437853,103.9985410078605,0.07580401612925088,0.09954368176673685,0.26681556855018446,0.009915032148898687,0.09943898846168894,0.23843284059923875,0.000525744440193032,0.06859498262051852,0.7615226379454739,0.46773797319170896,98.24244129385083,0.9672208121406185,0.8013303201092177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05210192424517026,543.7075852660615,6.349277048016543,59999.80771891742,0.2110749048722347
200,0.7369139650218661,0.007002708265007598,98.07596031351964,0.5850318248588795,0.0007999002867535575,79.08094296201305,0.05764142894132768,0.01411601454308961,104.01236644764519,0.0811398670589879,0.099191776350968,0.24510057002278596,0.009053934886062627,0.09271901063764233,0.4191507535107563,0.00048204066926493095,0.06398738858969207,0.7659771449405027,0.47042570336412964,98.23808068408476,0.9579490182509666,0.8046382860178327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052954761962363976,543.6276938820271,6.377460012265441,59999.80707565942,0.2114102930587298
300,0.7371727036528621,0.007003397870531865,98.04915990731563,0.5839422242252501,0.000799891159444123,78.9394271720183,0.049706704075924424,0.01407254530609578,104.00896533537151,0.08777952646669471,0.09843057421490355,0.2452727553941706,0.008229375742024378,0.09278881301283172,0.5449090823013588,0.0004891164135821843,0.06433767199637533,0.7654826683664223,0.47658523313615125,98.2224227828002,0.9686028557664818,0.8036510249534246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052512237609516864,543.6660505573595,6.369217149518626,59999.80702920792,0.20985843094897288
400,0.7368698321014409,0.00700496118592029,98.03021648882834,0.5844281423663236,0.0007998772121775861,79.1993246747245,0.05816192009064352,0.009946160902080697,104.02108340266943,0.09146997276517267,0.09801869546210727,0.24617400243217447,0.007575100518527638,0.09284360669263789,0.19954379851653212,0.0004772006200225408,0.06447891109933446,0.7653798446582205,0.4780633157836836,98.24145183124756,0.9682388504485561,0.8089229820808115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052716757637700666,543.657619502014,6.392729745045077,59999.80638456439,0.20983029743631215
500,0.7369316610479062,0.0070053323739594905,98.03538944125317,0.5843352187909749,0.0007998236040006925,79.1403432407105,0.05841435644680085,0.017568845077664753,104.0142118443196,0.0918284233207418,0.09758018879556273,0.24597627609161718,0.006870583191395267,0.09296045355475668,0.4755517393763798,0.0005019578945138244,0.06441655686566714,0.7657883624411926,0.4854657923370357,98.22837699638632,0.9595253950515837,0.8045350052010812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052737778071201454,543.6169503875656,6.3404344615966,59999.80729927566,0.21082603466270483
600,0.7367672206790333,0.007006266388493464,97.99701842712136,0.5842877951530411,0.0007998244704921339,79.29617068946703,0.053288540405335566,0.017650520198416633,104.0468675809743,0.09695329758559677,0.09654100509502583,0.2459991582721906,0.00620547271238271,0.09332868695977761,0.5781786513587492,0.000516934463202828,0.06469702696942588,0.7656152899317549,0.487566924608355,98.22748800509802,0.9586746329873818,0.8104549564988894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05291634051031955,543.6471160879041,6.376560857124319,59999.804966348485,0.212499432842512
700,0.7368334393354337,0.007006590436825526,97.97946209830774,0.5839146827060594,0.0007997829370456153,78.95552642641303,0.056800224697206886,0.014052567733584863,104.05583919278173,0.09954713519357868,0.09666286951725665,0.24644420725190477,0.005642633178180479,0.09341221945626355,0.4104300081483216,0.0004898213667300784,0.0645817582902534,0.7651713121295692,0.49324855379021393,98.23506653019066,0.9635609181783241,0.8125062082795175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052673164985755555,543.5729530947954,6.4322280931829265,59999.8051429539,0.21277387019828836
800,0.736475764051415,0.007007931731376356,97.96918020941389,0.5841563662193393,0.0007997785429443319,79.0141168301186,0.06017898979602669,0.015679303545693083,104.04206203479795,0.10450528826689594,0.09600029456248967,0.24684061687203146,0.005084145236838889,0.09318623506595203,0.40981833746146784,0.0005776685217725908,0.06433673332549446,0.765441913723072,0.4972011270262873,98.22858292849963,0.9646385207532956,0.8102871129991028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05281270530540203,543.5652997895434,6.374446432114055,59999.8054670651,0.21082853455625852
900,0.7363332023740651,0.007009171308370765,97.93776745380603,0.5834428852322376,0.0007997351235879614,79.14254600694865,0.0537701928015013,0.00939221343681177,104.08238043936102,0.108368248620864,0.09528717782064015,0.2467726328107843,0.004714045649660403,0.09310423445379278,0.33208510248644457,0.00046965819447340995,0.0649742169024785,0.7655370263659295,0.5027108175667289,98.23028785995805,0.9654775230499942,0.8168787595327638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05281156142465669,543.6152534661844,6.444757970138979,59999.80646118732,0.21084819528754015
