milliseconds,Susceptible,Exposed,Infected,Asymptomatic,Susceptible_quarantined,Exposed_quarantined,Hospitalised,Recovered
0,11256317.30625339,23478.051571046773,2206.911472052693,541.9329640900556,230390.44588161964,0.3798787406132309,517.0626371203778,1931.0085049421514
100,10454107.978901727,23903.58363160525,2402.084847317031,604.2739276250485,644609.4058745895,0.38533506591224737,531.4576218686298,1704.5821986693732
200,10027497.02335647,24301.672980237796,2611.2418415374764,567.7710655273777,1129474.262618253,0.39187097941528676,591.5428867856556,2174.8086083975954
300,9561610.48815786,24762.399265511776,2795.349800341474,659.3756742680009,1541185.5265135788,0.39771850764917205,629.2885642367243,2149.364383521453
400,9138104.530808525,25316.490290041547,2985.819484334426,667.3815883212745,2278536.5821538833,0.40087376235442174,754.300883558281,2194.230254240914
500,8747976.450472482,25550.142811771133,3076.8429855125246,750.6879823325753,2451448.25020708,0.4032234351442351,717.4732270610242,2141.4829038258335
600,8311605.993911624,25864.54549137232,3252.3137947790424,785.3939760365096,2852794.714306983,0.40490075959028765,853.6588788568592,2508.9774433007697
700,8021909.912300403,25909.243177786593,3444.8526087243918,761.724524674188,3104577.697789284,0.40744733722529464,740.2937390134082,2509.2364052992066
800,7889291.448575471,26056.851542356566,3526.3272649314536,834.3041200887844,3338205.840867999,0.40807360848818647,692.1120344507241,2843.970883508328
900,7671148.709651451,26274.73795244275,3651.4457804449908,862.862861616034,3834489.846384662,0.4102206827480444,989.3950116780769,2686.0918058648685
1000,7382622.65275034,26171.05191649914,3778.188867832701,903.6782811287028,4010699.065310542,0.4085953852766397,855.0098191629095,3185.471625714065
1100,7144239.773733628,26124.521852329803,3935.371869850687,968.4560008280408,3974280.7977319895,0.4131566567622543,1019.4934689608235,3445.321081679776
1200,6713493.210633626,26242.979806958643,4022.4553213779363,978.9412677808443,4541304.302951438,0.41014204974903046,1112.3427376972822,3128.9841383762987
1300,6543959.034329193,26124.150586593423,4183.069060583615,1013.6693011127385,4655163.243781447,0.40995272402996247,1083.457525777268,3589.4254659778726
1400,6464431.459822704,26347.485375057393,4320.183985534199,1021.1726259448706,4583833.161729278,0.41061102428580226,1112.1071945669848,3645.594073149771
1500,6201597.75826029,26342.202283231796,4433.75966301265,1066.017756287334,4994465.02193995,0.4098265537299158,1181.8018672061462,3967.9884221579596
1600,6217001.966687383,26258.452947001846,4414.867134310297,1130.5950401540297,5021610.109983749,0.409053860046032,1410.2288546766254,4140.993473263577
1700,6182910.416928032,25931.668081834665,4519.34142094245,1149.4692101551761,5240165.006488632,0.40473418412729806,1556.1476197649351,4044.3752946379445
1800,6010525.750917529,25905.11468802461,4562.907308414918,1204.776230747158,5536130.340628952,0.4023935358349633,1400.452819337746,4348.559912313841
1900,5812318.268100884,25841.185149856276,4643.703464342701,1243.7508634011713,5597233.351866748,0.4051010707606666,1620.8888429727917,4857.754705412983
2000,5450143.2281332975,25659.867890486417,4743.6634224273885,1249.4129834561236,5457317.039884163,0.4031905843857506,1631.8081778387977,4636.251191879756
2100,5556680.546666603,25824.105350704278,4696.817936531133,1235.9349700958296,5649937.820473632,0.39862118545328856,1811.2949296972854,4743.179126158453
2200,5586790.0380682405,25539.238568814748,4811.147606633071,1273.0227000495258,5923054.164408058,0.3962073878731994,1744.9913420976427,4942.549461559556
2300,5126051.747349564,25439.906764678348,4793.240128091262,1359.9397053086723,5880674.805761262,0.3980773524785382,1927.4549921745922,5449.3302975109245
2400,5100181.02786645,25249.6335762813,4785.165223302086,1385.7177063008194,5956421.6340012085,0.39172521381431186,2170.489393855708,5522.106288847241
2500,4993982.299443767,25278.938141983665,4891.417473817243,1368.0747328850805,6227758.028413492,0.39358423524912894,2144.923885750387,6009.659787664214
2600,5113972.64136701,25079.91197589761,4885.028702346709,1418.0778948237412,6099218.105908502,0.39175276214559196,2434.4773744962235,5929.980725672171
2700,4763275.085003603,24907.61658444539,4856.864016380413,1414.1040712626182,6497774.059981581,0.38733926785008205,2400.0011358549523,6362.403076162329
2800,4771686.081395712,24746.918541478834,4848.399604839524,1445.735998886955,6492925.871708243,0.38651131141128126,2514.604664611983,6338.178678095707
2900,4683318.367836508,24464.3170930172,4913.025834981364,1471.6653257187413,6554878.896222791,0.38458897192763264,2707.9073832940007,6924.192697553234
3000,4542002.868402261,24295.188934889593,4858.368473674043,1518.500125548093,6370288.872024736,0.3828664191628249,2819.110696233637,7037.614954461382
3100,4653681.94936567,24401.227091819186,4881.078281261326,1540.1491213842573,6446019.663560292,0.3804640167905596,3016.4527045630603,7302.658038887642
3200,4476361.451543915,24076.45523807704,4805.923806172885,1610.1246500750094,6807287.642037197,0.37604368588171994,3098.0466480698756,7591.796581463243
3300,4447318.207266474,24074.8859761689,4814.691301692575,1563.730439553318,6824252.15774964,0.37637901254892264,3158.3589638090098,7394.673392625808
3400,4240574.506207959,23805.610212054926,4717.260564263893,1646.1681397828575,7004984.190013284,0.3704724215449804,3367.305353691051,7981.027602772524
3500,4291735.3057436375,23533.6745224967,4712.043787245841,1614.1694681474767,6858910.557723301,0.3714082639201652,3580.351388500263,7894.735216108888
3600,4463627.219544703,23490.641526277243,4736.459360367678,1622.0638523922773,6874991.42788171,0.36680842590227464,3517.762326649733,8174.452052591513
3700,4412511.761475372,23366.68623344103,4622.219388038337,1672.9713281529564,6838166.972087074,0.36381272586485985,3872.970792291438,8490.22151792918
3800,4248294.1649145605,23048.173471901147,4639.462342910335,1727.0799823972036,7054363.574301636,0.3609225771871986,3831.165444131452,8488.674327475972
3900,3990290.258668884,23096.681634322726,4487.75410239443,1707.8762565130453,7114590.64796728,0.36202267442277763,4047.829375406025,8698.251077652876
4000,3962749.7386164274,22801.07842846804,4441.602059108995,1765.0539062927899,7152336.238535025,0.35894414989553314,4342.64828813596,9212.334942247066
4100,4107106.79586137,22631.970115390173,4393.16159808135,1728.4004109306607,7261680.550602258,0.35502624452219295,4453.003770709218,9037.94252769053
4200,4110053.6322966907,22447.181860884342,4299.125464688288,1792.7958712781037,7070273.629374047,0.3525725227796596,4534.671621588832,9221.538602126038
4300,3919584.447925737,22412.822238359488,4305.79444950191,1784.7964540315447,7362920.782018779,0.3501318054329247,4709.44368772723,9627.522847484273
4400,3865724.1905115927,22160.500867951872,4253.3040963107815,1822.3306923801576,7368240.890385896,0.34637687219293833,4927.118979012051,10089.17733343257
4500,3984001.1239312165,21901.085546065915,4167.919417084787,1857.20159929989,7441204.199414445,0.3431805499669754,4997.261892973187,9956.263327224682
4600,3732726.4630683637,21646.57500330901,4057.1717797998626,1809.9385044063213,7368066.647952391,0.3428753260277253,5218.863083203737,10170.669860727176
4700,3858638.111456219,21674.11398269662,4029.927175457073,1873.644436094665,7459294.570706628,0.3399306389580604,5106.371081590161,10333.331144118763
4800,3648830.8135405937,21420.7004309709,3870.7042168208955,1890.5305642385256,7610788.387130116,0.3369202096877564,5247.137940505393,10630.346609683214
4900,3881723.4760838705,21216.286595973997,3792.1449593151847,1903.8221009819017,7571795.285036339,0.33452051175394704,5367.159941668848,11267.868928903432
5000,3578835.5813389253,21152.47458978264,3810.1669201568616,1932.1719800215583,7380601.567196609,0.3322947692467466,5768.339313633218,11128.949393051942
