milliseconds,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT
0,4.74515808625515e-05,3.5083699916097043e-06,1.3441897639092257e-10,-1.0658438435756624e-09,5.713509407984156e-14,-5.048747917277777e-12,-6.853695289018289e-12,-8.840133630031028e-14,-4.196335322774835e-06,-4.3722070209750207e-07,-2.0698594276132806e-07,0.10011440956946333
100,7.239114743837931e-05,2.9200459068056536e-06,-2.1280874718866542e-10,8.28553326794487e-09,6.494952876451213e-14,-1.1703391942366377e-11,6.294221308857666e-12,1.7372565513905e-15,7.749876371548905e-06,-3.695461194226117e-07,7.012924431234655e-07,0.09943956601864823
200,0.00015925271616523668,1.0918777606485213e-06,-2.553704483230681e-11,1.6132117243121626e-08,2.014353614345336e-14,1.618516524762303e-11,-1.4701486933153069e-12,1.9157121883506865e-13,1.7349849158469224e-05,-8.488017597890711e-08,1.859011012354996e-06,0.09919687057570431
300,0.0002394675676520085,-2.0789837501133513e-06,-1.0892624062384417e-10,2.2890234345772954e-08,1.012434673157894e-14,2.151845347448404e-11,7.10887337677297e-12,7.886253857335312e-14,2.4883392748990135e-05,6.97024396007167e-07,2.5707063711041136e-06,0.09875869344998019
400,0.00044201809306937927,1.1931809556622835e-07,5.270838764452477e-11,3.144069774474796e-08,-6.350854144957216e-14,1.401249445622362e-11,7.32030149850247e-12,2.0805375968435013e-13,4.182478916117165e-05,-3.568451894770573e-07,3.417308426017596e-06,0.09850240211781282
500,0.0005032559349111025,-7.382358908703784e-07,-4.100432688675937e-11,3.556845583053645e-08,3.0505624689769196e-14,-1.4593253393459747e-11,3.5305204986693395e-12,9.179275820340314e-14,4.092052613208652e-05,4.102498916750656e-08,4.503720384242371e-06,0.09801665559590778
600,0.0006173911966980951,7.793634211559934e-06,2.478954520602525e-10,4.027545401054189e-08,4.622279617250915e-14,1.9359725898989528e-12,-5.6008643798657794e-12,1.5372760290666387e-13,5.7800645061317745e-05,4.133711601662504e-07,4.7289550027198425e-06,0.09790366103002827
700,0.0006200395224899602,4.182059647655854e-06,2.1730999578196666e-10,4.3895341485024926e-08,2.8723597166361e-14,-2.019963162434672e-11,-7.382934738809166e-12,-1.5744769278440392e-13,5.626537117097109e-05,1.7823006252544782e-07,5.67441298033528e-06,0.09759720866764755
800,0.0006689957751913052,5.763066773060659e-06,4.568256163390574e-11,4.626949705508795e-08,-3.099168784688714e-14,1.0980174084615315e-11,1.001645015091994e-12,1.417128096362639e-14,7.587691438010179e-05,3.861271652265112e-07,6.413212672991588e-06,0.09742804871480686
900,0.0007815595075192348,5.741753898519299e-06,1.6945977171686572e-10,4.861366014735274e-08,3.9732694879140627e-14,-3.9950639041727275e-12,-3.5927030503573303e-12,1.7186581618592833e-13,7.473044441651453e-05,1.8990332803127792e-06,7.00061565639164e-06,0.09710984506902598
1000,0.000825175941071973,1.2618014422664831e-05,3.913052754339851e-10,5.268720286459396e-08,-2.779446597121051e-14,3.4918578743815747e-12,-3.40798458778784e-12,-1.3165330838358417e-13,9.077760486573127e-05,1.3013504909041627e-06,7.519255958157966e-06,0.09687385673085142
1100,0.0009407922011691195,1.0007018799276117e-05,5.583695631717582e-10,5.3864777935454304e-08,3.5100472046524965e-14,-1.982021367455874e-11,-1.4855112935135666e-12,1.386952789071004e-13,8.940997640737406e-05,1.6677347764854074e-06,7.651065528341347e-06,0.09677094368131535
1200,0.000983850975904978,1.3318091707323501e-05,3.542737371070826e-10,5.656162645682112e-08,3.0067197540596506e-14,-7.397473586690946e-12,4.974552576896993e-12,-3.379982850282316e-15,0.00010249256560844851,2.0431713706157907e-06,7.907013505045033e-06,0.09649339949259018
1300,0.0011465595936144084,1.9406286229722067e-05,6.344635398275761e-10,5.685066563034727e-08,1.0210443932553326e-13,1.69551459041911e-11,-1.4202470597569181e-14,-2.0098994272985258e-13,0.00011108250940029521,2.4458875157662877e-06,8.81118992519458e-06,0.09638587820576533
1400,0.0011034763642798655,2.1905984109791973e-05,5.685787630442705e-10,5.8455536936101375e-08,1.1233989654396066e-13,2.1404462354351976e-11,7.100701661755534e-12,1.8951325416467675e-13,0.00010946249553141113,2.9320682449622475e-06,8.922268467502393e-06,0.09630733403683327
1500,0.0011924575218092777,2.1933890527092143e-05,5.607230487820601e-10,5.99597057077502e-08,9.043410370903096e-14,1.134348243527932e-11,4.475779677209699e-12,-1.8919987983686832e-13,0.00011643097074259539,3.3716750274391527e-06,9.404728775356164e-06,0.09618048935569869
1600,0.0012336968991640074,2.613485406210399e-05,9.970803105652675e-10,6.064195269949429e-08,7.1590359619589e-14,3.3600096462527994e-11,-2.5732243790899177e-12,-1.0793518878441991e-13,0.0001285258816886804,2.934323548768478e-06,9.88900629586412e-06,0.09613671341705422
1700,0.0013856431877448995,2.5305532219566255e-05,9.870470152358381e-10,6.160242336467407e-08,1.820909803718734e-13,1.965714961730124e-11,-3.808211211342752e-12,2.229607925318995e-13,0.00013370864931382362,4.454157485812422e-06,1.0015811151889453e-05,0.09610582450135348
1800,0.0014048885515200976,2.5637282241725432e-05,1.0897168327503337e-09,6.097573712152583e-08,1.1058879228423143e-13,2.653997847635421e-12,-1.9325081276102972e-12,-2.929632618668311e-14,0.0001332538453642378,4.014704674472796e-06,1.0094665508865922e-05,0.09584548267938119
1900,0.0014639542484786994,2.8734649694411734e-05,1.2140030815877827e-09,6.218815545448452e-08,2.1066259754270572e-13,2.999331264717717e-11,9.897871236029537e-12,1.691632270156463e-13,0.00013768150932572793,4.361364467503954e-06,1.0558358159951053e-05,0.09580307021053326
2000,0.0015150127073323039,3.5703120705332814e-05,1.220784821182353e-09,6.325763102720608e-08,2.8146967641563503e-13,5.4793805648477526e-11,1.0477357963195911e-11,2.52504094689422e-13,0.00015110455984811112,5.175679380372741e-06,1.051697754740302e-05,0.09583405244951462
2100,0.0015245039223491694,3.589453091775238e-05,1.6083759394097097e-09,6.191246545830799e-08,2.790498160810871e-13,5.875955135722518e-11,7.713508279415216e-12,-7.216484587330156e-14,0.0001600347800873099,5.029459424153241e-06,1.0645255110028365e-05,0.09560109311010244
2200,0.0015981720107412932,3.6176474397119624e-05,1.6124647571903034e-09,6.229981595978971e-08,2.5767804567299934e-13,5.598294824759963e-11,1.4812127755973666e-11,2.523192349459439e-13,0.00016364580896696692,5.77050932374492e-06,1.1211034543067801e-05,0.09568448131247065
2300,0.0016265964406114346,4.0446719460113134e-05,1.5168785485310666e-09,6.261947412725957e-08,2.85007869343484e-13,6.029848421219144e-11,3.328141128614564e-12,2.6740278104015885e-13,0.00016548535294181842,6.9925023213563e-06,1.1639115187212489e-05,0.0956306420465716
2400,0.0017175632192827457,4.465892980077086e-05,1.7827877331736309e-09,6.350103392827595e-08,3.7700787170865865e-13,8.478608729858778e-11,1.7025077143805314e-11,3.603899628354638e-14,0.00017397560219899243,7.750072943514329e-06,1.1264248511312708e-05,0.09553918230991394
2500,0.0017656184344851317,4.736898496796781e-05,2.103894597767971e-09,6.388660825660227e-08,4.70398612958572e-13,7.824065795887989e-11,2.095952719018375e-11,1.5039808684687735e-14,0.0001776537023721303,7.3054324593412514e-06,1.1642540497370178e-05,0.09549104885287175
2600,0.0017820247134188354,4.645012216322399e-05,2.2481016789246137e-09,6.329135322099806e-08,5.103436858005248e-13,9.461739792600017e-11,2.2157452117993877e-11,8.279125134121365e-15,0.00018269622592110565,7.66645731927396e-06,1.189047134775773e-05,0.0956750789987698
2700,0.0019052328209185408,5.275181392977317e-05,2.4803330779614964e-09,6.235061954178653e-08,4.851313682385882e-13,1.3204770474508357e-10,2.666011017574746e-11,8.041279582550085e-14,0.0001801667221736339,8.788735772631992e-06,1.2053534656262383e-05,0.09561187368195
2800,0.0018766531036115675,5.30425827702513e-05,2.4906297389472487e-09,6.229481903593637e-08,4.99663338965598e-13,1.1360588521429356e-10,2.8253731049054312e-11,2.9013925267178327e-13,0.0001820827875645587,8.550290041717331e-06,1.2142993423151873e-05,0.09549397426662427
2900,0.001945150826490052,5.9586790771169644e-05,2.7237191424850926e-09,5.975929252739344e-08,6.34153743380484e-13,1.4663754904997073e-10,3.1431684598370007e-11,3.1047269123945714e-13,0.00018658908185120488,9.884109089904913e-06,1.1954681071477103e-05,0.09543955884664984
3000,0.0019720467238405074,6.232872272846211e-05,3.115263806708458e-09,6.17094495320824e-08,7.059343334102274e-13,1.5135721043735987e-10,2.956671915340936e-11,4.369390695244443e-13,0.00018641292522043323,1.0265003974477584e-05,1.1725457101252212e-05,0.09550288326584754
3100,0.002025826619622583,6.554173578226094e-05,3.1797753143517686e-09,6.007470632615123e-08,7.62914057695177e-13,2.0222973612301048e-10,3.136449882891969e-11,5.927214441999604e-13,0.00019645239381593454,1.1344918922373605e-05,1.1687813352600853e-05,0.09544022400503072
3200,0.0019967956251158575,6.401166298501352e-05,3.248674436792859e-09,5.738564992710958e-08,7.532220471802152e-13,1.9835028753832835e-10,4.2588891489073967e-11,7.272211246928328e-13,0.0001934515135900899,1.0925714285745698e-05,1.168831766287634e-05,0.09549434404234093
