miliseconds,Cdc25_active,Cdc25Ps216_active,Cdc25_inactive,Cdc25Ps216_inactive,Chk1P,protein_14_3_3,Cdc25Ps216_14_3_3_inactive,p53,p21,MPF,p21_MPF,preMPF,Wee1,Chk1,Rad3_ATM,Wee1_phosphorylated
0,9.993690270369396e-07,4.6890336147964e-17,1.333204657610374e-06,2.0109004619346877e-05,1.0043624193519973e-06,2.040676207843003,0.02983129029442577,0.0,5.863747090242615e-05,9.944430881067051e-09,-2.834224151005473e-13,-4.789457918212998e-06,0.0010137429320806338,0.9999990056709436,0.0,-1.3544109120990467e-14
100,9.990507822832714e-07,7.38360263942912e-15,2.66869314490315e-06,5.4787782871289506e-08,3.7253030381817687e-07,2.056331498244591,0.027332007136821792,0.0,0.001448649512654012,1.0071484099888369e-08,-4.783893687609178e-13,6.9637680484784e-05,0.0010177876092712288,0.9999996355835796,0.0,7.726831472777959e-14
200,9.980042738013672e-07,9.601382146734706e-15,3.5922382479821153e-06,-7.992399365571201e-08,1.3880579625065093e-07,2.1200578644328374,0.02485648895983193,0.0,0.0021962485738957795,9.994431455630256e-09,8.383555561532433e-13,0.00012239447443492655,0.0010536922023414346,0.9999998624399911,0.0,1.796570337200309e-13
300,9.970868073295816e-07,1.0438613212781406e-14,4.439101858284534e-06,-1.3354008938747297e-07,4.655058697649568e-08,2.2370268133560347,0.022120091755620984,0.0,0.0023979275951898906,9.933532669023004e-09,-2.976024352943059e-13,0.00017287039346414954,0.0010572308457287934,0.9999999448316645,0.0,2.0063160641775655e-13
400,9.964615930482032e-07,1.0736818720700035e-14,4.340824394684302e-06,9.372029002505616e-08,1.6641564406502964e-08,2.312766948828871,0.020343229936040017,0.0,0.0033622930811210835,1.0097841018441842e-08,7.902550255365646e-13,0.00018001306198755726,0.0010862471425545945,0.9999999804695175,0.0,3.064827302602058e-13
500,9.947340736752132e-07,1.0839409987670847e-14,5.7758294174049835e-06,1.3329728914204966e-08,5.1347350913716386e-09,2.3509613884126623,0.01800966356786006,0.0,0.00506175074944494,1.004277941481696e-08,6.521409605885671e-13,0.0002541232560401755,0.001111007132757598,0.9999999930977428,0.0,4.080873574943287e-13
600,9.934181415028004e-07,1.087920506266451e-14,6.616293041088537e-06,-1.3169275407568395e-07,3.0691300898383763e-09,2.4974414989429863,0.01677008490537053,0.0,0.005497571918660442,1.0002881253029466e-08,1.651150685868255e-12,0.00029748450338163785,0.0011226238380606837,0.9999999955675896,0.0,6.354422864889976e-13
700,9.936702748756077e-07,1.0888571666002779e-14,7.536022668137778e-06,-1.1337659291357155e-07,-1.3508755695395616e-09,2.557105954351252,0.014666706050818365,0.0,0.006501772777789109,1.006891846161818e-08,2.5430410791090745e-12,0.0003773056659353005,0.0011305849321323726,0.9999999944871034,0.0,6.420382161537199e-13
800,9.919081467351633e-07,1.0775766498326532e-14,8.69736488057961e-06,6.248594779371691e-08,-3.1288307569734325e-10,2.582595325773166,0.013515582567955516,0.0,0.007407364316230252,1.0087214116452197e-08,2.542912263904044e-12,0.0004236466422199457,0.0011461321268220978,0.999999996676697,0.0,8.600675819339306e-13
900,9.91500340127199e-07,1.0878283624241916e-14,9.862349865657912e-06,9.517924182437347e-08,4.317642068693798e-09,2.686576611076472,0.012152700329208684,0.0,0.008742559465893529,1.0145200907996923e-08,2.2844730867381384e-12,0.00044832641173534106,0.0011691391499015905,1.0000000052742344,0.0,9.031017427450497e-13
