milliseconds,Cdc25_active,Cdc25Ps216_active,Cdc25_inactive,Cdc25Ps216_inactive,Chk1P,protein_14_3_3,Cdc25Ps216_14_3_3_inactive,p53,p21,MPF,p21_MPF,preMPF,Wee1,Chk1,Rad3_ATM,Wee1_phosphorylated
0,9.999666559003583e-07,2.6990893216648564e-17,1.5815650284268381e-06,2.0085359303055575e-05,9.973872177177072e-07,2.010876074124058,0.030206860896209744,0.0,0.0003852881220043372,9.91477529137651e-09,-6.211903862741523e-13,2.517141832586299e-05,0.0010127832795041101,0.9999989946732079,0.0,-3.7265987413932443e-14
100,9.996817472572891e-07,7.23879486542783e-15,1.4392636237065794e-06,1.0732497094735701e-07,3.6184159463295143e-07,2.0742861695167076,0.02679861650286226,0.0,0.0009276117293561506,9.995625036891602e-09,-4.0517893559732085e-13,2.479959875744011e-05,0.0010202382223559036,0.9999996361995154,0.0,1.3199246372948471e-13
200,9.977809125359277e-07,9.599505663101421e-15,3.189459355810044e-06,5.98163584681308e-08,1.361617288508085e-07,2.1894677783880443,0.024947620879616963,0.0,0.0018361849292764232,9.97676840338898e-09,-5.272262992596216e-13,0.00010014090636334913,0.00103599216176994,0.999999860058855,0.0,2.1615382807349867e-13
300,9.963892064576635e-07,1.0470454587867638e-14,4.191138873278292e-06,-2.0053616327328268e-08,4.627971855251213e-08,2.2671544419779486,0.02209632933206354,0.0,0.003440281032183523,1.0086264976139343e-08,4.595185727552785e-13,0.00018427081354781524,0.0010562523259366793,0.9999999539876765,0.0,2.0211656775816353e-13
400,9.963501116707913e-07,1.0724322881669675e-14,4.731207780455822e-06,8.156248038403025e-09,1.2547391994634452e-08,2.2899374384419833,0.020472304871043654,0.0,0.003995446786192357,1.0095739753989206e-08,1.3049437875958722e-12,0.00018715557361616533,0.0010857607163833947,0.9999999779798857,0.0,3.4712989697495016e-13
500,9.949544598354568e-07,1.0834768314993918e-14,5.3198264269539135e-06,-1.372090102650762e-07,1.3864407451034849e-08,2.380673536801578,0.017858545547852947,0.0,0.005456172639454973,1.0141378335913584e-08,1.415213823027773e-12,0.00025989791759063757,0.0011042394539589567,0.9999999886981019,0.0,4.1879991709243703e-13
600,9.946977370545158e-07,1.0919472122516895e-14,7.0355770045941445e-06,1.483736663966669e-08,6.9421134133129574e-09,2.5060015528499084,0.016101552181428426,0.0,0.005509941030168982,1.0169690674748002e-08,8.149497616566816e-13,0.00033656730690661353,0.0011254915189821873,0.9999999975107042,0.0,6.273289280879152e-13
700,9.9292055620982e-07,1.0867955712903801e-14,7.37654903076414e-06,-2.1908892154435803e-10,-5.957110186177088e-09,2.5358551854724216,0.014621858985452155,0.0,0.007316720480941658,1.015215335415062e-08,2.478234737743617e-12,0.0003549018236962301,0.0011462038976560798,0.9999999958556655,0.0,6.957775264954591e-13
800,9.915130828067603e-07,1.0852576173025794e-14,9.626589717506844e-06,-1.0631471360595531e-07,6.262721692521616e-10,2.591313703245928,0.013756165017239544,0.0,0.007895009505598124,1.0094951097486558e-08,2.5787449176767136e-12,0.0003749300270033147,0.0011655330103590637,0.9999999953210803,0.0,9.375818407667572e-13
900,9.912884063503907e-07,1.0796473218169036e-14,9.478910713657968e-06,1.0817118208180364e-08,-1.712616137389801e-10,2.727153552228953,0.012063909720067652,0.0,0.008568513410678652,1.0276282033553195e-08,2.3735844717773688e-12,0.00046515772648539875,0.0011935587446877261,0.9999999949564136,0.0,1.0462162669507588e-12
1000,9.899131283149728e-07,1.0809284705670972e-14,1.036125467077439e-05,-3.968838976190984e-08,2.0212415299578505e-09,2.72520302412829,0.010861717510812037,0.0,0.009167947966871098,1.0188462008056296e-08,2.9396757252497785e-12,0.0004927611221308819,0.0011999041411250998,1.0000000067426893,0.0,1.1305139559344395e-12
1100,9.887156708271836e-07,1.0756514290903725e-14,1.2068628155021666e-05,6.257457321273178e-08,-6.635514901415135e-09,2.8354669273542656,0.009620116320378682,0.0,0.010945491715949145,1.0242524260340323e-08,3.853914042132082e-12,0.0005770634428339831,0.0012246363568566882,1.0000000067927537,0.0,1.2353706703222757e-12
1200,9.880648720492054e-07,1.0776864627865928e-14,1.2420417816178233e-05,-5.935656860433726e-08,-4.843958047257827e-09,2.93041146363507,0.008676903815388048,0.0,0.011381926056493095,1.0360587533124471e-08,4.896314804325402e-12,0.000569261402634284,0.0012425761303959282,1.000000005420864,0.0,1.216581823011567e-12
1300,9.87444673888158e-07,1.0773726861982629e-14,1.3771334822733245e-05,-3.9439970823612623e-08,6.970122119745867e-09,2.9743793217159427,0.007822508890023634,0.0,0.011967745129370242,1.0467006764040996e-08,5.351719249247855e-12,0.0006251852994518339,0.0012530414427234043,0.9999999958216781,0.0,1.429282384852227e-12
1400,9.861821466308483e-07,1.0633972876856218e-14,1.4908560460241132e-05,-8.259998858592225e-08,-5.0635698478597645e-09,3.0161926290972034,0.007534116095370149,0.0,0.013567091009986683,1.0401641181108066e-08,5.681434915075503e-12,0.000703329520050487,0.0012940062337477,0.9999999951814633,0.0,1.4125923410560952e-12
