milliseconds,Arr,Arr_di,Arr_tetra,Ca2_buff,G_GTP,Ga_GDP,Ga_GTP,Ga_GTP_PDE_a_Ga_GTP,Ga_GTP_a_PDE_a_Ga_GTP,Gbg,Gt,Ops,Ops_G,Ops_G_GTP,Ops_Gt,PDE,PDE_Ga_GTP,PDE_a_Ga_GTP,R,R0,R0_G,R0_G_GTP,R0_Gt,R0_RKpre,R1,R1_Arr,R1_G,R1_G_GTP,R1_Gt,R1_RKpost,R1_RKpre,R2,R2_Arr,R2_G,R2_G_GTP,R2_Gt,R2_RKpost,R2_RKpre,R3,R3_Arr,R3_G,R3_G_GTP,R3_Gt,R3_RKpost,R3_RKpre,R4,R4_Arr,R4_G,R4_G_GTP,R4_Gt,R4_RKpost,R4_RKpre,R5,R5_Arr,R5_G,R5_G_GTP,R5_Gt,R5_RKpost,R5_RKpre,R6,R6_Arr,R6_G,R6_G_GTP,R6_Gt,R6_RKpost,R6_RKpre,RGS,RGS_Ga_GTP_a_PDE_a_Ga_GTP,RGS_PDE_a_Ga_GTP,RK,R_Gt,RecR_Ca,RecR_Ca_RK,RecT,cGMP,Ca2_free
0,32195099.431474917,28684894.197406247,22773489.258188993,19.219900006987032,0.0,0.0,0.0,0.0,0.0,0.0,208184373.30432132,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506447899.6235213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14810.911540109115,47178236.51616913,13047242.316759778,5092441.170750177,237222931.37871864,6.494400024650188,0.009790030987007555
100,32195017.012799527,28685040.43652767,22773429.266774766,19.219948950878095,0.0,0.0,0.0,0.0,0.0,0.0,208184847.1610109,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448387.9181623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.693387696449,47177766.06394087,13047232.896752033,5092450.599564256,237222930.87027973,6.494406028529875,0.009790030746838829
200,32194953.371216703,28685175.51392954,22773371.854579426,19.219950250707463,0.0,0.0,0.0,0.0,0.0,0.0,208184855.10925272,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.988082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.1491317665,0.0,0.0,14801.8145666147,47177760.85994041,13047233.25304713,5092450.611400199,237222930.52722642,6.494406109701787,0.00979003144064519
300,32194906.37296284,28685290.300073996,22773337.811539285,19.21994790843063,0.0,0.0,0.0,0.0,0.0,0.0,208184857.43603817,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448381.548704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.1491317665,0.0,0.0,14801.884421032053,47177764.73357793,13047233.468986358,5092450.422055249,237222930.41043305,6.494406016909863,0.009790030869950764
400,32194881.691525575,28685383.080029953,22773305.26441027,19.219947550304433,0.0,0.0,0.0,0.0,0.0,0.0,208184848.5700991,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448393.174106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.1491317665,0.0,0.0,14801.739926979302,47177764.11741633,13047234.359529488,5092450.621867087,237222930.61569354,6.494406149939403,0.009790030685634141
500,32194853.41253556,28685436.47875886,22773273.57187999,19.21994833968535,0.0,0.0,0.0,0.0,0.0,0.0,208184858.20265797,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448385.9629474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.77052775618,47177766.3692415,13047234.697622564,5092450.608470683,237222929.96147445,6.494406102974996,0.00979003080926281
600,32194839.47981211,28685506.699983735,22773242.608337026,19.21994780471161,0.0,0.0,0.0,0.0,0.0,0.0,208184850.1329813,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448391.042346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.900987450248,47177762.5981755,13047235.112939816,5092450.481450907,237222929.6542538,6.494406088283012,0.009790030762299343
700,32194833.136386413,28685531.668303154,22773227.1592699,19.219948922472668,0.0,0.0,0.0,0.0,0.0,0.0,208184854.29979375,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448387.0074105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.777342506923,47177758.24700377,13047235.084795726,5092450.608975211,237222929.6106446,6.494406117044827,0.009790030976783657
800,32194832.914277554,28685575.042253822,22773207.547991026,19.219949067775417,0.0,0.0,0.0,0.0,0.0,0.0,208184860.11953926,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448389.108895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.1491317665,0.0,0.0,14801.82275677819,47177766.564372644,13047235.167534942,5092450.615843302,237222928.93730652,6.494406038864476,0.009790030983527355
900,32194834.103142265,28685593.204842098,22773198.025588106,19.219949253983764,0.0,0.0,0.0,0.0,0.0,0.0,208184855.17712203,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448381.956235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.865898126285,47177765.280329995,13047235.799127756,5092450.507371281,237222928.07018527,6.494406169624981,0.009790030978406134
