milliseconds,Arr,Arr_di,Arr_tetra,Ca2_buff,G_GTP,Ga_GDP,Ga_GTP,Ga_GTP_PDE_a_Ga_GTP,Ga_GTP_a_PDE_a_Ga_GTP,Gbg,Gt,Ops,Ops_G,Ops_G_GTP,Ops_Gt,PDE,PDE_Ga_GTP,PDE_a_Ga_GTP,R,R0,R0_G,R0_G_GTP,R0_Gt,R0_RKpre,R1,R1_Arr,R1_G,R1_G_GTP,R1_Gt,R1_RKpost,R1_RKpre,R2,R2_Arr,R2_G,R2_G_GTP,R2_Gt,R2_RKpost,R2_RKpre,R3,R3_Arr,R3_G,R3_G_GTP,R3_Gt,R3_RKpost,R3_RKpre,R4,R4_Arr,R4_G,R4_G_GTP,R4_Gt,R4_RKpost,R4_RKpre,R5,R5_Arr,R5_G,R5_G_GTP,R5_Gt,R5_RKpost,R5_RKpre,R6,R6_Arr,R6_G,R6_G_GTP,R6_Gt,R6_RKpost,R6_RKpre,RGS,RGS_Ga_GTP_a_PDE_a_Ga_GTP,RGS_PDE_a_Ga_GTP,RK,R_Gt,RecR_Ca,RecR_Ca_RK,RecT,cGMP,Ca2_free
0,32195094.80658381,28684878.289427023,22773500.05706986,19.21990060020811,0.0,0.0,0.0,0.0,0.0,0.0,208184370.87439024,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506447910.236552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14810.907871384376,47178236.464969136,13047241.88427941,5092441.1708616335,237222931.36294654,6.494400029758783,0.009790030994290535
100,32195012.018669046,28685069.351429183,22773435.654868405,19.219948867108595,0.0,0.0,0.0,0.0,0.0,0.0,208184860.45183903,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448381.91535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.731490770391,47177758.14084301,13047232.792924227,5092450.429255334,237222930.77946317,6.4944058805539315,0.009790030743320965
200,32194952.37357717,28685187.825288024,22773381.636251297,19.219949596275743,0.0,0.0,0.0,0.0,0.0,0.0,208184851.64770365,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448382.4748764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.779364613807,47177763.20265512,13047233.64584654,5092450.629435009,237222930.9472598,6.494406164226308,0.009790031438663879
300,32194910.661479786,28685277.941546585,22773331.497993156,19.219948188385104,0.0,0.0,0.0,0.0,0.0,0.0,208184851.64618164,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448387.3480043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.884290420623,47177754.98912471,13047233.956365202,5092450.436095599,237222930.2973795,6.49440610706702,0.00979003087674836
400,32194882.887280587,28685383.098609313,22773304.880027477,19.21994784012629,0.0,0.0,0.0,0.0,0.0,0.0,208184860.35865587,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448390.5160875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.1491317665,0.0,0.0,14801.714337939973,47177756.65588851,13047234.03434296,5092450.634421861,237222930.20232275,6.494406098763838,0.009790030691966036
500,32194859.886494447,28685463.34485801,22773270.898242246,19.21994865804286,0.0,0.0,0.0,0.0,0.0,0.0,208184856.14845735,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448394.6138096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.807017468615,47177762.32646949,13047234.230239235,5092450.480166635,237222929.8877581,6.494406094963896,0.009790030819532168
600,32194846.5822578,28685487.62074448,22773249.06843077,19.219948206406947,0.0,0.0,0.0,0.0,0.0,0.0,208184859.96904635,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448394.5263357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.1491317675,0.0,0.0,14801.67689904088,47177759.58655971,13047235.170734681,5092450.618170575,237222929.50674072,6.4944061719196995,0.009790030767763754
700,32194840.163023222,28685554.198053308,22773224.47045146,19.219948638303155,0.0,0.0,0.0,0.0,0.0,0.0,208184850.2168846,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448391.904992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.730058919327,47177756.39669264,13047235.435169086,5092450.403042587,237222928.86398852,6.494406019715859,0.009790030979322626
800,32194832.13200497,28685583.980873737,22773215.24384993,19.219948170301215,0.0,0.0,0.0,0.0,0.0,0.0,208184854.94653806,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448383.047486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.898898541138,47177757.84220928,13047235.666975446,5092450.505956616,237222928.41599366,6.494406055672301,0.009790030983198843
900,32194829.98940073,28685591.79271447,22773201.04918358,19.219949042369812,0.0,0.0,0.0,0.0,0.0,0.0,208184857.32249877,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448385.3065495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.888175052414,47177764.28846906,13047235.54290438,5092450.628819564,237222928.9086073,6.4944060401902535,0.009790030984556126
