miliseconds,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66
0,-1.912213378042958e-11,-0.000267939491357455,-9.196367766951803e-16,-4.838962891412712e-10,4.0575869786262183e-13,4.3430890539071794e-10,-1.0892215515522125e-10,1.0084192082037273e-12,1.312775602621026e-10,4.387235365558166e-11,-9.944027483719103e-10,1.9186745178316745e-11,7.016577514071584e-12,-4.612828211679801e-10,8.5908344552241e-12,-1.6614294181143915e-10,1.629968540969461e-10,-2.826794852098938e-06,-4.428434887066005e-11,1.3708176609542236e-08,-1.8790380114060216e-11,-3.9684628442106486e-08,-4.6172869859951365e-11,2.67540154912879e-13,3.35313483244578e-11,2.939369718111454e-11,-2.2429198098777937e-10,-7.27195937069596e-12,7.28634583781987e-15,-7.726096232565178e-13,8.739833401658152e-15,-2.3073092913893087e-13,2.008643509789964e-15,7.04759461305273e-05,-2.780607818632766e-10,-7.699972488943196e-11,-3.553070818032442e-08,-1.6345398778955614e-10,-6.859910037946905e-08,-5.777052125264726e-09,7.206277266357948e-11,-5.982746924170436e-09,-2.7872036180734526e-09,-8.434371073713622e-08,-3.3363708062116363e-09,5.804344560650769e-10,2.712965937147159e-07,-5.697246216660027e-10,1.042119037178998e-07,1.5882906981961825e-08,4.208397324507797e-06,4.2314576503922874e-11,5.796661815461771e-11,-2.252532604479486e-09,-5.098816778860729e-11,-1.2979037540457503e-08,-1.9297125854905635e-10,-6.891021368661098e-11,6.500531061946189e-10,-2.979851828213564e-10,-4.416420945230052e-07,3.746695734170872e-10,4.542076217239998e-10,-1.0399006594626272e-08,5.77151267416131e-10,3.6435823827109275e-09,5.151133484688532e-07
100,-1.1139501398646795e-10,0.0002878848017987581,5.0795135594793373e-14,-2.138651370261879e-10,3.538100680571272e-12,-1.7302493927420947e-10,1.2757427939022158e-10,-6.781862015364539e-12,3.1326237694180023e-10,1.2760086302079903e-10,2.277233423499439e-09,1.0253247882604868e-10,3.678927893538689e-12,-2.0561122446402338e-11,1.5574502762508926e-11,7.673435406056465e-12,-2.1164362984150213e-10,8.842723734764686e-07,4.770127334340208e-10,-1.2568077566969416e-08,2.6501189397446056e-10,1.5990083304977293e-08,4.350763920515005e-12,-3.256010690950897e-12,7.381113033262077e-11,5.456994389133524e-11,2.6577337189233367e-10,2.5117383698654305e-12,1.1460411668636605e-14,-4.700638694511126e-13,2.850778845822863e-14,2.093651581422192e-13,1.030125653783263e-15,6.992679806650937e-05,-5.187571181981143e-10,1.191622245060734e-10,4.2270927959890745e-08,1.0380689754128922e-10,-5.919319156856561e-08,-1.2638960895074251e-08,6.929896665667126e-11,9.5737606223043e-09,-6.428262507882306e-09,6.235886764512446e-08,-3.461458825115987e-09,5.362794632107066e-10,-2.851332085680641e-07,9.150640375957318e-11,2.0851873486163617e-07,1.7138357749682677e-07,-1.0473348395823798e-06,-2.3567227448988103e-11,-4.5326401592332505e-11,-5.017170779071232e-09,2.410601152577177e-11,-3.953927972809951e-09,-1.1368168042159533e-09,-1.3227849558084611e-11,9.697381262195461e-10,1.122154493532038e-10,6.986774622899686e-08,1.6615105312538222e-09,-9.809944673535534e-11,4.909167936605033e-07,2.51538478577628e-10,7.313934177643952e-08,2.016065013181637e-07
200,-1.0472022708914927e-10,0.0001896670532080761,4.5993153173905575e-14,1.0228753005552763e-09,2.427632238578751e-12,8.009806717731201e-10,2.982656563503665e-10,-8.657341974629895e-12,2.945930539321919e-10,1.484079966595512e-10,1.7421801081972692e-09,1.0759642695206e-10,2.2602490930304707e-12,3.994797659668714e-10,1.0360519274325485e-11,4.396380752292545e-11,-3.2289060924840316e-10,-6.120767690777671e-07,3.353336631659706e-10,1.815897818912541e-08,1.8034386784005993e-10,8.135400487838771e-08,-2.6662143328413623e-12,-2.0881269828575956e-12,7.11666141442361e-11,4.0086769853937795e-11,5.993207970447893e-10,6.0253138763723194e-12,-9.382825083065125e-15,3.2953167620170675e-13,-1.1164604604832932e-14,3.74539969744024e-13,7.291319556695092e-16,7.063635654799402e-05,-5.017280801265063e-10,-8.91828412665912e-11,5.468385233089697e-08,-8.303581405396949e-12,3.590190154387963e-08,1.4394266152101242e-08,-1.7804284863075787e-10,1.2205282540753064e-08,-4.712736442943322e-09,-6.016428933000126e-08,-2.1179547971968354e-10,-1.632950931123995e-10,-9.820548176463378e-08,-1.7595959880226528e-10,-8.162249645594951e-08,1.0325291277563343e-07,1.6516984768074672e-06,-2.0389092342807067e-10,-3.0311543764789606e-11,-6.42177310417667e-09,5.7648768143500393e-11,-8.105041155955003e-09,3.008178234661353e-09,2.519633660668922e-11,-2.0970410578614492e-09,6.635898071540311e-10,2.5646858062338894e-07,2.005365143668101e-09,-2.7657790707907635e-10,8.393163689004352e-07,-8.265927982833817e-11,1.3534119908317956e-07,-5.128320924896037e-07
300,-1.6063012636454822e-10,-0.0001637459429780012,2.756694076749952e-14,2.9235643015889693e-10,1.7069484877844379e-12,-3.3758184222349753e-10,2.143681009075994e-10,-6.457631118248237e-12,-5.5679893772872966e-11,-6.665497290528585e-12,1.5663315167773991e-09,1.2950318831098395e-10,-8.819686488099542e-12,-4.5314522333904357e-10,-7.297627160016826e-12,3.025427479216827e-10,-2.3134748032390127e-11,2.771918111173102e-06,2.630179792243891e-10,3.908393811321863e-08,1.6645507310989744e-10,-2.8500295495974453e-08,7.78626223816053e-11,-2.5384767522256717e-12,7.034800216868139e-11,5.1484911758419425e-12,4.5540616758442445e-11,-5.006945393837251e-13,7.267325645453319e-15,4.5314062624601293e-13,-1.3107075355944116e-14,-2.1363989738127912e-13,-2.2597201302599253e-15,6.944597620616657e-05,-2.6469348591668094e-10,-1.3621829733795233e-10,-5.176091005680073e-08,-3.921598265060743e-11,2.6049764767749e-08,-1.2979216417077175e-08,1.3680723480127787e-10,1.7742156318102425e-09,5.384808737072551e-09,6.124204725867421e-08,1.0024904527508991e-08,9.621164561739552e-11,-2.632939633227421e-07,7.513942030218348e-10,-2.0352250215743556e-07,5.49753058738339e-08,2.197155401713069e-06,7.787933595614888e-11,8.453630899981586e-11,-7.864799363607402e-09,6.179085924124216e-11,-4.446424601152521e-09,-7.449277321005204e-10,-2.4319579063775896e-11,2.475591852731787e-09,2.727616585116886e-10,-1.1450097996882733e-07,9.343195136556984e-11,4.727634717679017e-10,-5.379660189059633e-07,2.927428051145193e-10,1.7644925687043763e-07,-6.26373231130487e-07
400,-1.599082411431226e-11,0.00010460051890769768,2.844174578141588e-14,1.1191546392166136e-09,9.077320245821057e-13,7.935756470790785e-10,-1.2626800659855882e-11,-2.9826344873323416e-12,7.198726382454479e-11,-4.734520435964794e-11,-1.9757014308189471e-10,-2.230178172964556e-11,-1.3857879803227832e-12,3.9269665001810886e-10,-6.806404462687098e-12,4.825621548801772e-11,3.8905063521018706e-10,5.840422615500823e-07,1.423184590270213e-10,2.3150826537439782e-08,1.1955653956167895e-10,7.964076935707547e-08,6.176718034974831e-11,-1.1976425940507624e-12,7.006798315414017e-11,3.7039372913001294e-11,5.006957614328922e-10,2.974109800877653e-11,-4.777468263830607e-15,2.915875895498526e-13,-1.280397083275336e-14,-1.9325324631793868e-13,-1.7184254375706587e-15,6.928231231175558e-05,3.298726527486966e-11,2.0486120529673406e-10,5.2414483580315256e-08,1.5366511059611438e-10,-3.633216637952501e-08,1.2056066279346175e-08,6.094339410926899e-11,1.5800115405135683e-08,4.136804654993908e-09,2.167447304784311e-08,5.199719583761035e-10,3.8788818554416105e-10,6.750528259094333e-08,6.771211519273629e-10,-1.7686886764233678e-07,1.884770526489693e-07,1.0176029681525913e-06,8.935826615047472e-11,8.266259236986599e-11,1.4390113454595196e-08,7.101542510396776e-11,-2.7553197713225927e-09,1.906965834470381e-09,-2.966170298486042e-11,1.4381006165754478e-09,-1.1194418569787952e-09,-2.0349776220531943e-07,4.702671927283694e-10,5.690837124767593e-11,8.0817376511279e-07,6.662163182735338e-10,9.27587299483683e-08,-2.3131328726142175e-07
500,-1.474668203535895e-10,-0.00018238788494026817,1.2602652477445293e-14,2.3156304300027928e-10,1.5686906891221059e-12,-2.197634686781953e-10,2.0289272138059e-10,-2.1828123009541995e-12,1.8847195728449712e-10,-5.743342671662929e-11,1.8446303912117972e-09,8.093733020789416e-11,-9.365187842524152e-13,-1.5348737762020227e-10,-1.1339816228366329e-11,-1.3993119805625204e-10,-3.480742882395713e-10,1.245907134871536e-06,2.706178685367368e-10,8.201555573044046e-08,1.2519105948483745e-10,4.7885020769827795e-08,-8.799923052672947e-12,-5.211012031761176e-13,7.965006584891231e-11,4.5365246471713157e-11,3.645671334667458e-11,5.6572182178683054e-12,-5.035898841506044e-15,-1.010086746464151e-13,-1.8772107620917992e-14,3.7886413725295786e-14,-1.6359399296364583e-15,7.021894411571537e-05,4.0416144507012326e-10,-3.484045585709782e-11,-4.0058419603314025e-08,-3.5034655553424264e-11,1.74377881712807e-08,1.5688625892836292e-08,-1.041367974493415e-10,-6.998715448460457e-09,-4.6269473600914815e-09,-6.1388219137998946e-09,5.3828535284421245e-09,1.5585117183527788e-09,-3.178173465215332e-07,1.4469372099786006e-09,-1.6450973977759794e-07,3.868715693317269e-07,3.69745299353771e-06,2.9000902803361576e-11,-6.482490226001157e-11,-4.734269525203464e-09,-5.673879485029455e-11,1.1346999459972166e-08,3.2954737633682797e-09,2.1322260120167994e-11,2.0350129056314006e-09,-1.5177778028549033e-10,-3.9134414728790207e-07,7.299749400151882e-10,-2.3967915658220595e-10,-1.0110639407530875e-06,-3.5033693430712384e-10,2.1269372333029683e-07,3.749558991364703e-08
600,1.2279735500521138e-10,0.00028047910668788507,1.6484620754253152e-14,4.922163254925355e-10,1.3070586565526168e-12,8.968653275606979e-10,-1.0514527324324528e-10,1.1724220564116816e-12,6.91971381303776e-11,1.0201328638133568e-10,-3.852123489080978e-10,1.1013858197682603e-10,-2.79199861403046e-12,5.200699542516473e-10,-7.073468947167141e-12,2.4836075350102797e-10,4.029289068770234e-10,-2.5283019178410144e-06,1.8421843497186406e-10,9.937984072008917e-08,6.633361284505393e-11,1.0918350837458642e-07,3.483382215762061e-11,-4.713223023231121e-13,7.9448144389031e-11,1.40092191053028e-11,-1.1327939492405023e-10,2.925997753379926e-11,-1.2730405581105124e-14,1.691785363680108e-13,-1.1327771984943122e-14,3.2242581217103014e-13,1.579879388999401e-15,7.013506776218577e-05,2.7370410029874513e-10,1.607877378522238e-10,3.4025391604202105e-08,-3.145154160958501e-11,1.8269694723776696e-08,-7.820493375971586e-09,3.397535413532475e-11,-2.3062677252804877e-10,6.089550908255092e-09,2.718431579052602e-08,9.763177151703925e-09,1.3122182196498772e-09,-3.6194400434014444e-07,1.0083895060088748e-09,6.150245772929813e-08,1.7363952513998552e-07,1.3312835296946288e-06,8.939749674085201e-11,2.2132338223493646e-11,-1.0892529939142087e-08,-3.266533010331229e-11,4.291200534029924e-09,1.9457443155441953e-09,3.100922072241793e-11,3.4782228106020306e-09,1.8790302030445556e-09,-2.831774661359953e-07,-4.821829801575237e-10,-9.197864039303964e-11,-6.899989823820388e-07,-3.4766471926008043e-10,-5.067651036382125e-08,2.9165296328332664e-07
700,5.251789815974784e-12,-2.210830866564675e-05,1.90106633775358e-14,4.814663091326311e-10,1.4106978232384745e-12,9.03286910562933e-11,2.2821670432035255e-10,1.004382561050628e-12,1.2941435145279443e-10,-2.44896236304071e-11,1.7899285572928509e-09,-3.6488143782338695e-11,-5.174145000103538e-12,6.271464485470142e-10,8.97580277159398e-12,2.6724620266367627e-10,4.3723970972336447e-10,1.5397030207329944e-06,2.6177081322704375e-10,2.5228667917919272e-08,8.981555145445485e-11,3.8327180623820324e-08,-2.1382115173851048e-11,-4.533021264702796e-13,-2.6075235632990998e-11,-1.0281172046614143e-11,2.761075780573379e-10,-1.5691093838186597e-11,1.2207775478085344e-14,3.7793622817456656e-13,-6.3368885353669534e-15,2.705600652164573e-13,-2.298561304919576e-15,7.012014404315609e-05,2.2327113690266744e-10,1.2593751497271757e-10,8.175410834817043e-08,-5.081289110174342e-14,-4.584535828920246e-08,1.0187985585231873e-08,1.0966654395833021e-10,1.5363990792434492e-08,-1.3920363962222725e-09,9.271569797739598e-08,8.712586887675871e-09,9.010403079893897e-10,-4.666751679866809e-08,1.2213657398809316e-09,1.2554339574826936e-07,-1.3079620907129817e-07,1.4772902179419902e-06,-1.9969812648755895e-10,-5.282595987369449e-11,3.349471687202186e-09,4.9891455890534435e-11,3.1057513042166276e-09,1.1725330153019002e-09,-6.421737181514445e-11,1.4164733772445867e-09,5.881580228125307e-10,2.966110330841322e-07,1.8648665556374416e-09,4.4118315767988575e-10,-6.644019601983934e-07,7.394302659272256e-10,-3.0455211987201734e-08,-5.060320575793016e-07
800,-5.046317784768326e-11,-0.00012836059785438226,3.2709338810443786e-14,6.540628640982623e-10,1.4726030300234684e-12,2.996087936522024e-10,-3.299067219698591e-11,-6.260139177846779e-13,1.2848713405633178e-10,9.506343713376573e-11,-1.1706727896310157e-10,7.832693749097645e-11,-3.014886919281957e-12,3.1972684614778346e-10,9.218963817510048e-12,-2.314722683768649e-11,-1.3661331103723738e-11,-5.742320334683177e-07,1.83612970835165e-10,7.176663614382974e-09,1.2538011612676194e-10,8.737006977488163e-08,-2.2323583620950324e-11,-3.5305430104632264e-13,-2.5498303783452435e-11,-1.963055260877187e-11,-1.5441946842267663e-10,4.109821725201331e-11,-2.983312203195772e-15,5.318692479539976e-13,2.3602609288464823e-15,-3.8904125987830595e-14,2.420258182946933e-16,6.937903916441081e-05,-4.122051277297215e-10,1.0064393207916293e-10,-3.2296867749903436e-08,-7.454349354409086e-11,5.764578674474158e-09,1.6803721047511878e-08,-5.6618757624278967e-11,-6.806179268472836e-09,2.6779697387604133e-09,1.1357157902283404e-07,8.557008573021257e-09,1.155703609608181e-09,4.0394564216194797e-07,6.437783703136871e-10,6.114132025826191e-08,-3.8175825623871816e-07,3.534760445854251e-06,-2.0612268558852213e-10,-9.398486256267211e-11,-1.9403630609853525e-09,-7.027883951355583e-11,4.42022204975737e-09,6.55769384954984e-10,-5.11044689602801e-11,5.512244519160186e-11,1.7873913237795388e-09,8.829442383850738e-08,5.115903020564659e-11,1.0049803760301344e-10,-8.299704003895256e-07,7.567424297043957e-10,-3.3155296284783003e-07,3.1539234051572833e-07
900,-1.3598248847151696e-11,2.1953485052777184e-05,1.8849084413813343e-14,1.0281418710145453e-09,1.6642358261784161e-12,1.2964081969969325e-09,3.836322949716944e-11,4.6096034424174006e-12,1.652117871723957e-10,7.672773191444658e-11,1.590720586462638e-09,-4.98135851103209e-11,1.5657903868921657e-11,-2.938908455432721e-10,7.758248178967057e-12,-2.027045562509592e-10,-8.698147783381324e-12,-3.2639926647027706e-06,2.5288876879389544e-10,3.385612646491844e-08,9.429518450426016e-11,7.402128633838642e-08,5.90146793631378e-11,5.452928157105145e-13,4.236645738750698e-11,1.616695001033391e-11,-1.4145983709245946e-10,4.302884387452107e-11,1.3348872227836543e-14,1.804132348280523e-13,8.107157174575971e-15,-1.5739076955288818e-13,-1.9543175903048973e-16,6.940278721460664e-05,-6.819131492329231e-10,1.66751776575952e-11,-2.794699900549398e-08,-2.1364940336489053e-11,-3.7526086433334865e-08,1.7465323466365635e-08,1.4323170611725365e-10,1.2846835860680557e-08,7.043401870635053e-09,2.4400526493125904e-07,8.290909095143079e-10,1.805670165197763e-09,5.232846119782244e-07,1.4302391565803834e-09,-1.2869471442156468e-08,-4.187826021053335e-07,-8.438385928295452e-07,3.425653497651426e-11,3.284326547677744e-12,5.400328774978562e-09,1.923000558074037e-11,-1.4446378408932512e-09,1.7109163316223505e-09,1.475684743802045e-12,-5.224864511832922e-10,-5.814133145197292e-10,3.296724569608255e-07,2.4480183568571233e-09,9.784908155122402e-11,-5.012973744050259e-07,1.0186746552023686e-09,3.4813578982422607e-07,-1.8910682853108623e-07
