milliseconds,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66
0,-1.0378123240856188e-10,7.82285538898304e-05,2.9331687579856466e-15,-1.6709817219975768e-10,9.417815211143055e-14,-2.8079904304870734e-10,-3.433635485423081e-11,-1.5558037444220273e-13,-1.788169791348503e-10,5.422663437261995e-11,-6.398958827892964e-10,6.542454588129356e-11,2.934197611747046e-12,-3.72677993135822e-11,-8.734922357084526e-12,-6.521112371792761e-11,-3.4587248813145105e-10,1.4295349978749914e-06,2.6122242020023546e-11,-5.1874993356146895e-08,3.314206156734664e-11,-3.6737581532142265e-08,-3.502830445826142e-11,2.962429727588888e-13,1.549738704334232e-11,-2.710970930643026e-11,2.2543745874392842e-10,-2.3540141426159985e-11,3.84247090023164e-15,4.202725843872478e-13,-5.993678623707787e-15,3.5312843113059037e-13,-1.937563129946276e-15,7.072377960945477e-05,8.362725046586913e-11,-1.9443634906261286e-11,6.205152502934628e-08,1.995793097346926e-10,-5.17120380679398e-09,-1.5605926856956134e-08,1.0108453411227715e-10,3.709251311685262e-09,3.7987126002048695e-09,-1.0331808898948322e-08,-7.654408005593746e-09,-7.121664564400245e-10,4.199370978458167e-08,6.99991307750577e-10,-3.993208949903697e-08,4.35493870695902e-07,-8.147182102158403e-07,1.5649691760508047e-10,-2.7525999328439292e-11,-3.1943557171238695e-09,4.322256101582802e-11,1.497228336585151e-08,-2.896037974492196e-10,-7.883788052014904e-12,1.8815152755023775e-09,-1.258714921296425e-09,-1.886039961434582e-07,-2.5411814467555035e-12,-8.69791131358203e-11,1.2680673779761888e-07,-2.3959319688359063e-11,-1.5562334488079972e-07,6.046764023944594e-07
100,3.3934633654592336e-11,-0.00019754392276793753,5.661267983320603e-14,8.299705331259867e-10,3.4024590117097233e-12,1.0654042934965238e-09,5.8836361639246716e-12,-8.757625917471417e-12,-6.280284035312042e-12,1.775496620504616e-10,1.7313034434156319e-09,9.262665543314713e-11,1.2574429896231843e-11,2.025660664307291e-10,1.8281428408954814e-12,2.374444415977393e-10,-1.781265157928378e-10,-3.1042727776718575e-06,4.841727935653036e-10,3.300926080514338e-08,2.418658160435939e-10,-3.275856616624182e-08,7.440775265655914e-11,-3.120048183210399e-12,6.528905784109512e-11,2.466303598168685e-11,3.974557017954535e-10,6.241323744867013e-11,1.9109669619162826e-14,-2.6590241926516625e-13,1.1399321734583315e-14,1.945553030524926e-13,1.010543249674459e-15,6.912036912869734e-05,3.866084932415591e-10,1.9260230451583277e-10,3.8207907433616965e-08,3.406106869324128e-11,-3.925297800998284e-09,-3.5943808620116034e-09,-6.707539970461437e-11,1.2837720679304643e-08,5.4729037878362276e-09,-1.4763311189926015e-08,-5.144616860240441e-09,8.75773063993228e-10,-3.5239719874473535e-07,-8.474028389281925e-11,1.7818562275032247e-07,-4.242121849747273e-08,1.485939376941473e-06,7.396777592697876e-11,-1.0003325693404518e-10,-3.8936319509600905e-09,3.04895775224963e-11,-1.1324464107024168e-08,1.360859056222599e-10,-2.0598711834726436e-11,-1.4871234420515882e-09,1.7886397692319433e-09,8.70882421131516e-08,1.0914449440927484e-09,-3.5131741216781557e-10,1.217780537581059e-07,-8.223613324735667e-11,-1.766367667132795e-07,-1.2030649954454861e-08
200,3.306160218114424e-11,5.6020017949245994e-05,4.560051604961328e-14,2.017990685722129e-12,2.391337839143666e-12,8.068104653927844e-10,1.8827757799757745e-10,-8.11100902061676e-12,1.5150924877031162e-10,1.7228638013960486e-11,-1.2305698534545533e-11,7.691716903473456e-11,-7.051403561991833e-13,6.528606711930974e-11,7.534540654943743e-12,2.137159430655262e-10,-7.645500406498094e-11,2.5682158814759425e-06,4.4238114048524543e-10,1.3646542413747113e-08,2.067154543905869e-10,6.800733233455976e-08,8.593410924915838e-11,-2.6705880526932233e-12,9.642593999910513e-12,4.5232867790764014e-11,5.267098927741926e-10,2.687578421541914e-11,1.0406983003803422e-14,-7.122629005289315e-14,-2.694567806674333e-15,-3.0020708499665564e-15,1.2472630855180775e-16,6.943479075384341e-05,5.187578697476725e-10,1.1296857595731495e-10,3.3847975634898504e-08,1.6622501801414927e-10,-6.289199594530943e-09,8.837969048420302e-09,1.0908535780977429e-10,-7.246735719941118e-09,-8.123950477030277e-10,-4.1174880441575896e-08,-9.163206121664537e-10,3.054572416315197e-10,2.3513434821596247e-07,1.1347766607170834e-09,-1.0651378550095127e-07,9.959411325438227e-08,-9.325252234536061e-07,1.9443465930355487e-10,6.792856785869785e-11,2.786982093654172e-09,6.124918861930809e-11,1.506902456282738e-08,-8.001599429975839e-10,-1.844873579090423e-11,-2.425063191112584e-10,-1.2283282082934293e-09,-5.885028118093068e-07,-7.937670337203857e-10,7.830444476177863e-11,5.367842326890254e-08,5.184819414273822e-10,4.2824925413929577e-08,6.906906733503319e-07
300,-2.2441990308353068e-11,-5.6860934799728355e-05,2.4010419960707637e-14,-1.1403315494818304e-10,1.3266119058172915e-12,8.033269891113888e-10,2.539675444402667e-10,-3.4901354141419544e-12,4.8520252143827826e-11,1.2481966588773953e-10,5.311934727071345e-10,1.617780005838262e-11,2.1770487005868289e-13,9.194817153700615e-11,5.732896244705712e-12,7.841296609040591e-11,8.788504591212977e-11,-9.561034980842743e-07,2.985622771310731e-10,7.582072014464214e-08,1.2367300027906533e-10,7.367486847079354e-08,4.018661088713355e-11,-2.346620640813365e-12,7.404733004016383e-11,1.9267196970742508e-11,9.445669797026053e-11,5.274949867853005e-11,-2.084244324468987e-14,-1.3750182985814446e-13,-2.0164242275931812e-14,2.3935830217434536e-14,2.0785026402050463e-15,6.983633974884829e-05,3.557472345526539e-10,-1.8841858715002988e-10,-4.599383000789281e-08,-1.8230672106707696e-10,-3.521696537692151e-08,1.9789759734667133e-10,-1.2218165526815351e-10,-1.3683278197995103e-08,-3.791216231521868e-09,5.588115413313346e-08,-5.352087919142839e-09,1.8144589726115905e-10,3.2103973537208735e-07,8.642599876027758e-11,2.459292912811616e-07,-3.990399871995936e-07,3.2757593920530955e-06,1.463169421593162e-10,-3.735206473566593e-11,8.804578386958333e-09,-1.752650772992011e-11,4.33695424887481e-09,1.6228841841097204e-09,1.0111933528808193e-11,1.790981471976436e-09,-4.513379613562207e-10,5.375190138046346e-07,9.71246724207594e-10,2.0554020215445894e-10,2.3421660892911364e-07,6.474623773480182e-10,5.983207596692199e-08,6.769874615198506e-07
400,-1.1121705299504616e-10,1.9928300749348978e-05,1.2913918096585946e-14,6.451374199152994e-10,9.682035861003618e-13,1.1362740678852226e-09,1.8287476100409619e-10,-1.6415910661511303e-12,1.301359663964607e-10,8.028193972362327e-11,3.040417335672031e-11,-5.6231345906198433e-11,-1.2136174012624322e-11,-5.748817505511089e-10,-3.2280498967269345e-12,1.3456170925576217e-10,4.843336923083833e-10,2.9916264308926036e-06,1.1622189332994862e-10,9.326526289632304e-08,9.023047583402406e-11,8.447299440871507e-08,-1.0279050768873139e-11,-5.049439643411038e-13,-3.0531368111357547e-11,-1.9268728579884103e-11,-6.196778335012742e-11,2.879929743101315e-11,-1.747715589221993e-14,4.335198123958151e-13,-1.2867904406102942e-14,1.1205683841239957e-13,1.9723879179880005e-15,6.981785490705246e-05,-7.138166874180139e-11,-2.545248647653665e-10,4.23389598997088e-08,9.682659007113885e-11,-5.2898254901682385e-08,1.1092501323068908e-08,-4.7372990242843614e-11,7.67923270721353e-09,-5.657741739203678e-09,1.2822251613902642e-07,6.549158069503293e-09,1.7132793062652499e-09,-2.1710780791385286e-07,1.388523860932142e-09,1.1761028786967153e-07,-1.1731965584990152e-07,1.1514668760603283e-07,-1.8875700888223375e-10,5.991473442375665e-11,2.2457013186096454e-09,2.294737545074049e-11,-1.1531089980000078e-08,1.2953115640582987e-09,5.144228694550707e-11,-1.5661583275082318e-09,1.119972926280685e-09,-4.536261744600002e-07,1.6881449261292356e-10,-3.57061569294144e-10,-5.668084857060876e-07,5.989837448881172e-10,1.7425358494355473e-07,-4.891822659036179e-07
500,1.1535369699132802e-10,0.0002537816793263119,2.3566743216665132e-14,1.132669943352033e-09,1.2049739255949708e-12,9.048868793564764e-10,1.3207588562755613e-10,-9.484441196928406e-13,2.3722653333062197e-10,2.605001012162401e-11,1.482492159479641e-09,5.3023053086899355e-11,-1.0596790196783117e-12,-4.59162203708111e-10,1.9087685341176166e-13,-7.706169868777607e-11,1.367396145527541e-10,-2.2655919357874984e-06,1.765320591991627e-10,9.592837298176525e-08,5.662160103232255e-11,5.584849033737372e-08,7.12961982104481e-11,-3.2480568548534314e-13,5.863866291728104e-11,3.2138176936120524e-11,4.334458148865145e-10,2.7618182962134226e-11,3.647041794023323e-15,-8.169895597154822e-14,-7.334414580235578e-15,1.886740859002474e-13,-5.716783740557214e-16,6.922547591673353e-05,-1.2892662988281546e-10,2.1118308814436467e-11,2.29612217436061e-08,1.3675039139891875e-10,-5.2206341204739593e-08,1.5121359975816838e-08,1.8559329394214704e-11,-2.729756768103935e-09,2.4708704583251215e-09,1.2836288657713567e-07,7.62397730470881e-09,9.651335340029865e-10,-2.2952318877109917e-08,2.519810547201723e-10,7.311737524246981e-08,-2.084512854269153e-07,3.3027311644853843e-06,1.3237601441255754e-10,4.475617752843863e-11,-5.934205271323656e-09,-1.94508763900096e-11,-9.462681356913958e-09,1.1503838547600118e-09,6.9388761249665224e-12,3.0301602640405772e-09,-5.841352536694658e-10,4.826407536799633e-07,-2.2186389363273474e-10,2.7807245456673456e-10,-8.851144813202885e-07,1.766329622266046e-11,-2.677417765505991e-07,4.2659778793344364e-07
600,1.0892311354742887e-10,-0.00025115907907133014,2.863381150508783e-14,1.8887485071817577e-10,1.6089949231201472e-12,6.108839930795266e-10,1.8890739761456763e-11,7.482612222575321e-13,1.9345955027952721e-10,3.989808433452249e-11,1.6994336429106987e-09,-3.494955769491032e-11,-5.310119248205645e-12,-1.9165948983852922e-11,-3.204729475433645e-12,-1.4812600658994807e-10,-3.604027037664129e-10,-2.9415310960909864e-06,1.6894228924008365e-10,-1.1986866666375832e-08,7.803177966889649e-11,-1.6554515436066947e-08,-4.704679450656955e-12,-1.0084291671536922e-12,4.446487168982782e-11,9.412387616790912e-12,5.589846133230442e-10,-4.5454043402835275e-12,-7.635453791944828e-15,7.65274267798578e-13,-1.601055375832612e-14,-1.278732196191014e-13,6.273631822038498e-17,6.96502127212767e-05,-2.4766980403801477e-11,-1.4548231197493145e-10,-9.57703163947213e-10,6.9476951416337e-11,-5.3405213123451445e-08,1.2602534274723588e-08,-3.481593382832821e-11,-5.275028166773339e-09,5.691381050450736e-09,1.0299522140645412e-07,-4.097755320407586e-09,3.9126043518071076e-10,-1.1860622639372379e-07,5.564060880876149e-10,1.6650300464514013e-08,-4.1060336929722945e-07,6.427006442740909e-07,1.3596894836357745e-10,4.377241382549973e-11,1.7321361420469947e-08,-7.38481629482299e-12,-3.3949883556768413e-09,2.250498812531258e-09,3.5542612270423433e-11,1.328994429965689e-10,-6.145154395461164e-10,-4.957979263309364e-08,4.98797837477257e-11,-2.2891946326863112e-10,-3.798773679141963e-08,-2.913678758525924e-11,-2.9576918922123074e-07,-3.7622103166780644e-07
700,-1.6030327090963092e-10,0.00010265482970510461,2.3780075472076173e-14,4.955530298949234e-10,1.4785046984448228e-12,1.7066376133385098e-11,1.9036887232866492e-10,-2.0443836100582067e-12,-7.50975575419036e-11,-6.587330457471217e-11,1.636794238080434e-09,6.847662779653605e-12,2.659749946581521e-12,5.324323005545036e-10,-8.247088722000972e-13,2.6884676182475733e-10,-1.2507071031569069e-10,2.810340488502814e-06,2.337404998109782e-10,4.297688033383272e-09,7.214029001626858e-11,4.3284567157063034e-08,4.1426332643645305e-12,-2.1775613347188292e-13,3.2191193120179266e-11,2.955401095167864e-11,2.8524878907494847e-10,9.118320349557776e-12,4.275773969938619e-15,1.5453923077954716e-13,6.766030721749753e-15,-1.79644889311541e-15,2.1529932053774665e-15,6.999114567135721e-05,-5.160146002738246e-10,-2.0467589153110488e-10,1.632777418675891e-08,-1.5588146722451973e-10,6.599679599464705e-08,7.769169971765256e-09,-6.38630645696275e-11,2.1690719219135216e-09,1.0670047981102769e-08,1.3968581274246824e-07,8.745990689582341e-09,1.8020804004821052e-09,4.936694157155931e-08,8.377962759986916e-10,-1.8428438657866356e-07,3.637881267536954e-07,-1.1283702758759175e-06,-3.632441402572163e-11,3.497403976453606e-11,-3.536278313833051e-10,1.4276015294432233e-11,1.7601812872793218e-08,2.4363239274311373e-10,-3.7838794287298326e-11,3.6036843224565795e-10,3.366113340489709e-10,5.578164141451973e-07,4.3739583193819604e-11,1.9767843663562395e-10,-9.567625673000927e-07,6.226016891344262e-10,4.7409348596552615e-07,6.422153360071855e-08
800,-3.148911685350479e-11,-0.0001442387687364202,1.9023753183420772e-14,5.356451947463221e-10,1.1673621880400222e-12,1.2379224837363828e-09,2.2121041505209035e-14,1.383563784184218e-12,-1.2050965691260341e-10,1.190212546236022e-10,9.001347913358202e-10,4.724265950831115e-11,6.843951221647627e-12,6.957790400551773e-11,-4.774828503324789e-12,3.046484282572383e-10,-9.377441832814284e-11,2.0140191921530363e-06,2.8600015367177946e-10,4.7509491612342134e-08,1.429759611162149e-10,1.076751310220475e-07,7.370703324945721e-11,-8.247105695315002e-14,7.882106588168937e-11,-1.6746966531091358e-11,1.0211600858606022e-10,-4.5940084278405916e-12,-7.004258461758975e-16,-8.209227205085621e-14,1.4995883426100248e-14,2.5520073951884393e-13,-1.5921615021289955e-15,6.878408632747116e-05,3.0174771638499195e-11,-2.977668456248846e-10,8.631150678460774e-08,-1.0240098032713198e-10,-4.71784101288503e-08,8.85855936276611e-09,-1.7539996528048894e-10,-2.0537071510005956e-09,3.3091028301819587e-09,8.530449862934948e-08,1.0377968528336071e-08,2.1874252690924662e-09,-2.395201323505671e-07,8.955956759758291e-10,1.0918319100095822e-07,1.4968199667274212e-07,1.947114397769057e-06,-1.7006301901323672e-10,-8.240387815779243e-11,8.30310435335303e-09,-5.604293467975256e-11,1.9066798898604412e-08,-5.10904432215746e-10,5.30775761942022e-12,4.22383090541691e-09,1.6061902069830148e-09,1.324730564659597e-07,6.821769826371457e-10,5.757598434817064e-11,2.3677505589463587e-07,6.699399787135231e-11,4.2941052059801067e-07,-7.084109954619437e-07
900,3.0801526794918128e-12,-0.000257347256202578,3.269648887335457e-14,1.060572545263948e-09,9.61155714215488e-13,2.6166758637954337e-11,-1.0996449400623886e-10,4.006465805649297e-12,9.810474016253212e-11,5.905292519838476e-11,1.7361260173247167e-09,8.403563620098955e-11,9.407585160666156e-12,1.987148772170946e-10,-1.5981633888616302e-12,9.427516169883784e-11,-6.717945279955933e-11,6.862834666231605e-07,1.6072206885951784e-10,6.475129695910264e-08,9.002354096708164e-11,8.803096940458123e-08,1.7409918983047928e-12,3.612022559759322e-13,3.023777905963208e-11,-4.108996438690691e-12,5.344586199364415e-10,-8.149605640321173e-12,2.1690332935614325e-14,9.409653866545515e-13,9.456573829623297e-15,-8.397269906828701e-14,-1.1897962744908546e-15,6.993833706410997e-05,-3.5742836363135087e-10,-2.9623029932162407e-10,5.3664618740820616e-08,-9.746036748742667e-11,-3.8490892056367835e-08,-6.063386988922093e-09,-2.447122610835213e-11,6.104584926384463e-09,2.921646229379701e-09,2.470551323252754e-07,1.0443151892056942e-08,8.915590595284128e-10,-2.1941178308571207e-07,1.519177584661855e-09,1.5307887927813256e-07,-4.157054509502261e-07,5.26833463064065e-07,-8.435895432791873e-11,-3.946138756185416e-11,2.0794569463169127e-08,-2.8024772884186003e-11,-3.3831107327088995e-09,1.4165810252600091e-09,-4.505197202827619e-11,3.931084851949111e-09,2.1175672269618277e-10,-1.1531902342575635e-07,1.1116376148011378e-09,1.3592616752563508e-10,-5.227861613412588e-07,6.329628956531199e-10,-3.161263088572145e-07,1.640088290757975e-07
