miliseconds,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66
0,-1.4118070786797437e-10,0.00010470697232444681,3.175589878788149e-15,-1.8830393107998075e-10,-1.3758858338656596e-13,5.491292248082288e-10,-3.5789661307580246e-11,2.5721667840950145e-13,-1.4860326617982627e-10,5.497308151750138e-11,-1.693729992622752e-10,-3.010425301543107e-11,7.659324249715279e-12,-4.482322004949306e-11,-8.590375571465616e-12,-1.4764970802793406e-10,-4.3452510056204104e-10,2.9751565164679698e-06,4.7380717567131975e-11,2.1340320499250315e-08,2.4173244442213164e-12,4.369415675128592e-08,-5.3288933413262506e-11,-6.584526647772221e-13,-5.5085367479591004e-11,3.109405099494025e-11,3.1289795888064476e-10,-1.4203714630333413e-11,3.7079242676597405e-15,-6.933884110091463e-13,1.0056163920115677e-14,3.230509809723246e-14,1.0278465784813226e-15,6.957989565753371e-05,-3.622738144658827e-10,-1.9810502908828405e-10,-5.10441775811274e-08,-1.447112375256251e-10,6.143140615092173e-08,-5.0242404958927585e-09,4.747577928602823e-11,2.793739325243968e-09,-4.009613385729207e-09,-2.253990280968587e-08,-3.5001018612183233e-09,3.7934094522232896e-10,-4.7580504787564493e-07,1.0753201793488357e-10,-1.7684384273568332e-07,-1.7782135572092645e-07,1.8010423428797933e-06,-1.7458621511059336e-12,7.248112227691743e-11,-1.6046662094714377e-08,6.155390609314425e-11,4.532892710154075e-09,1.0745225914804706e-09,-3.398041757209684e-14,4.3769245868100485e-10,1.8777660523453038e-11,5.086816289768769e-07,-1.2824880301691798e-09,-3.3804515728758035e-10,-3.209519861389911e-07,3.011609155124209e-11,-3.4164080655742105e-07,-3.9579537895029865e-07
100,-7.133606471166436e-11,5.1879135676376244e-05,5.922187124847951e-14,8.457576319383104e-10,2.664586719244703e-12,-4.2046837698540883e-10,7.71366849510896e-11,-1.053990485541205e-11,7.75218262515643e-11,1.2462096698122437e-10,2.027853169119031e-09,3.9729445936019827e-11,7.492972651795906e-12,2.424565949456527e-10,2.746445603971489e-12,9.455444346409515e-11,1.3393394462166914e-10,2.4806595696206257e-06,5.156716922110071e-10,8.265184026280589e-08,2.819074973621826e-10,5.409756007930833e-08,-6.802752880702898e-13,-3.8512312315469954e-12,6.1746340481742e-11,3.451274822377822e-11,7.64864739795344e-10,6.913759419432528e-11,4.17533394496404e-15,8.196710634973568e-13,1.64259138066699e-15,2.1096153729407582e-13,-2.514099870424564e-15,7.06299256582228e-05,3.9883458342237886e-10,1.8333968404092927e-10,-1.860640364142645e-08,-2.0993015663219717e-12,-5.805505376313602e-08,8.849201155078352e-09,-1.921871176641415e-10,1.754228572666797e-08,-6.940312959550977e-09,2.6161471423747098e-08,1.8391201462097401e-09,-3.447104651549556e-10,5.443174617599876e-09,2.355685652568167e-10,1.6635843835833145e-07,-4.0735667474180877e-07,3.7000600745742885e-07,5.022715076422516e-11,-5.0950483222305905e-11,-4.421983524987011e-09,6.462526843853931e-11,1.1496343391089979e-08,-1.3190462021905386e-09,4.598733193862104e-11,2.0304800502699924e-09,8.689030224893719e-10,3.528151323965835e-07,-9.59077270602103e-10,2.4582272781144476e-10,6.739295615262009e-08,4.524601934697752e-10,-5.939094685730995e-08,-5.765572073431355e-07
200,1.725674580629394e-10,8.380454849729144e-05,4.1882438245668505e-14,9.357195539504074e-10,2.1164668575258907e-12,-2.4780175814831266e-11,2.239651962571474e-10,-7.379365490361158e-12,2.905181173711099e-10,1.3657608878518124e-10,2.002643217607508e-09,1.538750835302995e-10,6.993097542679937e-12,-6.392712269632276e-11,2.7165205425478428e-12,-1.9291592734197355e-10,-3.626287342301313e-10,2.1348826017929994e-06,4.243702447158752e-10,-1.3625456595022293e-08,1.77039061479387e-10,4.211980945129272e-08,5.727183876091438e-11,-3.022498245167395e-12,7.115886304255866e-11,4.942151438440178e-11,5.771433443936334e-10,1.0214616052338553e-11,-8.757292093266831e-15,8.097128348336416e-13,-1.0877240568576097e-14,3.0702460766726995e-13,-1.5577049396409314e-15,7.029165941524163e-05,5.499640740498592e-10,4.2766936000816046e-11,1.5265023326328203e-08,1.275743358095436e-10,3.1238355702942924e-08,-1.23087759043002e-08,-1.4143762952027101e-11,1.8547150516725136e-08,-6.85525638062581e-09,2.7254360377006195e-08,6.014595390793039e-09,1.1032583560131535e-09,-2.149242936075361e-07,5.309385683486341e-10,-1.34231041972216e-07,3.424443065362411e-09,1.4138555597309807e-06,1.0040872377784903e-10,1.0695559730076749e-11,-9.083954720916895e-10,-6.701801263741668e-11,-1.2347301909691169e-08,-3.935911773508767e-10,-4.5279006400380845e-11,-2.7380731800847165e-10,-5.459495814537064e-10,2.082552748652139e-07,1.533171381998974e-09,5.711617549748207e-10,-6.76361986493318e-07,8.8366014200073e-11,4.806063263617406e-07,3.970013174969849e-07
300,3.476401308710549e-11,-0.00011261903440108651,2.878301514600376e-14,6.0292140601463e-11,1.9967104518626283e-12,8.588611164141346e-11,9.203335561362574e-11,-2.761322956484669e-12,1.5001255959080878e-10,3.74926659517374e-12,-1.1895904714308358e-10,1.2295835251260345e-10,-3.745194651061723e-12,-3.323067603252513e-10,6.6956490592272845e-12,-7.965249206985878e-11,2.58671211499287e-10,5.569850102469839e-07,2.1725313486357512e-10,6.768439513508344e-08,1.1483313279654775e-10,4.579076378219594e-08,8.838139117396702e-11,-1.987748641239823e-12,-2.7116682491008637e-11,2.0578387472909613e-11,5.824465839359576e-10,5.217196714480703e-11,7.323421125570314e-15,3.33426247117972e-14,-1.897110462623044e-14,1.7143159107409444e-13,1.1195525649160208e-16,6.98791192861939e-05,-7.239415406259797e-11,1.4459285112134808e-10,-4.658948761533622e-08,-6.868698043111741e-11,2.711876500351821e-08,5.7480284104064304e-09,-1.2957811032175254e-10,9.65723302749674e-09,8.836726146115978e-09,1.1938012818978725e-07,-2.1186705501512655e-09,2.8722461576778486e-10,3.4161149975462243e-07,6.917821994461919e-10,9.406224073251381e-08,-3.6863873526695976e-07,3.4372781096712315e-06,7.658180558129533e-11,1.6229792619491543e-11,6.650806533861928e-09,3.906138202907724e-11,-1.2572737545554994e-08,-5.683208184011907e-10,-2.8002132999511592e-11,2.159533423482503e-09,-3.141888169720574e-10,-2.3277853376297427e-07,-9.68329599238367e-10,-2.613932552894681e-12,6.200694041930853e-08,-7.860144547074675e-11,1.050648238953177e-07,4.906391878654644e-07
400,-6.688239362897203e-11,-0.00027457288380119423,1.2318588807232453e-14,-4.5335720785103466e-11,1.1229811920358823e-12,6.151145467311233e-10,2.708084657933972e-11,-1.9056170332557165e-12,9.42109724712259e-11,9.506579883094787e-11,-3.0213514119135206e-10,1.0723088102899856e-10,-7.652954802476057e-12,-5.480743344063621e-10,-4.056045243572215e-12,-2.256109418511278e-10,4.153525169296664e-10,-1.0150525283094347e-06,2.33992171261635e-10,8.308252197267684e-08,1.1683348724138932e-10,1.0529420001350792e-08,8.226145953644908e-11,-9.213594024296618e-13,7.375729822096445e-11,1.6493571097291006e-11,2.7608860007139835e-10,4.092232185008788e-11,-6.165439560007805e-15,-2.7567509118553687e-14,-1.6521269466573143e-14,3.00083657843517e-14,2.723272069374351e-15,7.011259970720017e-05,-2.104229949452956e-10,1.1122411403292103e-10,7.32421101958238e-08,7.864639390235156e-11,7.920882592448043e-08,2.271284772848962e-09,-1.2855412036159775e-10,-4.505771645558878e-09,-3.767075545316116e-09,1.404827031266131e-07,2.74502779326667e-09,1.567485228468631e-09,1.5078071994379944e-07,3.752765796074018e-10,1.1860882284268266e-07,-3.084959766756508e-07,2.4763518075719873e-06,-1.7493254682130522e-10,-4.153434402967202e-12,1.2200885592907581e-08,-6.110175418677677e-11,1.3180085522452926e-08,-3.4773039774632752e-12,6.491546288766589e-11,-1.4464950504114442e-09,1.0457948998208536e-09,-1.275626649229009e-07,-5.28839249706868e-10,1.353490834594395e-10,1.1347979371361246e-07,3.7331350895302586e-13,3.550489346559893e-07,-5.149003529091467e-07
500,-1.6567746839920605e-10,2.952158564187268e-05,2.4029794844381048e-14,1.0514580122735448e-09,7.698962857063068e-13,8.242765493756438e-10,6.316505618254512e-11,-2.1813416669237343e-12,1.0380885078701804e-10,1.2114021108304085e-10,1.4700639583626134e-09,6.151424988407585e-11,2.65363643171583e-12,-4.5304514237429944e-10,1.8788521966526714e-12,-1.952288206206141e-11,4.388060832542315e-10,4.716956906045825e-07,1.2339833354697033e-10,6.957230174808238e-08,1.0331290226941272e-10,1.0256207507870527e-07,-1.88258171384521e-11,3.1777762220238684e-15,4.060150835408213e-11,4.0887746415242475e-11,-6.477629715109295e-11,-8.796921742612799e-12,-7.711242425412703e-17,5.660319647586219e-13,4.467000262043894e-15,2.6744384742809027e-13,-9.782441525470904e-16,6.964719912010916e-05,5.163890571462476e-10,-1.3376615599482198e-10,-4.1063311957990424e-08,3.53521030701356e-11,-5.943429271791502e-08,-9.784736250341155e-09,6.389039705639491e-11,1.8307738632555192e-08,8.96584477882267e-09,1.1505737043883664e-07,1.3652527200353867e-09,1.2118850564168386e-09,-5.982954235335391e-08,4.231758448508713e-10,1.3223369224360941e-07,-7.629900059970535e-08,-1.3564507932203046e-06,-1.3239578541122782e-10,-6.312834311462814e-11,1.135025857871211e-08,6.236197490893418e-11,1.0225671480053967e-08,3.3805504132166228e-09,-6.742767797691327e-11,-9.617080230990746e-10,4.861606241417522e-10,5.450219729627676e-07,2.8425245788554926e-10,6.858123608932106e-10,-6.652693788970882e-07,3.440815263443027e-10,-4.656470420061373e-07,-2.2307711553324e-07
600,-1.8182653086672717e-10,0.00018199090801182899,2.486573338662415e-14,-1.4739819123584312e-10,9.369381907443563e-13,-1.8663279355391763e-10,1.7067793834143147e-10,-3.2329426034816117e-12,7.499951500168441e-11,2.5500769617782768e-11,6.856952369183068e-10,4.6224019139188567e-11,1.2269618874998008e-12,-4.472077169686896e-10,-8.170998630253102e-12,-2.536815675487776e-10,-3.169131082631828e-10,-5.29969320198338e-07,1.227832113433772e-10,3.514120213320476e-08,1.1167177886961016e-10,4.7301451468081606e-08,8.098752792642527e-11,-6.478328341197964e-13,-2.671182603419301e-11,9.739362668370486e-12,1.4712950478475711e-10,2.0763773410989464e-11,5.671580087400766e-15,3.2609165891416465e-13,8.730656014794755e-15,3.182219600194875e-13,-1.33608270761057e-15,6.99612070911833e-05,1.9846635229252847e-10,-1.7411628245002115e-10,2.188686948607887e-08,-7.324628544160359e-11,8.337939355309538e-08,1.7724750604496492e-08,-1.3516763987007248e-10,-2.483149773386929e-09,2.735238117236916e-09,1.5933157895143375e-07,-2.0603715517535274e-09,1.3719720816624983e-09,-2.6261638451251586e-08,4.4142850885847594e-10,1.640130638911292e-07,-2.044448829514358e-07,2.7896195817544642e-06,9.674265275574785e-13,-9.452425582460218e-11,2.6960148517467933e-09,1.1938255099345311e-11,1.8668315423974725e-08,-1.4240183153447162e-09,4.672611764944812e-11,3.5196725023572514e-09,6.059746953724362e-10,3.3675400658673127e-07,-2.7348854942139637e-10,1.6041884484066139e-10,-8.619717698586539e-07,-1.0856762072623802e-11,-9.013358328416951e-08,-5.389957567195151e-07
700,-1.7578629945122608e-10,4.563612798981842e-05,1.5931560228170366e-14,7.818066710555665e-10,1.7204931045556498e-12,7.214653415921689e-10,1.427837261480356e-10,1.5884357159414977e-12,1.8099915809823017e-10,8.325293244895593e-11,1.4634626035617763e-09,-6.83734117864305e-11,-2.6586126512739733e-12,-4.40367892096283e-11,1.0453601070196335e-11,-2.2293060432863424e-10,2.604286052965977e-10,-3.0719884369025686e-06,2.8350822633628313e-10,-6.577037008312657e-09,8.341800213782322e-11,1.1301329399145753e-07,6.488465211305774e-11,-4.554930413288117e-13,-3.414754797706622e-11,7.465343250160628e-12,-3.25184386234765e-11,-9.897583292478545e-12,1.4232613240018828e-14,-5.628137467916031e-13,5.728870529736439e-16,7.494145845079778e-14,-2.5150588754752933e-16,6.934224549094924e-05,-4.6679076564256496e-12,-1.478866725006581e-10,3.2833661956079353e-09,-2.0069045605457367e-10,2.4642906469203258e-08,1.7766079756912943e-08,1.0390028469992259e-10,6.601402086303469e-09,7.164738850075715e-09,1.9112443526124473e-07,-1.3965565643330417e-09,8.615594757245095e-10,6.132890378350611e-08,1.0124873431784852e-09,8.720578370318889e-08,9.395844716189353e-08,3.3007960993035768e-06,-2.2441048680999709e-10,-1.6163829174217426e-11,3.9603489817494335e-09,5.573583378526759e-11,-7.513891103301331e-09,2.396352204339055e-09,-4.860423434664912e-11,3.591458937379023e-09,1.1429219576735887e-09,2.4555704037552564e-07,5.79462140514633e-10,2.9185050177277387e-10,8.770159909880999e-07,4.3878154895310976e-10,-1.8503194906704336e-07,-6.403382131874259e-10
800,-1.6430311747194635e-10,0.0002674005618016772,1.851287387242092e-14,1.8318409952051028e-10,1.610508369040973e-12,-5.580459670884756e-11,-1.1035794594806212e-10,2.5667487719887813e-12,-1.2131523665439956e-10,2.5445152571510268e-11,1.7245772954590314e-09,9.52847120642536e-12,4.293554828816613e-12,9.318785797545254e-12,1.4327320549764576e-12,3.126948422980637e-11,-3.3049557594935677e-10,2.5465061963453185e-06,2.430090644264846e-10,8.209718348091844e-08,1.2369955423002475e-10,1.0113854543985056e-07,-2.3170123062565873e-11,2.0850970604555605e-13,1.7943119214511187e-12,-4.32348162224973e-12,5.042085410568158e-10,4.695780746736172e-11,1.488174610384374e-14,8.600245377892496e-13,2.6319552732707068e-15,2.362431341736107e-13,-1.5824988368611278e-15,6.890657404714555e-05,-1.0069789559052957e-10,5.536586049905245e-11,2.0953987666628147e-08,3.714865564522726e-11,5.7115295319177344e-08,1.3271837110478847e-08,-1.0048815384862376e-11,1.914667336480803e-08,-3.6810565862602743e-09,2.125479594155001e-07,-1.9820501058868015e-09,1.007490863013615e-09,1.1539432597383142e-07,7.566290787618856e-10,1.2704233478850363e-07,4.1333343585888567e-07,2.0749675389751596e-06,-2.46564309646051e-10,-4.761940430878472e-11,1.9676553667923706e-08,-2.0898223574480485e-11,-5.093039949694671e-10,-4.925908130159439e-10,2.8672941811746813e-11,1.1375303971890927e-09,1.516605942939753e-09,-2.932067349376231e-07,1.5784797144820296e-09,1.020483952586833e-10,6.121281184681028e-07,-2.777443365846339e-10,1.630414833508299e-07,2.370000399891544e-07
900,-1.3440031655126599e-10,0.00021921580466897938,2.0120852760627064e-14,3.267989934558423e-10,1.1143986213116065e-12,8.29140126751256e-10,-2.5034418497412402e-11,4.687855972355902e-12,5.277458639499804e-11,3.241738285539693e-11,6.393020934680049e-10,1.2257665816325219e-10,-1.3785395101995292e-12,3.7565416280487264e-10,-1.7130044086346215e-12,-1.943980275332138e-10,-2.4369327410517144e-10,-3.939575669484415e-06,2.9350681848045753e-10,7.296758002955275e-08,1.3675938120690835e-10,8.400035451678188e-08,-4.53429494758472e-11,1.1878275022792812e-12,-1.1590084559199994e-11,5.1491589662079825e-12,3.15796712701684e-10,4.4169261124452465e-11,4.030828883369819e-15,-5.829729970104008e-13,-5.828077049836213e-15,-1.400442767184433e-13,3.3689670781953685e-17,6.912246552020563e-05,-5.385834258272967e-10,-8.340893534819727e-11,7.77626657861473e-08,3.9358577067705243e-11,-1.9500693465099318e-08,1.7108137738239173e-08,6.622937773395112e-11,7.4645551133425e-09,6.560601772374577e-09,1.0265277238517839e-07,8.748611886530915e-09,1.916709982865765e-09,-1.0389818593258587e-07,2.3715512160256844e-09,1.6990563531071598e-08,-1.3807107697806757e-07,2.8124827092098605e-06,9.502645302293745e-11,6.38040899165444e-11,6.2720819934988115e-09,1.3981483512376344e-11,5.6538772085856065e-09,-5.239304594719422e-10,-2.947338089994892e-11,-4.259468105919505e-10,2.3813954232608907e-09,-2.1762916550512446e-07,1.671057893269057e-09,4.6153450668048433e-10,9.151401898768421e-07,6.787004636060847e-10,8.38797342124748e-08,5.748690445551539e-07
