milliseconds,N0,N1,N2
0,1.7544483141289422,27.405850589819938,45.61914941091714
100,1.7544483141259208,27.40585059047221,45.619149409529584
200,1.7544483141293894,27.405850590905427,45.61914940869926
300,1.7544483141291969,27.405850591071975,45.61914940764992
400,1.7544483141287242,27.40585059176322,45.619149406835746
500,1.7544483141278948,27.405850591902915,45.61914940681978
600,1.7544483141260936,27.405850591812403,45.61914940676869
700,1.7544483141250635,27.405850592242896,45.61914940683044
800,1.754448314127316,27.405850592756366,45.61914940665406
900,1.7544483141223424,27.40585059265614,45.619149406737165
1000,1.7544483141215281,27.405850592709754,45.61914940660168
1100,1.75444831412259,27.405850593349104,45.619149406632516
1200,1.754448314119792,27.405850593554483,45.61914940654228
1300,1.7544483141194505,27.405850593481933,45.61914940640554
1400,1.7544483141171185,27.405850593987807,45.61914940635031
1500,1.7544483141153884,27.40585059442847,45.619149406468416
1600,1.754448314112794,27.40585059450592,45.619149406335154
1700,1.7544483141100402,27.405850594551694,45.619149406313106
1800,1.754448314111411,27.405850594584027,45.619149406317
1900,1.7544483141090852,27.40585059512707,45.6191494061028
2000,1.7544483141072915,27.40585059521663,45.61914940619112
2100,1.7544483141049598,27.405850595209845,45.61914940604485
2200,1.7544483141069545,27.405850595846797,45.61914940605473
2300,1.7544483141051466,27.405850595830103,45.619149405899435
2400,1.754448314099196,27.405850596409767,45.619149405979115
2500,1.75444831409945,27.40585059627363,45.61914940595331
2600,1.7544483140963791,27.40585059676157,45.6191494058172
2700,1.7544483140960374,27.405850597026525,45.61914940579923
2800,1.7544483140982512,27.40585059724859,45.61914940578821
2900,1.7544483140927072,27.405850597446737,45.61914940565085
3000,1.7544483140937628,27.405850597343154,45.61914940572674
3100,1.7544483140930083,27.405850598087447,45.61914940560966
3200,1.7544483140896958,27.405850598064095,45.61914940546582
3300,1.754448314089657,27.405850598377107,45.61914940541454
3400,1.7544483140895701,27.40585059853355,45.61914940541661
3500,1.7544483140869127,27.405850598426145,45.61914940536569
3600,1.7544483140824318,27.40585059875331,45.61914940544052
3700,1.7544483140826028,27.405850598939285,45.61914940529255
3800,1.7544483140837714,27.405850599318864,45.61914940524002
3900,1.7544483140763012,27.405850599303566,45.61914940528822
4000,1.7544483140725082,27.405850599230128,45.619149405347024
4100,1.754448314073091,27.40585059975083,45.619149405277156
4200,1.754448314067697,27.405850599335167,45.619149405285455
4300,1.7544483140629668,27.40585059945214,45.61914940529097
4400,1.75444831405916,27.40585059977136,45.61914940531411
4500,1.7544483140593534,27.4058505993558,45.61914940523308
4600,1.754448314052208,27.405850599604914,45.61914940537048
4700,1.7544483140511344,27.40585059967066,45.61914940533652
4800,1.7544483140477896,27.405850599420482,45.6191494053833
4900,1.754448314042534,27.405850599373544,45.61914940531217
5000,1.7544483140396436,27.405850599401255,45.6191494054264
