miliseconds,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17,species_18,species_19,species_20,species_21,species_22,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30,species_1
0,328421.88241474074,492582.8462048525,-456.230441913683,-28.98241503139502,-0.0031139516987688316,-16.41140392207377,-1.4807721468857908,2991.4164363116233,-0.8829012084337935,0.000938153965562747,-18.812108232161144,-8.753335910292963,-12.118209452557858,133183.37968755615,5447.91084245354,-0.009810438425642087,345117.20423398755,96844.27378244435,509732.813826096,0.0028291391654246064,-1.1716146001635566,271724.29926150356,8101.543275742948,65317.50987457477,101243.777422304,230078.28270037123,-381.51108128473163,181149.68282932686,151830.39592112714,116003106.34106618
100,328253.4952187817,492564.1382958941,131791.46210084733,5425.270641354969,-0.0020466669252365167,8147.072849555155,5.18324874749607,490717.4170927764,0.020723840818012818,-0.005587406468673745,93203.6351132952,5.323061114187736,15.442613255561811,1600.6921837151071,80.59443986339923,0.011122996789290254,345117.35011300707,3376.305791917629,21162.67621836738,-0.005388380497540898,3.9244138439497718,271723.3408244755,98.30641504928462,2994.5913256536865,101230.0681131737,230078.1008892925,62749.11704318341,181148.54827118438,151804.9822895791,115206871.86589518
200,328060.2955336298,492392.4929088718,133418.27883369132,5418.17969564911,0.0038283434423289557,8187.54735186941,9.45409266107827,508579.82126398734,28.54683073491811,0.014591563107064184,97926.05508235435,26.514548347171246,61.932255461361144,104.64458378382926,19.97780775527447,0.010371590628868445,345117.1863129894,-227.12057485463706,-2421.7660639885235,0.0028464610850644375,6.003844459084902,271720.5894205007,25.675256265678666,-100.20785438217018,101183.76035565448,230078.19055656352,65484.75274705837,181147.28986356998,151769.034995031,115181418.85426265
300,328097.6622065612,492130.4286822481,132817.01500985425,5473.294783007584,-0.0007666138817639812,8236.532085231314,12.49953039523982,509736.85430797574,28.304987682291866,0.005650429807933348,97473.11509317908,66.50927846135374,86.29282622071776,1018.2881470613984,-6.029413900211842,0.0009107256255848793,345117.28061989363,-40.78694009958731,2896.102084265281,0.005864296190682581,6.122540733805566,271720.3718832141,65.45507914959458,-26.935400166874672,101155.92008689416,230078.13954386496,65530.28684231575,181146.66052240288,151733.11477332472,115178390.71231383
400,327742.6286749882,491678.10350319924,132707.63027624955,5498.633405790238,0.0001286452820695662,8246.870057734055,16.566969749130312,505523.91255566955,49.22341919779592,0.013854892553256455,98446.1700365086,86.30338032702716,164.9200841536047,-676.5463184765149,8.36285721897516,-0.005677879749246021,345117.3305357733,-183.5299216309076,95.86577460637628,0.003484875969228358,9.29336363914331,271718.4965719388,-5.920504536391668,-334.46650116987286,101131.46906287511,230078.0598525674,65956.32271046056,181144.10963107907,151720.66247868637,115182650.08865042
500,327589.92804805894,491607.784649917,133017.07305419486,5514.2037660525,0.0028636751136012677,8275.87883032981,17.42704533878742,508548.2347665399,61.15656396439314,-0.005449086104189139,98323.94317917274,101.63225363697903,204.70593395841945,-656.0991235744381,21.322163816872717,0.01733939729634139,345117.07816572126,-95.00135281311987,-1452.5131864066439,0.005457012890978923,11.846866851301558,271716.6817158993,29.519526022699807,-350.08671178718134,101133.2688509983,230078.25002712538,65901.02774783011,181143.2978061156,151651.64098644268,115180214.0199879
600,327452.1194012077,491162.5984989085,132929.55266937698,5513.09625901113,0.006530800164418069,8186.419913412413,22.569081615181375,510408.2069419055,82.76884778672314,0.004086353351084577,98486.79268394281,113.88496624229894,263.6002675158989,727.1358684113304,22.13077431040713,0.013693155346958395,345117.25323767075,-353.2096173806968,-2263.810660034302,0.0051939200035199945,16.82058682420564,271714.42270859587,5.738644806490575,-449.92621180182925,101103.39528363005,230078.07980724188,66215.90070271851,181142.95644283763,151656.47481500157,115185512.66559678
700,327357.5218684594,490993.03090096614,133170.13147276014,5498.680572371216,0.007778297171604954,8220.628371707511,23.601401804976145,510071.39241997234,95.11105835398104,0.03043996975367392,99500.25516929144,145.8439941067078,303.1418482121337,80.28265986877594,13.608553607851789,0.032532862444956324,345117.0526665877,463.53392152756606,2694.6376611871965,0.004308223762450479,15.735506250962535,271712.86147595115,47.759932284293775,234.77939928406192,101049.8026417239,230078.0539518472,66395.5511074411,181140.49864017838,151576.66855056857,115185720.79949778
800,327234.86471572996,490660.6885058083,133966.28584120795,5473.317457454726,0.004250264609847298,8325.089857815894,29.567644483463205,506438.2184411453,95.06014316217431,0.024466613054043348,99141.15503937863,151.9810072741606,303.44158009604104,-124.29531321660204,18.85781192693529,0.013669340019614451,345117.07336129824,-370.3314374439834,1873.2338714882903,0.004176061408037571,21.071382768170075,271708.7410565715,-11.31545969525735,175.9578682726912,101044.46011128182,230078.02227531542,66443.99632695476,181140.38007693298,151537.51977695,115175383.40601334
900,326948.98900782777,490392.2678606539,133561.4099667695,5489.303310416235,0.006273958807745741,8243.681895677639,35.955101863939504,507284.271431143,124.53622127445345,0.021777022967534747,99544.05871333566,181.306053995696,361.48924742675405,973.4914010825044,33.89021977311182,0.02970224406853777,345117.10339244874,-13.51489474535619,3028.075614514162,0.016480978329679978,24.21824195755668,271706.4549203776,-11.628657587275786,-268.1558879964275,101003.05231873647,230077.92442178735,66481.25044421999,181138.28703300635,151548.4223055007,115184110.14329214
1000,326918.7184616752,490297.91660664184,133636.8993886103,5569.938425639223,0.01146579888368203,8356.678887841654,38.542360270754656,507973.0697491016,139.6780505291419,0.031553507254959305,99799.86204197496,208.13001469091355,427.0214324564103,-580.1658600511548,-4.572271946492007,0.06717984588147281,345116.9635755844,-544.8166898085066,2386.6019268690325,0.010994861298998881,26.28017848090376,271706.19996992795,39.43214815014544,432.0555366126344,100977.90506335146,230077.85430837492,66177.42286461832,181136.67678790807,151495.68064995322,115180419.37626459
1100,326619.6371316303,490220.8927066473,132134.43940261268,5568.1871387860865,0.010986709937276781,8295.41209854828,39.79626259392838,503083.06231745984,143.60095077181867,0.047903127488357435,99794.8203385182,214.33824151319854,438.57807757117735,123.1833918887917,30.528569490475142,0.0584412636137847,345116.84437691607,363.0615165473333,2825.083179492304,0.013169703621379083,27.631088182786648,271703.07009449776,-43.7848716629121,317.92047425387875,100959.8544432379,230077.74075910763,66755.52423809064,181136.3738849314,151445.1405035448,115184574.77388705
1200,326610.0691642813,489717.4307692895,133814.9131509353,5561.645787616924,0.016172514522308296,8305.71201732098,47.82660976333945,506871.85596663645,151.12636366628337,0.0487618736413778,100074.97288484723,254.0388207919952,499.2518330475313,900.5114960110275,27.81153142335012,0.08460159840581843,345116.511978092,242.58369037796595,1312.9029720050503,0.023632619479619758,28.989647792616392,271703.534547635,26.861152146338732,288.06760125025176,100950.06531197844,230077.68759489522,66448.18076761752,181134.15706205036,151412.63179149115,115183246.49479464
