miliseconds,N,T,I,u
0,0.9990568749736888,0.24976520845288777,0.14911963245746038,0.0
100,0.973826849829978,0.25227428147940323,0.17904152783399035,0.0
200,0.9516543378139954,0.2528252441570574,0.20074529256194215,0.0
300,0.9395464535323473,0.25503662598000015,0.22727655422936113,0.0
400,0.9197833978981663,0.2560566784015256,0.24897126883001486,0.0
500,0.9056605375039142,0.2584112940147343,0.27282970947906227,0.0
600,0.8929738402513788,0.2604981674498881,0.28620352189798853,0.0
700,0.8743480185641329,0.26249608888749953,0.3072252541902826,0.0
800,0.8661989738751328,0.26434554645014396,0.32712742107122467,0.0
900,0.8563163355501145,0.26687296832873575,0.3433568598665835,0.0
1000,0.8445985448835202,0.26859902981351724,0.36162640734809237,0.0
1100,0.8365337017004173,0.2695286209731202,0.3791416317715803,0.0
1200,0.8272718614389444,0.2726912863575608,0.39078728604830726,0.0
1300,0.818753250357344,0.27405853616632336,0.4029823729649323,0.0
1400,0.8101762008664094,0.2748053586453965,0.424723916807628,0.0
1500,0.8045079096535156,0.2769009584939771,0.436713412842523,0.0
1600,0.8008933496540362,0.2795069327813581,0.44490490621732026,0.0
1700,0.7950861361421685,0.28150366937521615,0.45292225199281966,0.0
1800,0.7847912907456175,0.28308213646197494,0.4697164272703182,0.0
1900,0.7830694643325583,0.284012281018832,0.4758486790017269,0.0
2000,0.7732566373683137,0.28571283524331126,0.49269270825421807,0.0
2100,0.7708961573814752,0.286257307158577,0.49773991298668374,0.0
2200,0.7663696179632469,0.2880943317379421,0.5063579422311498,0.0
2300,0.759810752844323,0.29026184483184136,0.50866408332131,0.0
2400,0.7607475707624958,0.29038035685890073,0.527944311424161,0.0
2500,0.7587061036326861,0.2921996547731112,0.5313668900476569,0.0
2600,0.7496286566819139,0.29418745873444124,0.5407363967875477,0.0
2700,0.7457800186052828,0.2950381062638174,0.5421923508477976,0.0
2800,0.7423696925530608,0.2958295992825117,0.5430155467981057,0.0
2900,0.7409231792313753,0.2966341151667118,0.5485081735461783,0.0
3000,0.7429652434888844,0.2984886081905817,0.5594150393984596,0.0
3100,0.7355910536279879,0.2989735804469139,0.5688096218801504,0.0
3200,0.7316275214117748,0.2996054982926473,0.5639253170171395,0.0
3300,0.7311169912801369,0.3006194817799291,0.5780998817209935,0.0
3400,0.7270468655710075,0.302291583282507,0.5751377487373042,0.0
3500,0.725185579246375,0.3017144329117314,0.5872419317703091,0.0
3600,0.7250451012391204,0.3023342898960135,0.583304904748864,0.0
3700,0.7215678456836429,0.30465179800924097,0.5966517639717042,0.0
3800,0.7246999776918583,0.30481440069443044,0.5938494151854196,0.0
3900,0.7227275924057637,0.3052567801393297,0.597371095327665,0.0
4000,0.7210590145868367,0.30582300359516124,0.5959863748562756,0.0
4100,0.7183327474650509,0.3058007818766288,0.6045059457267825,0.0
4200,0.7159712541423644,0.3074752205239374,0.6040596058038502,0.0
4300,0.7156349682024804,0.30763451986090756,0.6076388526875361,0.0
4400,0.7098182281720259,0.30943782782857976,0.6134625887469903,0.0
4500,0.711112606958375,0.308531896297702,0.6132449688069654,0.0
4600,0.7067666527886043,0.3105215003595147,0.6123905271960876,0.0
4700,0.7095583818248622,0.30959397190112853,0.6178333629355699,0.0
4800,0.7072233730224322,0.31196865289244835,0.6144108128390208,0.0
4900,0.7018987794040398,0.3117404420674574,0.6193328617844663,0.0
5000,0.7061577889574808,0.312300796972205,0.6222500520446633,0.0
