milliseconds,N,T,I,u
0,1.0003850509607763,0.24916486456516576,0.14496699680720726,0.0
100,0.975387419261301,0.2512209545709674,0.1721296851387019,0.0
200,0.9552164902155561,0.2524797106589266,0.19485008834876913,0.0
300,0.9340565303359075,0.25480152126601846,0.21907966820477268,0.0
400,0.9163402511598622,0.256330317994962,0.23981680931282656,0.0
500,0.9033986330111734,0.2577736130825285,0.27287156001557,0.0
600,0.8917621589607782,0.2605034756562313,0.29253648996026316,0.0
700,0.8742855714285735,0.2618395191997617,0.3136027838005004,0.0
800,0.8690947720341189,0.26406853362487487,0.3267626133439307,0.0
900,0.8533019938724724,0.2670604420686347,0.3490938597713323,0.0
1000,0.84558321081932,0.2690448623181204,0.3653799486049731,0.0
1100,0.8375444747538534,0.2706443296948802,0.37767332291535444,0.0
1200,0.8309304846549991,0.2722447830184167,0.3971514814528982,0.0
1300,0.8205606729365895,0.2734831813973762,0.40950481145995477,0.0
1400,0.812897460528611,0.276418396779941,0.41253477284876405,0.0
1500,0.8042978043059655,0.2769101444023815,0.4355183692675699,0.0
1600,0.8004176084873493,0.27943042748014624,0.44154939168717816,0.0
1700,0.7905711291518899,0.27994439686820033,0.4589754403642493,0.0
1800,0.7864361854483785,0.2834351440938098,0.4729002118354488,0.0
1900,0.7826324223110703,0.2839844511890473,0.4792544454971898,0.0
2000,0.7769180210164269,0.28523357037521396,0.48978692200255314,0.0
2100,0.7716519204096391,0.2864579853488496,0.49815093025557244,0.0
2200,0.7694416638333471,0.2891473732378978,0.5047998185289264,0.0
2300,0.7672432759084826,0.2889679448671997,0.5180003531695079,0.0
2400,0.7611418238067902,0.2905688130860689,0.5169601849995321,0.0
2500,0.7548783763256834,0.29287399429016225,0.5268138002533336,0.0
2600,0.7496957419586443,0.29425862082778464,0.5299747292390139,0.0
2700,0.7513185453757186,0.29378021056630016,0.5372343445428868,0.0
2800,0.7471332965395533,0.29494800814800076,0.5524253394500797,0.0
2900,0.7451170540085273,0.29696321760300515,0.5518802569057073,0.0
3000,0.7367442525350245,0.2981214847646857,0.5542137871733511,0.0
3100,0.7341575640491896,0.2982639305627183,0.5682258413510497,0.0
3200,0.7318396454345764,0.2995780761259794,0.573837516106863,0.0
3300,0.7290950608506803,0.29973942704583306,0.5721821611278589,0.0
3400,0.7263342365066093,0.3010084978883971,0.5823315967638129,0.0
3500,0.7260922802631898,0.3029170609836501,0.5813626350765051,0.0
3600,0.7286622862836183,0.3037452989475217,0.5908575094516257,0.0
3700,0.7248064985404991,0.30345163704717937,0.5911508210324159,0.0
3800,0.7194200458725815,0.3039313308694613,0.5967800055607816,0.0
3900,0.7214411137120104,0.30549382214069476,0.5963149243674661,0.0
4000,0.7172369496746892,0.3069596427343404,0.5967042450687443,0.0
4100,0.7190575408268447,0.3072024099003097,0.6026958640165043,0.0
4200,0.7183760047602469,0.3083513063894357,0.6019698139084375,0.0
4300,0.7112578771305459,0.30793051816256617,0.6121119399528266,0.0
4400,0.708965645017623,0.30795504244183264,0.6155690781722438,0.0
4500,0.7114821682308841,0.3089105937202052,0.6143947419860073,0.0
4600,0.7056486294404717,0.3095248117567866,0.6167553921564153,0.0
4700,0.7089864332359538,0.30991565401026033,0.62367630860602,0.0
4800,0.7049577263860504,0.3104336865095141,0.6205291561326979,0.0
4900,0.7012316470679157,0.3107559960127301,0.6186644379151618,0.0
5000,0.7042030113696013,0.31237061146973716,0.619545576481105,0.0
