milliseconds,x_Normal_Hematopoietic_Stem_Cell,y_Leukemic_Cell
0,4.498150516868774,1.5018123085633082
100,4.492528099280046,1.4940016289956506
200,4.471045620141973,1.4929294940749867
300,4.460954521756214,1.4888037057763361
400,4.45163578585866,1.4855320476708547
500,4.442926192530145,1.4800272026678223
600,4.430794152698375,1.479378411750138
700,4.421870577470274,1.4737979873643
800,4.407220225863606,1.471947772926951
900,4.405844266889975,1.466329348155369
1000,4.397465782390398,1.4654101431401774
1100,4.380321131051946,1.4615978870810244
1200,4.376984915372297,1.4583949301492813
1300,4.363320205492398,1.455014636389632
1400,4.348011142300178,1.4517934958868457
1500,4.336220314785422,1.4449647536963781
1600,4.338021171167955,1.4453713467140232
1700,4.319427024847826,1.440409616622015
1800,4.305865680821531,1.4384333522387511
1900,4.301283592044444,1.434662023082998
2000,4.294074450153646,1.4318958002689695
2100,4.285960246049649,1.4297488842943942
2200,4.266539396129341,1.4257674130714253
2300,4.265554232027741,1.4222350074801589
2400,4.259570564668945,1.4202888022190452
2500,4.244832742298774,1.4147728022688673
2600,4.234378583151415,1.4127379049356612
2700,4.222776852954089,1.4071775778892206
2800,4.224327374645442,1.4045435999412341
2900,4.214651538473383,1.402763772701345
3000,4.202514043765845,1.401509859003129
3100,4.193452457023649,1.3953025369443246
3200,4.184781736223606,1.3951902709479078
3300,4.179976005859633,1.3910502605635326
3400,4.167546690051151,1.3869852857006861
3500,4.15825894789266,1.3875817241261332
3600,4.1450833563837675,1.3813452096656558
3700,4.136323798786638,1.3813159708034906
3800,4.133787732126294,1.3757936474671375
3900,4.121574347805113,1.373638661021782
4000,4.113685641126625,1.3702370857150141
4100,4.101242122068045,1.3679887838679219
4200,4.105019344360149,1.3670598328514292
4300,4.0927537899029165,1.3637561513185936
4400,4.078093214646657,1.3590182212396658
4500,4.075862323275623,1.3568875694981766
4600,4.061294191331603,1.3545453688880273
4700,4.064193875988974,1.3536482351960597
4800,4.050229903677614,1.3484498085966015
4900,4.040397146142163,1.3493564365268504
5000,4.041746302248899,1.3433811883831719
