miliseconds,x_Normal_Hematopoietic_Stem_Cell,y_Leukemic_Cell
0,4.501335250392141,1.4978760752628395
100,4.4846022759974655,1.4980495792487427
200,4.477060599353992,1.4913942382295635
300,4.461818692837425,1.4868771401624545
400,4.453705386644564,1.4846778433998433
500,4.440248235610596,1.482839697278056
600,4.430060077010622,1.4795003775028654
700,4.416570396037198,1.4727654141917195
800,4.418016868400987,1.4712020568191944
900,4.4005258845485145,1.4689646870838131
1000,4.3937920446974195,1.4647219241771219
1100,4.385853501864595,1.4622850744812876
1200,4.370298540143533,1.4570806880206084
1300,4.365703014540877,1.4521494635093586
1400,4.355649858927331,1.4510550615024909
1500,4.3399639235725145,1.4474784209524125
1600,4.327623570066045,1.4426673248182087
1700,4.325506332347878,1.4421947126904127
1800,4.306674671005173,1.4365896155309552
1900,4.304059735664104,1.4323107765087475
2000,4.293686567557972,1.431485294891204
2100,4.285757461798035,1.4286567236252052
2200,4.2769530628848225,1.4224493316618527
2300,4.256978260181175,1.4205926547488863
2400,4.252404793277209,1.420274798131488
2500,4.241581200221942,1.4130537774065681
2600,4.240658162123408,1.4099433907473886
2700,4.225267222808038,1.4112350875788673
2800,4.217365181463382,1.408128321896884
2900,4.210907650698939,1.4013336171453108
3000,4.203532612638837,1.3985796057720563
3100,4.1949176510888675,1.3993744985458056
3200,4.176462430052703,1.3923021295806337
3300,4.171064712615555,1.3890877003467772
3400,4.168273495822509,1.390574467187775
3500,4.159723336634646,1.386410100208974
3600,4.14568906500759,1.3828044785411828
3700,4.138244054733656,1.3817696915804984
3800,4.1283644201997465,1.3780127853183604
3900,4.129376007183245,1.3742166693425923
4000,4.116965964860675,1.3732380587304782
4100,4.102053724755392,1.3693821781252167
4200,4.094108934843752,1.3657166647672587
4300,4.0965516962708275,1.3651745105427484
4400,4.08752814769462,1.3603431353374498
4500,4.074544591488748,1.3605044471110224
4600,4.071174982322883,1.3557953483451493
4700,4.05863218670415,1.352447520144367
4800,4.056487192738438,1.351582075877446
4900,4.045713718106923,1.349584325923743
5000,4.036200045246375,1.3448744260432934
