miliseconds,x_PCC,y_PSC,z_Effector_Cells,w_TPC,v_TSC,R_siRNA
0,1001350561.5478343,5600899.529995132,189739885.2498235,15852374.5209563,48320925.17596038,809235409.0477712
100,983348455.8284153,5593434.891672553,189614294.78727487,96573396.85829994,51113262.199732155,3852785473.0410633
200,970778014.6569011,5584295.504999806,189260615.26019052,168905437.22796965,245388389.68551877,8400263206.567246
300,959969680.1146477,5575635.031741152,188903900.81356144,228482178.83546886,377366110.80000234,13414711885.794346
400,948739495.8330675,5569218.786837889,188466230.36626935,261007460.12095803,575836035.5907705,17508309192.621826
500,938354841.9247146,5561321.032359616,188349706.07148638,340693434.61076087,668555083.6658566,22227043529.975273
600,922979492.5071908,5559351.876127084,187984849.3881957,433628555.0139386,767688357.7160727,25442027845.772133
700,917856083.6390182,5553815.72991865,187150103.00479162,527793994.65075177,1028958323.0341853,27427947336.765694
800,909680346.3355949,5546042.945834207,186719021.9487394,616565613.4637135,1043304750.8710104,30294271911.363815
900,899325899.8877997,5541571.83907933,186501397.3016565,678745067.6437799,1236630019.6556268,34386999930.02672
1000,893615957.5623335,5535530.07170408,186013870.2744067,699722688.1864661,1331594346.2540524,36613974812.5609
1100,882723663.8652637,5525981.508111343,185844563.00409535,810219746.945768,1463174120.5471902,38693608029.38486
1200,874049381.7117488,5515276.887888866,185336148.26395714,850089291.6661817,1531616551.981077,42429817164.302124
1300,872971527.504477,5515383.340531906,184865136.20445582,892416933.085083,1672316786.9185493,43428186966.95347
1400,863298440.9045671,5504697.306460391,184660649.99522975,1005912809.265273,1873044175.2103543,45428042006.290146
1500,855026200.4903827,5499871.861350749,184272310.90715274,1034169563.506701,1968672239.4261205,46720318103.2068
1600,854801054.0743691,5496339.18048259,183773874.04528543,1099289201.2288685,2113565526.942151,48916959831.96355
1700,845806833.3467724,5486729.984875238,183407746.41354063,1165522100.3264396,2239026901.6064696,50323253277.84097
1800,841210115.548064,5481042.292229143,183426200.04997656,1184767172.612081,2339440845.261731,52745903450.33589
1900,836434337.8999189,5479582.958187702,183068858.53117013,1236697645.4315422,2457252677.1155424,54169102194.1968
2000,830387262.1041453,5471852.289265218,182569831.23108605,1350063879.9283283,2654816902.1682944,55344898469.76046
2100,828681297.6001365,5466485.473247332,182080447.4729069,1426742736.2368848,2780990419.3722153,57732312431.81687
2200,820310945.445869,5463769.875194071,181787911.96743542,1428896518.9081697,2884387434.8742933,57966400520.09868
2300,815588355.3337892,5452374.999373871,181722455.89646882,1514684023.4311528,2980792743.468397,58679812578.21737
2400,814661400.9762546,5447446.703495989,181281557.6426823,1536392293.2744033,3098772105.346213,60183689709.27779
2500,811618735.224011,5441367.424362965,180735030.31340834,1593387422.7245357,3241221764.5780716,60332744516.71392
2600,808881503.5300025,5438800.143955121,180500001.01995483,1657981073.3328629,3270352921.4961934,62911137208.89841
2700,803037262.7400999,5438504.2712787315,180289519.09347367,1706359105.543955,3481958606.935594,63465173573.95186
2800,797422302.0458604,5430123.209388299,179537820.63377798,1787954888.9226153,3639787166.247347,64598474130.30228
2900,795435036.2036626,5424061.770513688,179121984.80722374,1840338884.2064545,3795442347.5442166,63922685222.4421
3000,795718921.9628081,5416549.395260454,179057679.3473624,1834419198.4283087,3743261252.208676,64417858295.98037
3100,787143856.7999073,5411434.72727691,178851380.79822415,1900533626.2125561,3877776618.4224877,65303111173.77626
3200,783289826.0452391,5409822.383929616,178460232.82332364,1985139599.8563862,4103556767.458127,66763842276.39675
3300,787273352.333848,5405417.624951047,177704687.56654334,2021020145.8619068,4139753138.0134406,67059385896.26627
3400,778838825.0962615,5403889.38473456,177483207.36015123,2099745707.8906283,4346851919.013059,68101031400.73931
3500,779173877.0444217,5398102.247217063,177434679.59500554,2134905309.312015,4502024083.245419,69041499018.24146
3600,778510354.0046198,5387580.780147786,176840946.40670666,2177713949.917641,4553911928.300805,68588958760.163315
3700,773477922.5390291,5389444.046216522,176474099.892535,2256251042.9817357,4561567182.999052,68223477580.447556
3800,769370867.0079806,5379026.6154231895,175927647.0027193,2305890688.6717834,4779696849.725876,69355250804.70259
3900,766238484.496367,5377186.94462588,175580880.731725,2341818937.539718,4906989191.148094,69812993292.99709
4000,763407947.2514535,5370585.243074519,175141388.530255,2364620482.2826767,4887494750.082308,69768500105.89903
4100,763245975.5115875,5368982.04893287,175213791.57676998,2435291878.927278,5087689553.244633,71318782516.68573
4200,760040482.2144125,5364941.534862822,174625384.35141808,2488473660.0920987,5174379438.272239,70653406471.77371
4300,757041521.2825544,5362247.026420565,174167168.1778769,2463388499.5091686,5311548957.937998,70424362974.20233
4400,753810077.7176198,5356534.523713722,173775942.1062009,2506715867.045975,5469044358.5207405,71695539103.7983
4500,757638531.6006638,5349569.1717505315,173801966.89947286,2561694104.832732,5475715100.678785,72751311721.2911
4600,751570968.0188051,5348141.305974579,173283008.20551422,2613026136.443955,5663136311.124918,71519198361.0389
4700,750860537.047825,5348045.297959559,173220726.2345776,2708759285.516604,5806715227.255529,72282779743.27446
4800,751674096.2266027,5344542.108102959,172556090.60857186,2750215755.8039446,5929349211.604651,71747247583.68982
4900,748125605.1331744,5338366.261574831,172069092.27715337,2767511783.612356,5967740419.80593,73043425089.23894
5000,748222936.0626329,5335100.695218033,171758612.2937363,2807443997.8983636,6129654643.02968,73883550651.19453
