miliseconds,x_PCC,y_PSC,z_Effector_Cells,w_TPC,v_TSC,R_siRNA
0,999988432.5213475,5598268.07504762,190153589.3803217,-2104177.52802356,42471384.672639124,876653322.5192931
100,981329038.6299872,5593404.850632276,189598176.95559418,115055107.77495764,162868543.04416674,3926744555.287705
200,967116371.866432,5584055.410893953,189428783.3132193,145689474.0128629,290002567.75135005,9772297293.01397
300,959319568.9645758,5575749.902419732,188775358.47262666,224721224.09697813,474200576.8920181,12852987089.059935
400,945101555.0649377,5570156.472982382,188617556.36324388,329551150.817561,534642468.10980976,18458573950.130604
500,936164235.2334036,5561579.29342556,188274053.87186214,336589166.85163856,597464890.8311614,22077230881.00029
600,927677981.5627534,5555840.263363717,187545906.5704893,455615041.88724595,906558770.8421496,24221179232.164032
700,915262776.7748048,5552154.91503289,187368534.91231593,538995749.9382331,1005325061.1715217,28573402197.873634
800,909130967.4832428,5540705.932514527,186912946.179538,566770678.7395453,1147436265.9427745,30701214961.14721
900,896358430.7426416,5538110.144173601,186347647.48266825,638016439.7680852,1265190423.4654722,34595994067.68078
1000,893823948.1725595,5534685.041114086,186504277.5596476,707181257.1775303,1369549260.6021302,37143731181.05296
1100,884737612.1554791,5529121.980046977,185742167.73891816,795845627.7294748,1559019511.2079911,40049637661.14665
1200,877648413.5226191,5521502.913308969,185602386.0587529,809049505.7479582,1613940111.1847177,42176495345.92945
1300,869538324.1555501,5512404.88973719,185390595.5422238,875971525.2924539,1721333910.8036122,44216860327.71326
1400,866177627.1607453,5508983.368063451,184581631.9617551,936312308.6234536,1826347690.4780157,44889339470.29754
1500,856740888.7453486,5504311.312852041,184209268.65228254,1047919438.0775727,1935357116.7801416,48533364847.832405
1600,854144359.5657969,5498504.980920937,183990638.94635573,1101263896.455717,2069801833.4230127,49824745078.842674
1700,843807948.3439804,5491888.237309009,183866685.05946267,1143523407.7923443,2189306812.2945213,50449517313.16344
1800,840630066.8137946,5479888.265899139,183454107.75171354,1232459841.759607,2334336589.939841,53491593341.80353
1900,833172729.7776566,5474878.691246564,182924320.07107717,1260476725.8562856,2500022960.462197,54045407508.73772
2000,828405504.9696426,5471575.762350665,182405202.37620938,1339172214.379732,2645737674.3202925,54574996956.541336
2100,828607195.3279395,5469436.758616149,181930928.72563785,1356557064.4467437,2828592152.04,57118310230.93583
2200,820991575.2656528,5459231.079517671,182036756.86386693,1475399097.6601996,2945251007.2146816,57642498388.31384
2300,821184484.6637437,5452404.409352575,181714584.1140091,1514325108.6412354,2936154593.4067883,59337174131.95622
2400,811408523.4305122,5454287.747244856,180892559.5591627,1569232534.2958758,3094883902.9315286,59639342351.526245
2500,811211489.0128402,5448483.568068158,180555947.6359768,1645180518.8967488,3197973875.6818633,62070812478.36548
2600,805579151.475871,5441629.7763599465,180182965.92505845,1679955527.074627,3372545032.742655,62462806442.51987
2700,803665748.7870166,5436172.223479976,179885872.8569945,1694873317.3831618,3401687850.192567,63058414069.87547
2800,796999348.6084775,5426874.985795225,179445297.6759589,1742680254.4761312,3564469592.5418434,63790332920.02392
2900,798784372.7354255,5423551.54154575,179108427.2416274,1810971623.9341028,3732167472.572867,65320980836.426476
3000,793707827.6232991,5418994.9453408895,178684539.4851826,1876842193.0269666,3880139094.452388,64335721807.66948
3100,792653978.5228074,5412970.303206594,178745884.64533228,1959244180.2358108,3886869621.0023394,64955636873.48583
3200,786533199.7115259,5412021.933221668,178300478.0882345,1990221348.7003326,4086087108.9916396,67524087623.56714
3300,781439702.1817138,5403982.380454503,177630204.866041,1994247745.878414,4092826192.0177417,67992849060.9725
3400,783616540.414182,5399533.154295117,177756390.35408193,2106012127.210104,4344289853.038666,68242148357.85846
3500,778913639.6009548,5394819.339245227,177366609.4460741,2083517646.9130852,4423923789.664104,67846315993.721794
3600,777375137.8197685,5392477.516653792,177049239.987915,2206013184.251289,4502875975.513935,68838707738.36357
3700,775124642.3392571,5386082.7762659555,176408401.71113157,2247435021.1567564,4656529754.826352,69377128134.27812
3800,771638844.1055183,5379847.347131182,176028636.27216774,2228358847.2023797,4696910039.920883,69224320257.9008
3900,768730288.3867829,5379617.3202883545,175539071.39714327,2296340091.567142,4839424832.211204,70656334511.77473
4000,765163308.054669,5377124.731255519,175280386.20834288,2322423812.117326,5057868911.132803,69975664665.16895
4100,761711686.7217466,5366772.932091916,175161923.9079507,2398939356.5726933,5090824520.221214,71440276021.19868
4200,761581827.2726607,5367546.526227302,174794438.3768077,2493351144.6989975,5277499238.559058,70658592952.05185
4300,761437987.1912405,5357539.295467443,174145565.01865315,2479061115.941934,5294275142.058683,71341619494.11322
4400,753301867.281823,5353429.753339374,174007274.48113886,2526337086.611034,5443901201.73356,71574289027.72383
4500,751806623.5279701,5353070.582618131,173862936.10014805,2553071289.267883,5438807533.902806,71530184447.04764
4600,751890169.7822074,5348123.253629995,173490102.45911306,2676029176.49789,5716911281.315731,72390449694.53429
4700,753845077.6152198,5348274.013697952,173230092.2654911,2709327263.0760555,5729518670.687541,71379071863.98201
4800,748392442.1519026,5336781.700873299,172613022.1013028,2696842168.052918,5842247728.836402,72166964324.64082
4900,746800001.3864495,5339808.35743807,172017108.8949382,2768626106.472756,5859560247.795182,71815233311.13402
5000,744317477.6943464,5333241.660959208,171688796.65749258,2810401831.042989,6090712488.577665,72984738326.10643
