milliseconds,x_PCC,y_PSC,z_Effector_Cells,w_TPC,v_TSC,R_siRNA
0,999872860.772268,5598594.685108813,190178255.7189679,37704152.63876919,-71800189.43704401,888541682.1491129
100,981731465.3154782,5595356.548321937,189723483.64539212,88826780.56869191,100154987.09157605,5459455637.66976
200,971996780.3231316,5584881.041754928,189466595.93751025,173726128.12091205,233766655.17124668,8601757143.06525
300,958016640.6376312,5575977.109014524,188794536.30659685,251876465.78214616,497633874.894555,14163884049.436314
400,945068755.2958,5572038.5209848285,188309384.63245288,308836844.2169062,566237941.9581121,17538008446.779064
500,938451421.198841,5562860.801944958,187969215.00846225,410031404.9800267,761804532.0419407,20474364231.81092
600,923315965.4339571,5560753.434091042,187681448.72787267,459047419.40734017,853853747.4851632,23850333282.713238
700,917284851.4039813,5550426.30699301,187383144.36365038,539133721.0688894,1003890415.0823061,28465800086.8215
800,907013916.0750353,5544175.527603863,186928002.42294595,543377665.3407103,1004156050.6066372,31083517057.03872
900,898293638.6777736,5537566.154342487,186820405.58064187,637147247.7720298,1200878521.4436095,34032659942.437286
1000,893399626.5065827,5531839.256259781,185984452.27112213,746894437.2005055,1343744886.5426848,35923099893.462524
1100,883067657.8238704,5526300.157067545,185934793.76668605,785183267.3677007,1479373610.83712,38117476373.26637
1200,879047946.9388808,5518716.945914397,185634562.57580924,852392704.0055928,1522443237.009838,41343265328.112495
1300,871693504.9570912,5512392.141594518,185331465.42252523,924259359.478487,1657437087.3366168,43771078902.08618
1400,862039784.1556704,5506250.765819699,184841362.6363499,939139866.7599933,1825879183.9128172,45176810830.04729
1500,858403399.0630736,5499603.186252012,184576736.4593356,1005774916.1707771,1920515087.6323874,47701712285.74833
1600,851125286.0979561,5493737.559879035,183859448.52605972,1060151162.6987492,2082428773.853459,48499099257.87856
1700,844704481.3635671,5489561.17378373,183529209.67026922,1122305609.6598492,2277575831.7965603,50638205016.521225
1800,842219258.9813972,5484150.91732709,183224296.02259478,1177129503.7721086,2440672634.9195185,51936798839.67508
1900,833327535.604539,5480227.216112321,182817721.19963905,1300567078.707773,2534297523.2553544,53522298362.956474
2000,828644747.7882514,5469504.642821725,182350446.61059478,1296949220.9901202,2554801030.1661205,55465228539.06693
2100,828852618.1420448,5468923.895213191,182200237.7780282,1389077980.5935235,2739390650.814427,57137431326.39024
2200,820646001.5224285,5461855.3375039855,181827095.55227512,1434984194.9600198,2876930359.0204315,57625033851.37512
2300,819317616.4968977,5457123.73356974,181499166.9205346,1504808178.3268435,2984517591.6188807,60122442442.00775
2400,812509331.5774848,5451225.853451472,181240877.9273653,1535602983.018607,3156115979.0746284,59481838157.544304
2500,813415441.8253995,5445757.842370123,180780260.59362292,1617002381.6146348,3249209561.987554,60748729567.14624
2600,803760634.3289534,5438024.820829267,180309606.25453255,1703000486.9972534,3436957098.816127,61936162069.62978
2700,806154971.165262,5437723.820943677,180019817.043828,1702961036.9764872,3444249170.2213945,62191756710.92323
2800,798835143.6870104,5428846.882802682,179925711.9287097,1761546004.1009455,3625053889.800289,63987990810.01097
2900,796240369.9338226,5427741.480057787,179276483.6877393,1785495872.3838453,3731116792.657045,63603263901.06239
3000,793569019.8031043,5418814.552536587,179182864.54163334,1847696634.4206996,3855987391.540246,65810045153.09623
3100,792619018.2113999,5414179.352443177,178425892.79914176,1886599230.4003265,3967291471.0755377,66038578754.9083
3200,789899479.246428,5412085.173054613,178200480.20592722,1970605029.5626068,3982741686.5757775,65596293042.50599
3300,782830129.8092041,5401367.9663023325,177919045.81009385,2022669406.2675877,4270466220.6912947,66327607235.926636
3400,782934010.9771867,5401611.370382733,177449916.6897554,2036394707.2982662,4283735630.6789207,68146682179.2147
3500,776902794.5278902,5396544.194366391,177377728.75854623,2114268076.0907109,4473483131.158891,68251825459.19948
3600,774875947.7683427,5387462.44827726,176915108.53512055,2153472623.2954407,4509953220.650435,68925770704.34105
3700,773613255.709141,5383609.141558633,176492340.7716992,2215370283.215679,4655229690.273168,68340832095.75469
3800,771337452.3340276,5379771.86726992,175866983.3112101,2263736507.656771,4799613153.875215,69429583673.249
3900,767376517.049188,5376409.635029002,175672227.068152,2320619177.5619164,4831312667.427145,68988823035.5259
4000,764900528.5399574,5371542.140766663,175266872.99343687,2367625501.543369,4986100591.428282,70396295969.33093
4100,765456468.1725693,5367358.756236565,174936381.74241853,2397463092.97684,5148350460.851363,71350966616.48775
4200,757983229.4832228,5363241.231829515,174681625.35464138,2468167000.976958,5281058232.05294,70173582712.84093
4300,760136693.923633,5358970.619387776,174123750.61737064,2461503985.8244724,5247702042.186879,72183149814.21826
4400,759903047.6845224,5356384.1826414745,173908569.43621364,2552901544.9182076,5491301411.6327915,70940856231.04904
4500,752897641.4724616,5353408.4436657615,173887431.48207146,2629344031.901759,5450652336.682124,71745935585.74039
4600,752660776.092757,5351638.579319327,173520072.38603926,2653301746.7485256,5545327302.691666,71746553438.74765
4700,748769272.3681207,5348428.20787295,173123152.23967648,2673059622.390375,5819367901.657918,73315509148.72954
4800,746685423.7439094,5344244.143799111,172788238.00141066,2737353702.8902993,5808543994.025225,71836362705.24783
4900,749924358.3075646,5336280.788365354,172342330.65138698,2733126652.99656,5996471020.777117,73144421231.98335
5000,742161700.2802473,5329535.9661380425,171690246.8620146,2777874968.8213534,6050964496.384744,73168593324.05746
