miliseconds,x_PCC,y_PSC,z_Effector_Cells,w_TPC,v_TSC,R_siRNA
0,997565422.3909717,5603555.308793917,189883414.2946333,-16153916.289568502,-14843498.696936471,-143368916.81066114
100,986159048.4901967,5595630.694609575,189628353.3351992,110693755.89262164,150635628.28894165,5111253521.654564
200,968459858.9294043,5589003.577503574,189201555.66401452,120782553.50801772,211569482.6451057,10378267889.022072
300,959488020.0968795,5579468.0969960615,189102469.0991211,254845489.87624383,487678572.40421474,13710568421.341707
400,947819650.8026162,5569206.722187933,188483081.53063574,336567530.40157855,541144012.4877722,18041708987.76554
500,931749442.9341754,5563602.157547904,188066544.48251492,399684404.5283539,601410747.0786895,21818121323.75308
600,926054508.2744316,5559311.506038477,187799040.20775345,430340327.8097666,905416825.5856663,23970424153.132004
700,917747599.5205368,5548374.490894176,187233249.76358834,495520115.5370473,1016644078.3459619,27402772144.98182
800,905665615.5270987,5546533.943919398,187030556.00780195,606337782.4448317,1153085548.1312711,31173551343.504948
900,900938671.132796,5538336.805690905,186540236.11443657,661602006.2345197,1294829059.1338031,34338334555.68181
1000,887249806.9805288,5535190.280844388,186060195.66981924,738754457.9309337,1344146130.2546277,36586090908.19873
1100,880473310.7647787,5522146.943398422,185838251.1229027,787909916.0434854,1547310527.0369651,39426672127.32159
1200,873755478.7560011,5516272.545236664,185285817.71755588,876578890.8567812,1618744279.9101367,41158714163.96041
1300,870982070.0229516,5510488.877485865,184944430.30411106,942392745.477205,1764010572.5595145,43408498108.33527
1400,864958205.2148662,5504131.371837694,184568094.14320737,993443008.2582093,1786192522.081507,46513385167.96666
1500,858989611.5183328,5503177.864589765,184540914.47357154,1002551679.1411147,2067068523.0721586,46624675022.598015
1600,852431285.0354489,5494907.544257135,183837469.5078018,1069186928.0634234,2127972877.669176,48909612156.320045
1700,845960344.1592236,5493081.083855056,183390338.1961691,1116606195.9071386,2210557068.971455,51587275026.65001
1800,838907888.7509477,5486718.650303226,183110252.80343622,1198449537.5277221,2414692519.768923,52963385737.752144
1900,839656577.9998116,5479428.62885805,182864775.64160183,1232212992.987477,2574668512.8982854,54916337298.06536
2000,833571609.9355053,5469176.536189251,182616120.8961734,1350600881.2563376,2564927103.72162,56075056062.78938
2100,823494512.8073806,5463811.261016065,182405724.87437665,1388613337.2084994,2724993041.1272025,56651072229.250145
2200,824231455.9786307,5458199.997029148,181909888.88003987,1464463094.2969408,2783378857.100636,57691388914.26254
2300,820329237.6964618,5452481.98925478,181647636.8249427,1534942529.751358,3041760217.3044477,59108764901.68214
2400,813972282.077771,5448145.480265742,181187235.39139766,1566773208.1226878,3064128145.5833125,61127967574.66486
2500,808973803.1544949,5444395.329844303,180874379.2408189,1628192585.0695007,3148059663.3326054,62100021471.71105
2600,807057314.3194922,5441263.835060797,180475105.39911488,1699185791.9159014,3305061520.1262007,61622275645.1912
2700,801518258.2102717,5432440.476331914,180011049.56239974,1750870906.8160293,3500586633.0873756,62081158934.82715
2800,801842224.1028179,5426275.094777889,179463803.81816146,1762090825.5550804,3552307866.2123785,64819772154.96387
2900,798279002.2560899,5424938.274187157,179317904.14161295,1818491810.578937,3785303762.022103,65390768785.58332
3000,794562694.0167986,5420230.124209874,178833718.6244297,1848850623.7493608,3760160346.252041,64600480277.96152
3100,789038615.7063816,5416980.1796300495,178541189.74124822,1906738650.8057692,4002179024.600557,66214010961.81537
3200,786881630.8034273,5411416.9829379115,178132578.43117714,1987604565.9805188,4105376495.536138,65637113740.049194
3300,781333130.0843594,5408299.58812157,177636403.9515512,2047003924.6225119,4271784355.4068904,66172717247.05455
3400,781432231.8698628,5398711.008885014,177411503.6387707,2064321455.6068263,4381869064.229527,68709601965.9696
3500,776200910.1146616,5395819.741884812,177218619.91998228,2114955130.7426834,4487224668.899694,68801387908.5182
3600,777026397.5193685,5388669.925285426,176844127.39086938,2133468457.1907315,4584555663.60889,69380759573.51305
3700,773203076.9228947,5389207.54283445,176376097.11919454,2205465460.177101,4645884610.14867,69708442502.22041
3800,773475912.6864333,5385098.169065555,176293921.5588895,2263156554.922933,4801480677.664827,69525264400.76636
3900,768855162.2852894,5376327.84214871,175675068.73902056,2319674143.567272,4865661245.459596,69541725944.54955
4000,762835218.3897393,5377384.203892865,175208251.0958063,2341187868.3466415,4942673047.974397,70639231417.19678
4100,764820756.1054236,5367376.387607768,175011081.12924543,2393434806.1822004,5119421287.215797,70397841782.11722
4200,757475012.1869638,5363438.537220707,174672451.210419,2478346561.1377325,5259886969.006931,71905000612.04758
4300,761625076.5369773,5361450.392456821,174289906.51542455,2483403468.39746,5342145856.159039,71601710903.51013
4400,755235545.3899586,5355511.887272723,174001091.4001227,2570955940.732332,5375411230.081446,71075730012.65836
4500,755527210.778912,5353545.831634517,173450627.29715598,2632811282.128636,5569156892.001254,71365825012.1768
4600,753317073.748865,5349052.342617661,173354953.4287004,2620234805.6846895,5544039886.508655,73101823874.75235
4700,748202938.9293219,5343320.03803053,172784009.97968084,2712671593.3084073,5717913753.752151,72534213271.19452
4800,747421701.8603224,5342834.950306333,172804151.82639453,2699892546.6878734,5817896519.621633,72059728584.07916
4900,747573407.8520072,5334735.997939953,172327098.8312609,2787544212.688869,5878430181.824047,72187977797.28223
5000,743475287.5013862,5335075.233461021,171985651.6281572,2799255311.6352882,5977007598.8733,73162417967.73306
