milliseconds,x_PCC,y_PSC,z_Effector_Cells,w_TPC,v_TSC,R_siRNA
0,998730198.1969224,5599058.817439069,189880528.85280406,18422708.467441067,24576866.66619084,-113070553.70108233
100,987379808.7107564,5590488.954584243,189791574.18776962,117306239.98095648,64199768.36185233,5466336672.97064
200,970694110.7567064,5585952.313516486,189492767.81401175,129546258.32372849,298736144.21191585,9712177015.91934
300,957770775.2444419,5578271.650974997,189070919.85871142,231407109.61484367,452023963.99720615,13533580403.503124
400,947376525.8815987,5573114.5151440585,188692546.58441928,342552222.9066445,513756533.783211,16745506159.53623
500,937595503.7986262,5567148.183305966,188223202.17562193,368818465.480505,694783164.9927125,20512853397.350185
600,925137157.5265673,5561438.325316013,187672221.1192183,412952231.5202824,748659169.0679371,25146703278.595978
700,916111269.0653526,5554565.303021265,187481189.46387696,484315219.64828765,918884033.9090298,27844527185.801506
800,906107517.102308,5545556.027708247,186874957.04996148,597569384.5308304,1075746453.896913,30597961819.997887
900,897006817.6005229,5537535.269626788,186801624.2322195,664296750.9925084,1268039514.529149,33359048218.359432
1000,893162025.4715129,5532238.699829293,186013397.36047035,698069245.1578217,1395908645.2231784,36233565478.61607
1100,886168373.6746538,5524122.262780294,185605558.6882343,791798794.2806791,1395892295.7084572,39368705798.26797
1200,875165328.5439264,5522489.647142579,185291570.20149338,883099915.799313,1643022218.944991,42077979900.60583
1300,870913756.8792866,5509301.240470288,185040062.44778806,946995923.556172,1736828471.5885572,44279772345.83085
1400,861528863.8878623,5509374.773046531,184998998.18736586,972090316.5575502,1875798369.2109542,44875794811.57474
1500,858955552.7488692,5499609.671938818,184392640.56310993,1057848370.2204069,2040893501.4712217,46714120868.06754
1600,851112963.267108,5493764.562013026,183851831.09931815,1123860449.5873256,2160994878.1782327,49075939210.31027
1700,849715580.2317095,5491594.962382983,183870724.0997877,1114772067.7712607,2338948151.989536,51503513164.76175
1800,839402933.9643154,5484861.903771046,183483828.08062157,1209569102.5985026,2451631846.979262,52093900694.73606
1900,838524434.3587506,5473900.893593119,182943698.72859165,1247587950.9386752,2441888663.580551,53251166846.43951
2000,829004055.7300781,5469584.643614835,182671987.06488878,1360078391.6554618,2583089918.3986216,54672836758.966286
2100,825027658.4778445,5467465.9719742965,182337189.9758132,1412300799.783996,2691524369.920752,57599146739.81369
2200,823710599.3017689,5461546.818849955,182081070.5230672,1422783258.842987,2893489995.3251967,58812708560.08562
2300,815159049.5429113,5456164.745008566,181563166.25035846,1528056095.8965206,3082429848.1936636,58504592545.723274
2400,813639499.7918373,5447942.4491162505,181284920.4213748,1570492881.8297613,3183613128.3206334,61046472741.135605
2500,810101684.8609582,5447612.737164617,180686868.4535843,1619421273.5647738,3249111415.9401636,61513639185.495964
2600,808850122.7831728,5439148.025284615,180130173.28289655,1627251163.0318387,3294952267.8285446,62404725749.54939
2700,799772457.8348149,5433247.75679572,179905646.6384137,1692060263.5406468,3496971274.2202783,62059386770.68701
2800,801656552.8008071,5429147.83261332,179753815.2679016,1806044616.2218535,3578167836.9130483,63126520251.45177
2900,798782018.2951643,5426162.9079914335,179160613.77885875,1828899059.8228092,3728203231.880777,65588235253.89535
3000,792084760.7341186,5415876.239922932,178871424.2150932,1909352541.8146265,3803904641.3806734,65307782170.24123
3100,786357690.3094785,5411210.039800907,178321281.25520244,1921477504.7265403,4006873215.4660172,65874347449.78749
3200,788339842.0331073,5406489.689618467,178281504.39279622,1960981262.3459387,4054448134.467079,67128851823.765915
3300,782690110.5623915,5402764.713010193,178100109.38097012,2002246392.872158,4265236285.056065,66584965493.440475
3400,784013158.1681324,5400413.376906123,177587677.23437616,2047343121.8058913,4278076254.4295297,67465525951.10973
3500,778791650.6124843,5392605.909757712,176934876.2062867,2093482975.5879927,4485747998.713217,67800059381.35371
3600,777022585.1475713,5389835.561899052,176794152.19239745,2133096083.353922,4527675663.345454,69381792259.0871
3700,772740004.4562492,5383275.874747843,176658880.7967175,2208828223.4919367,4588522719.273564,68334361587.911194
3800,771463333.3482293,5380758.5007305285,176166005.98836553,2256739998.7907987,4818453334.1913805,69052750310.5696
3900,769927885.4705893,5379166.373626585,175504200.96971214,2334628373.0777736,4949911152.826977,69868500033.47804
4000,767361849.4277822,5373261.839216182,175209878.13605824,2374465343.5254474,4990985631.310575,69659478785.34082
4100,765602354.948657,5366239.421657633,175247635.74765763,2408536772.532701,5057644061.355123,69779945393.65671
4200,757486533.046619,5362661.722755196,174742504.83889407,2435821413.9647536,5280303381.041395,71420545127.4754
4300,762195314.7009231,5361442.697187716,174284294.59131977,2484698761.387431,5334585233.164541,70334607724.70885
4400,753718642.401645,5355023.798287819,173966857.61464617,2547912047.294256,5330062060.061696,72113539679.98068
4500,757456264.7993592,5353174.971354469,173617479.7438862,2561616082.7446637,5468259180.008917,72726746445.13596
4600,750928163.4525186,5346289.663468774,173115418.55315387,2631816272.9400663,5628470167.291958,73036583340.50606
4700,751032836.3484296,5348144.466419207,173230570.45559517,2677966495.4453497,5696059467.637769,73019835279.70743
4800,747492718.0165693,5341496.419269364,172386771.65607035,2739774445.002993,5919546278.655583,73293929316.0378
4900,745035052.042048,5339207.817573564,172364721.36966833,2762303087.76441,5897888733.99197,72711561552.67773
5000,747409615.3031609,5335440.541116785,172197629.5298529,2846385446.8582425,6098136410.593372,73296451000.67136
