miliseconds,EpoRJAK2,EpoRpJAK2,p1EpoRpJAK2,p2EpoRpJAK2,p12EpoRpJAK2,EpoRJAK2_CIS,SHP1,SHP1Act,STAT5,pSTAT5,npSTAT5,CISnRNA1,CISnRNA2,CISnRNA3,CISnRNA4,CISnRNA5,CISRNA,CIS,SOCS3nRNA1,SOCS3nRNA2,SOCS3nRNA3,SOCS3nRNA4,SOCS3nRNA5,SOCS3RNA,SOCS3,Epo
0,3.9708017869166174,-0.001731211686684572,0.00041596381773835873,0.00020823623493674274,0.006856347371479406,0.0,26.724875371051212,-0.00019195207170883004,80.00681071129934,-0.2268708913319276,0.02551811196837956,-0.25176056590733725,-0.014203763846012893,-0.0010064921152574768,-0.00021745821105171182,-1.4430719246649586e-05,-1.130621414925817e-09,-1.1172285027647484e-09,1.0034353403478837e-06,3.980908774238726e-08,-1.4768955167145705e-07,-1.0463478310289184e-07,5.064313276962197e-08,1.6345358635881203e-08,-4.073273555997101e-06,1.24997e-07
100,3.9400383650870383,0.029142276310839835,-8.904473810585984e-05,0.003485532775058807,-0.005402492975509815,0.0,26.72492128529156,2.054646881588859e-05,79.02327312557252,0.6239389901020427,-0.018133873564285818,0.10551985594612263,-0.02432221040248417,-0.0014569088058833523,1.1107122539014684e-05,-1.2169171229300707e-05,1.5216496636321786e-09,-3.032693363619154e-09,-6.023675952099015e-07,6.54397939456627e-07,5.753008799397849e-08,-1.31402155998081e-07,9.135687732924389e-09,3.881456973545765e-09,2.7251146225226764e-06,1.24997e-07
200,3.9092326406618385,0.058062390724576945,0.0018503570145218169,-0.002157294657115753,-0.004611399576653132,0.0,26.7248924050247,-0.00018139172548493218,80.16420927878858,0.266206875803106,-0.011573888156189014,-0.016366254818169633,0.01898069024619171,-0.0009829328667487242,-0.00014390371039019022,-3.4140419394039467e-06,1.6770104968084854e-10,8.651693974122135e-11,-2.4255559189446063e-08,-4.30286070152272e-07,-2.2257138037150393e-07,-2.769457626888566e-08,5.314099083872593e-08,-2.3838928351351572e-08,4.864574647651153e-07,1.24997e-07
300,3.8716056349994203,0.07842158464616347,0.002364830450310438,0.009692253261880803,-0.00642019360143692,0.0,26.724807805005685,-5.161695361124813e-05,79.57675262265022,0.5690922521111053,0.008478352731915922,-0.25542473658372156,-0.01348084231157775,-0.0028250439354988817,0.00012544748557834229,-1.2785652344155897e-05,-3.6170688168792014e-10,1.2853254127343993e-09,-1.2398868598216493e-06,-5.906633477213508e-07,2.281747800938151e-09,8.470498806353205e-08,5.494737146680313e-08,1.7824380174986242e-09,-3.052213964457821e-07,1.24997e-07
400,3.8587805998542075,0.09914211137768204,0.005436533103079489,0.016407089155667277,-0.0008364026687396218,0.0,26.724881049560782,0.00013095982135375762,79.41018817781134,-0.6360572530354769,-0.005079705448192708,0.01595106388169392,0.019812149467245493,0.0003170576414528345,0.0001285532007784851,-6.755911194355729e-06,-5.013569992116505e-10,-1.6221200886483496e-09,-1.2623073884571732e-06,4.883460132308615e-07,-1.981121546058606e-07,-1.149495327679437e-07,5.9556640353201264e-08,-1.6045889171623994e-08,-3.1573349848969394e-06,1.24997e-07
500,3.8142223144123726,0.11720800077687833,0.007969020193131855,0.021251443255893232,0.004949541122129628,0.0,26.724611075064004,0.0003633494205553617,80.19736853337065,0.5050438187736407,0.01634749464111448,-0.15928417028239283,-0.020501327060465823,-0.0002097911426099563,4.547113457308554e-05,-1.3985850487021521e-05,-1.3533375048407958e-09,1.3951317939578607e-09,-6.186951916068779e-08,3.7308925317686726e-07,-1.583785829043028e-07,-2.7394282646047584e-08,-5.633784832785222e-08,2.127228026056675e-09,-3.843574628364016e-06,1.24997e-07
600,3.792992572633538,0.13549388354568018,0.009336594366716479,0.03615766770024905,0.004509353969974164,0.0,26.724695366171183,0.0007085321064578569,80.27705888681568,-0.055350689212742527,-0.008491824187890778,0.1236362689210015,-0.009246521122263669,0.001619625308484229,0.00010171330277943577,1.6636781459424878e-05,-3.795807075598371e-10,-2.908685463990409e-09,-1.3148564558092682e-06,-3.394044423700947e-07,6.57658643630299e-08,-1.0660544779976291e-07,-5.193880501814527e-08,-2.3075350751094438e-08,4.0980824222754635e-08,1.24997e-07
700,3.763526599408027,0.15181738897259253,0.014227086464629916,0.05101163827424304,0.004219821758236674,0.0,26.724494568778407,0.0002538566288060454,79.35625687036014,0.4164616466460104,0.03138710209204535,-0.06516441595748616,0.01387750531735752,0.0003221665619159643,2.7797013212360227e-05,1.46811694809962e-05,-2.323035162236043e-11,1.3974068584780535e-09,1.432662675498802e-06,-1.7863357254983184e-07,-2.9160587948173324e-07,-1.4018915733453166e-07,-5.440333362259288e-08,-2.4135412862168863e-08,-2.1969539818161918e-06,1.24997e-07
800,3.7250718121955453,0.1624906692779319,0.015324286848781354,0.05980163753891871,0.010701386520335532,0.0,26.72439503994783,0.0006185339493404495,79.80847733118496,0.4121630246367981,0.0062465003534202,0.07617838639702844,-0.00821805332486675,0.0025267978570024364,-0.00017387921264620608,-3.567903306049246e-06,-1.3946169714627389e-09,-1.7851947378929674e-09,-9.677107694992161e-08,-6.166379386001717e-07,-1.299679352044628e-07,-1.2466221369799857e-07,1.6093677536677053e-08,-1.0344869673941588e-08,2.518984585830931e-06,1.24997e-07
900,3.7047127831931372,0.17236121801273416,0.018913247517846798,0.06263757740564979,0.005076175881258581,0.0,26.72426807594431,0.0011177462850430041,79.13010013412877,0.6647332203909057,-0.01815589058976581,-0.27371325435739846,0.03176141094873842,-0.00041478011609963876,0.00023421134488464874,4.2502269070882565e-06,-1.5706064376037207e-09,-1.3497561837613131e-09,-5.941003771815555e-07,3.098939564695232e-07,3.034994276357263e-07,1.1312541894752815e-07,5.6227178652844935e-08,2.0517464349241402e-08,8.668507820521835e-07,1.24997e-07
