milliseconds,CKX3m,Auxin,Cytokinin,AHP6m,AHP6p,IAA2m,IAA2p,ARR5m,ARR5p,PHBm,PHBp,CKX3p,PIN3m,PIN1m,PIN7m,miRNA
0,0.0,0.06000000001277318,0.2,0.0009138678707707565,0.0009138675005914164,0.054462934972068396,0.05446293497466223,0.2758592330025204,0.27585923302438675,2.0000000004470615,2.000000007017264,0.0,0.0,0.0,0.9545297949037228,0.0
100,0.0,0.06000000001160436,0.2,0.0009138678745245729,0.0009138675246229943,0.05446293497038621,0.05446293497177733,0.2758592330069948,0.2758592330146279,2.0000000004066525,2.0000000062491767,0.0,0.0,0.0,0.9545297948762311,0.0
200,0.0,0.06000000001106014,0.2,0.0009138678785678536,0.0009138675746468844,0.054462934967782636,0.054462934970176964,0.27585923300941084,0.2758592330091373,2.0000000003707097,2.0000000058560508,0.0,0.0,0.0,0.9545297948491277,0.0
300,0.0,0.060000000009794274,0.2,0.000913867887204493,0.0009138676124600921,0.05446293496554628,0.05446293496714859,0.27585923301053566,0.27585923300691206,2.0000000003295164,2.0000000051758753,0.0,0.0,0.0,0.9545297948356427,0.0
400,0.0,0.06000000000912743,0.2,0.0009138678920650232,0.0009138676370631636,0.05446293496414912,0.05446293496526185,0.2758592330116997,0.2758592330051762,2.0000000002926304,2.0000000050801803,0.0,0.0,0.0,0.9545297948102837,0.0
500,0.0,0.060000000008261035,0.2,0.000913867896837558,0.0009138676659039727,0.0544629349625034,0.054462934963647035,0.2758592330167281,0.2758592329922314,2.0000000002590697,2.000000004188954,0.0,0.0,0.0,0.9545297947898694,0.0
600,0.0,0.06000000000701163,0.2,0.0009138679007294012,0.0009138676928602926,0.05446293496097061,0.05446293496224527,0.27585923302110543,0.2758592329817274,2.0000000002407905,2.0000000037396037,0.0,0.0,0.0,0.9545297947708719,0.0
700,0.0,0.06000000000635134,0.2,0.0009138679053691736,0.0009138676990478549,0.054462934959061904,0.05446293496102644,0.27585923302488713,0.2758592329718974,2.00000000020688,2.000000003463414,0.0,0.0,0.0,0.954529794752789,0.0
800,0.0,0.060000000005218115,0.2,0.0009138679087498954,0.0009138677222296606,0.05446293495665716,0.05446293495893934,0.275859233027985,0.2758592329638287,2.0000000001676255,2.0000000030398417,0.0,0.0,0.0,0.9545297947435385,0.0
900,0.0,0.0600000000042644,0.2,0.0009138679144745621,0.0009138677509851665,0.0544629349551772,0.05446293495830042,0.27585923303055476,0.27585923295798426,2.0000000001649645,2.0000000025567437,0.0,0.0,0.0,0.9545297947188384,0.0
1000,0.0,0.06000000000419909,0.2,0.0009138679158388448,0.0009138677770719929,0.054462934954301656,0.05446293495663315,0.2758592330324411,0.2758592329524264,2.0000000001218017,2.000000002478376,0.0,0.0,0.0,0.954529794713473,0.0
1100,0.0,0.06000000000298047,0.2,0.0009138679201259718,0.0009138677815312783,0.054462934953429784,0.05446293495517085,0.2758592330337697,0.2758592329493968,2.0000000001107696,2.0000000019948354,0.0,0.0,0.0,0.9545297946959468,0.0
