miliseconds,T1,T2,T3,C1,C2,C3
0,6.0165486948583204,5.011963358598845,0.9982312185238158,-0.01326744164528109,0.0055375522128573666,0.0012960201489124765
100,5.630789665216951,4.7032268926065415,1.0848428158068968,0.42780806768416396,0.26071656617185957,0.024664416981369418
200,5.377681765592047,4.381190854107772,1.1446224057035452,0.7010594275834148,0.5196293971108827,0.036579334955362204
300,5.093301650993595,4.09291554865719,1.2020967587983558,1.0336271005960542,0.7722043234437448,0.056478357069305526
400,4.798719926822518,3.8631912051964745,1.241714799395387,1.2957375286321793,0.9354344324211195,0.07679690321617659
500,4.593717176645595,3.665677394817992,1.2799318104790145,1.519743787456729,1.121784165727552,0.09079042197452519
600,4.42419462686486,3.4448543782254224,1.3072061918179874,1.7334195621146722,1.2904266185070872,0.11411486430721653
700,4.2528237323222795,3.329959880889255,1.3251768993997468,1.9272570145151422,1.369470387856379,0.14108928295740378
800,4.098075087012865,3.1021678303608824,1.3281299547817023,2.1225424363461647,1.5032848025232834,0.15647150078831878
900,3.9030611085206197,3.0204195847405075,1.3401925926101852,2.305802479309557,1.6038991275014398,0.1914955606413094
1000,3.7506202125653694,2.8014752295355994,1.3415885871399178,2.4475122434518863,1.7116808878736327,0.20597853662502058
1100,3.6627469461803686,2.6912073516349344,1.3389493726300636,2.567954862026197,1.7962136227679388,0.2205579538699825
1200,3.5916739448885147,2.5773018169986446,1.3269266342091175,2.6923449718814854,1.8833569123875686,0.24676396043330442
1300,3.501628383591796,2.5106537312982975,1.3144823694508063,2.891332990213886,1.9406149478753465,0.26110846111752395
1400,3.333463156552998,2.3790926235566316,1.3041369428097311,2.9923271783173204,1.9901681049202202,0.2852477267297447
1500,3.2954637656386536,2.307543449563102,1.2957764512741838,3.0904838179394365,2.0450764866031768,0.3107646105524484
1600,3.2481085694105847,2.2089040577475334,1.286190733320238,3.1459867593204303,2.0516436724275833,0.320088609995555
1700,3.1970657789846046,2.185548790818249,1.2700737033009102,3.191846325445966,2.113101515997277,0.34228318654066486
1800,3.100604172470926,2.145785588701421,1.2559223490685538,3.284955656134254,2.1004491333753608,0.35829394475255444
1900,3.0061540482836278,2.0370400104154918,1.2460325865922965,3.403481879354688,2.177498044580593,0.3756237951327125
2000,2.964314194349958,1.9443931454309804,1.2246874211421854,3.483767377811008,2.177056921874386,0.38034126877361607
2100,2.9417824149992593,1.9243942060071888,1.2168345996735528,3.4610727275542987,2.2151861884353465,0.39125052344517747
2200,2.9191424875850767,1.891344889298195,1.2012812274259954,3.539092339147078,2.213767932386476,0.4058770532769673
2300,2.902113772484682,1.8219105568430103,1.1882004755645186,3.56249376118631,2.211474763523022,0.4312210146662455
2400,2.8729393083893897,1.8085829298558054,1.1674370758044224,3.6648493940542797,2.25196629834591,0.4353532232443879
2500,2.825833409750979,1.7359441948853707,1.1652022222497405,3.6525053053472107,2.2354786432314024,0.45414100936553287
2600,2.757448248168,1.7308525366189895,1.1485526060513769,3.787138072736507,2.2880546143469354,0.4628494455500248
2700,2.76867834117063,1.7421566250609133,1.1418507296635696,3.806677294988861,2.287496027177911,0.46091099117297735
2800,2.692522730479825,1.6725219479929638,1.1239881917219885,3.8448037176535084,2.2523227226768556,0.47858375280603976
2900,2.7514305418336407,1.6465374361168557,1.116132356164229,3.905356678667625,2.253734196039592,0.48522495247765596
3000,2.660459156510485,1.6220268308333752,1.1065151683715508,3.8411145126289097,2.29539822980685,0.4972697886803897
3100,2.635185742254452,1.6063094206340136,1.0982220919799754,3.9629473111573876,2.303499510907743,0.491492540669955
3200,2.653210077645943,1.556252628591229,1.0797751189084865,3.9422161647840523,2.2946261543728848,0.5101518204114939
