miliseconds,Sti_g1,Sti_g2,Sti_g3,Sti_g4,Sti_b1,Sti_b2,Sti_b3,Sti_b4,Ra,Rd
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409259.3050255539,3987.136245296818
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409592.0025326912,3999.262639019487
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410415.87921744765,4018.746609467277
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411426.2344998643,4016.8844909132936
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412634.1622454643,4049.408482552776
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413524.0687015918,4047.4451215298013
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413949.05150028283,4075.1217240119295
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414270.98442126095,4086.3158765400535
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415372.5107858519,4098.141349326087
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415978.6120344489,4125.7423892926145
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416783.2331599501,4130.482659896311
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418134.58135943726,4141.704075821625
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418495.17766754597,4174.6401209076275
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419619.8780318563,4180.079322200669
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420732.80698922626,4208.296543616338
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420556.46358074027,4226.217257580096
1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422066.11469012476,4240.065228130927
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422605.42781723256,4237.077456560264
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423872.0350887604,4271.221525518008
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424188.80756459513,4281.9076250407525
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425344.2869758187,4289.931782391915
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425284.50108167244,4323.067471766141
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426942.82778948185,4321.713148794969
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427312.3017301216,4344.034875918339
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428352.15654576663,4351.690984339846
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429080.1164396554,4376.0464743083585
2600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430325.8694034117,4385.344143966491
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430535.7977402924,4403.573201919542
2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431742.76816047536,4416.327266683635
2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431804.8869102323,4435.789327219607
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432819.0122170624,4467.83265796506
3100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434467.3291351495,4480.533285566417
3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434746.3522294037,4482.976015328878
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435399.19005260547,4502.7748117532055
3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436223.9561476567,4526.356597852123
3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437167.4527932105,4534.34373677934
3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438226.66123500874,4568.279314796562
3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439112.1994265127,4586.967638335092
3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440025.7819635992,4601.945669196847
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440700.2224014189,4611.4423200016445
4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441806.0099481647,4633.972249383318
4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442670.74592663825,4652.214350066727
4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443512.106685576,4667.471750319568
4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443663.1110131972,4671.9007811367455
4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444401.8859321901,4689.05124522484
4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445983.0794718076,4714.029443953928
4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446071.9852793072,4718.207157838337
4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447276.01070164394,4752.494630712048
4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447958.1343744035,4759.2646559410705
4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449193.9246949976,4779.920856126721
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449923.47242363414,4799.064481708427
