miliseconds,Sti_g1,Sti_g2,Sti_g3,Sti_g4,Sti_b1,Sti_b2,Sti_b3,Sti_b4,Ra,Rd
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337894.92202028644,2564.3051617929827
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338469.37570354633,2573.480519305587
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339230.79119945195,2575.129087173236
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340058.69457734586,2598.7479141777717
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340691.0850660028,2615.6231466491386
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341207.202622629,2621.0509319154826
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342240.8512827909,2631.0478482667895
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342677.3634645329,2641.2618610438967
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343566.80159156624,2659.6906451343316
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343765.74496408657,2676.8985375852544
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344628.36731692165,2694.3982022512023
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344944.1975070513,2697.245111734002
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345969.7186473516,2708.6107623799353
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346498.3682792338,2733.1843517109355
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347120.341102337,2734.404150891407
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347803.17757947586,2760.7209867636097
1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348958.5756875819,2767.0735130753783
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348938.49722334166,2783.182830860696
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349914.2518295013,2785.2763294468573
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351023.58675665315,2806.3674476354486
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350941.25567989,2811.9482168849227
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352069.7195349343,2836.0323544451953
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352526.3461564701,2848.3387675362023
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353650.2514981463,2858.5386222308816
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354417.17146683356,2873.3557778858153
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354674.4722900277,2879.066429120791
2600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355536.90413007623,2895.192782842328
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356430.91237942054,2908.4792324964956
2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356381.4500304776,2929.8795969525786
2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357091.3607610302,2944.661669586788
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357965.5145469766,2963.8704363634884
3100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358378.2341329,2960.319626037034
3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359410.51767370926,2973.3923286326713
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360369.375267339,2988.7379694740043
3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360662.7547492466,3014.5239959035916
3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361865.50863748544,3027.5134835774356
3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362220.221858875,3045.285894652966
3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363195.4007997312,3047.6748907162896
3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363806.8143660252,3059.777916325742
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364772.36307507864,3088.0573863097707
4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365199.15286497516,3085.8341438215925
4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365754.3976652555,3113.735402810156
4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366315.3770738113,3120.904475777006
4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367567.093797266,3127.759842005276
4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367561.0484155127,3156.2745507445607
4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368876.17100202007,3169.8734748190077
4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368799.14147042326,3173.1773899429595
4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369878.13463099085,3200.145494646601
4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371083.4820315188,3201.9904764879957
4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371386.6879736802,3223.9823916750606
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371886.77996215725,3225.495399673601
