miliseconds,Sti_g1,Sti_g2,Sti_g3,Sti_g4,Sti_b1,Sti_b2,Sti_b3,Sti_b4,Ra,Rd
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493863.37539062375,5697.767938338019
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494930.36299350654,5717.352053894758
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495660.8539618829,5742.869661113537
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496817.45923440537,5738.478420068045
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497660.55162921944,5761.826170937913
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498716.66103866225,5777.273497312437
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499074.64577266295,5799.980212844008
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500839.87658402795,5830.877839879848
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501374.73541148374,5846.454004312034
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502671.7457717822,5853.745863976904
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503176.43441188603,5891.247085697489
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503513.8567445296,5908.500668907804
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505493.68770690565,5926.117331814501
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505585.7657342377,5930.679238010906
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506849.28815009363,5963.646843784649
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507875.37875610904,5974.517125599807
1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508744.7896218102,6001.362166268839
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509172.87757015845,6030.922241197305
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510373.27453977504,6048.679924708451
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511959.77748071507,6055.0381405694225
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512121.27926687134,6089.316989045922
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513478.70463638165,6089.412035944449
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514329.6339879722,6116.782313111532
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516093.28193992405,6124.565015426085
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516869.45862162014,6149.821183044355
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517506.42828652606,6168.950233851743
2600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518829.5835235784,6183.219937890553
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519300.38996622316,6222.95667772431
2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520263.138266919,6237.416435037975
2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521671.43999713677,6247.906577998633
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521894.47493553255,6274.256628479204
3100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522835.57144880394,6293.703672661898
3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524204.0895743624,6311.274444759273
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524645.2699645245,6337.328747962449
3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526248.6922036564,6350.613540633833
3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527481.3348345553,6366.518042975159
3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528312.759459481,6395.594407813145
3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529157.6846372185,6421.852861010225
3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530078.5594151453,6442.290173286978
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531556.4154562042,6453.034473380942
4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531467.8711081048,6484.219140190736
4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532348.3892992081,6489.71144787652
4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533924.6235272484,6510.66401561155
4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535266.4358720277,6536.129419080225
4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536164.7625901538,6556.647314111017
4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536545.0409718326,6564.4729478151385
4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538191.7085724872,6594.575393316232
4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538965.285363273,6606.721149143614
4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539829.7764442378,6636.001852318359
4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540517.849727799,6653.759318107686
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541514.6724446532,6684.992479030971
