milliseconds,Sti_g1,Sti_g2,Sti_g3,Sti_g4,Sti_b1,Sti_b2,Sti_b3,Sti_b4,Ra,Rd
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594076.847152298,7772.588485814498
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594493.0710488231,7772.065460320989
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595698.7236279987,7800.08768898772
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597242.8396176567,7815.320032555186
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597941.6876133926,7845.0220447386655
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599967.258926873,7868.057761300259
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600298.8525009209,7903.664692160585
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602118.314901068,7926.928557734726
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603145.7775487284,7941.255264052548
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603770.6676667132,7976.209910755386
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604178.9528415841,7991.5848796500195
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605318.2323132677,8022.338423259758
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606452.8323382668,8015.813127952546
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608046.0760735318,8041.92494692077
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609079.5209870758,8061.1837882875625
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609723.9980300668,8107.231994505953
1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612041.2263325262,8124.076360463672
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613359.3298194901,8142.639645785207
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614003.5124623417,8163.915328713073
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615193.131833076,8189.789534000845
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616564.5258777627,8206.291243139498
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616768.4654010445,8248.344872608504
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617805.8671952134,8268.03353756271
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618781.7993722894,8292.491963270477
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620247.4185099864,8311.630383690883
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621554.2666542612,8324.632375511217
2600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622559.0527809276,8346.992616060354
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623437.8237823135,8365.256079693616
2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625332.3788677625,8408.607254345647
2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625898.0505227947,8426.60722675774
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626609.8042335656,8449.04097977466
3100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628747.5444213633,8492.125423807112
3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629294.9282927838,8515.55328260047
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629990.4331285013,8514.459522647565
3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632175.5799431374,8562.145854516742
3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633672.2790311265,8570.29102341315
3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634766.867899275,8606.594225428913
3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635828.328969267,8626.105456710688
3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636486.227633263,8645.341116986974
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637535.6060904048,8662.626820789088
4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639048.6137668784,8689.198231607319
4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639100.4882422274,8715.619203701124
4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641439.3630951548,8756.92853440639
4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642019.7194567259,8767.059202824657
4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642969.094625207,8802.029335360754
4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644234.3766652405,8808.958164973177
4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645380.7064391327,8840.604831385896
4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646086.1448549769,8863.048660966995
4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647414.437801639,8882.982010041704
4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649878.6904972607,8920.5732916381
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649589.4428144249,8943.324415114279
