milliseconds,CD95,FADD,p55free,Bid,PrNES_mCherry,PrER_mGFP,DISC,DISCp55,p30,p43,p18,p18inactive,tBid,PrNES,mCherry,PrER,mGFP,CD95L
0,12.0,90.0,127.0,224.0,1909.0,3316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6
100,12.0,89.97861900286176,126.99995052227086,223.99999999999687,1908.9999999999209,3316.0,0.021331519409433702,4.946611167553261e-05,1.0553873928226165e-08,1.0632369885826727e-09,3.464894571218974e-13,4.726677130129368e-16,3.1672439262422322e-12,7.958295126854649e-11,7.958295126854649e-11,3.722859777477233e-14,3.722859777477233e-14,16.6
200,12.0,89.95724586949883,126.99980241865154,223.99999999995035,1908.9999999987515,3315.999999999999,0.042556549158046575,0.00019748854033847454,8.43096045325407e-08,8.493070318368768e-09,5.430915525843683e-12,1.4208436499757164e-14,4.9714337340882744e-11,1.24916608195718e-09,1.24916608195718e-09,1.1190951971017663e-12,1.1190951971017663e-12,16.6
300,12.0,89.93588058414213,126.99955618192715,223.99999999974898,1908.9999999936917,3315.9999999999914,0.06367559781259353,0.0004435052810679591,2.841414720359779e-07,2.8622818966483068e-08,2.7387459286659534e-11,1.0750007008070309e-13,2.5107231077749554e-10,6.308663285422748e-09,6.308663285422748e-09,8.466998611527315e-12,8.466998611527315e-12,16.6
400,12.0,89.91452313109313,126.99921230273928,223.99999999920743,1908.9999999800848,3315.999999999964,0.084689171733276,0.0007869568609030978,6.725613419555654e-07,6.775169696330812e-08,8.633380832340777e-11,4.513031295086562e-13,7.926053459135758e-10,1.991569771313328e-08,1.991569771313328e-08,3.554586492882327e-11,3.554586492882327e-11,16.6
500,12.0,89.89317349472584,126.99877126952447,223.99999999806641,1908.9999999514148,3315.9999999998913,0.10559777501201471,0.001227286404314317,1.3117125828124399e-06,1.3214694784854638e-07,2.1032024008032755e-10,1.3691828990357147e-12,1.9336165151033356e-09,4.858574599107914e-08,4.858574599107914e-08,1.0784057811645233e-10,1.0784057811645233e-10,16.6
600,12.0,89.87183165948375,126.9982335686088,223.99999999599322,1908.9999998993223,3315.9999999997317,0.12640190956639125,0.0017639395194536845,2.2633846933399262e-06,2.2804846590983628e-07,4.352104485625841e-10,3.3922592516650236e-12,4.00678623584298e-09,1.0067802833338337e-07,1.0067802833338337e-07,2.671835874360339e-10,2.671835874360339e-10,16.6
700,12.0,89.85049760987789,126.99759968425941,223.99999999258216,1908.9999998136134,3315.999999999423,0.1471020751964574,0.0023963642340281135,3.589022081759116e-06,3.616725807253142e-07,8.045930528721026e-10,7.310125886427456e-12,7.4178347185087e-09,1.863870269070742e-07,1.863870269070742e-07,5.757654453992395e-10,5.757654453992395e-10,16.6
800,12.0,89.82917133048377,126.99687009878113,223.99999998735495,1908.99999968227,3315.9999999988786,0.1676987696844323,0.0031240108796492267,5.349738811255928e-06,5.39216523944085e-07,1.3696763075929142e-09,1.4223166028540134e-11,1.2645042241539446e-08,3.1773043184427596e-07,3.1773043184427596e-07,1.1202553349476217e-09,1.1202553349476217e-09,16.6
900,12.0,89.80785280594903,126.99604529227493,223.99999997976008,1908.9999994914338,3315.9999999979837,0.18819248854407972,0.003946332364079544,7.606288403297478e-06,7.668576821034827e-07,2.1893257214102506e-09,2.558478831252467e-11,2.0239944841814294e-08,5.085666217671433e-07,5.085666217671433e-07,2.015127682760327e-09,2.015127682760327e-09,16.6
1000,12.0,89.7865420209919,126.9951257426815,223.9999999691729,1908.9999992254116,3315.9999999965926,0.20858372506637676,0.004862784116652405,1.0419071470745215e-05,1.0507571361473853e-06,3.3299912503993276e-09,4.325179388509296e-11,3.0827095245063085e-08,7.745886567124713e-07,7.745886567124713e-07,3.4066292095998897e-09,3.4066292095998897e-09,16.6
1100,12.0,89.76523896039815,126.99411192587547,223.9999999548963,1908.9999988666855,3315.999999994522,0.22887297041633434,0.0058728239753778385,1.3848150079140142e-05,1.3970639267246066e-06,4.8656191850443336e-09,6.953580848990711e-11,4.510368523284392e-08,1.13331478938866e-06,1.13331478938866e-06,5.4768298615339256e-09,5.4768298615339256e-09,16.6
1200,12.0,89.74394360901952,126.99300431571028,223.99999993616063,1908.999998395916,3315.9999999915512,0.2490607136794007,0.006975912130863603,1.79532554954153e-05,1.8119185131701216e-06,6.877591034246599e-09,1.0725271850373773e-10,6.383938187916473e-08,1.6040843503073656e-06,1.6040843503073656e-06,8.447516526926691e-09,8.447516526926691e-09,16.6
1300,12.0,89.72265595177537,126.99180338396458,223.99999991212349,1908.9999977919376,3315.9999999874153,0.26914744180721967,0.008171511183476197,2.279378279739683e-05,2.301454676647621e-06,9.45470780324851e-09,1.5976890809413157e-10,8.787653133374486e-08,2.2080628682125253e-06,2.2080628682125253e-06,1.2583834801038923e-08,1.2583834801038923e-08,16.6
1400,12.0,89.70137597365164,126.99050960037077,223.99999988186985,1908.999997031759,3315.999999981801,0.289133639646294,0.009459086106086475,2.8428796380559367e-05,2.8718025841445117e-06,1.2693149245025741e-08,2.3104966599676874e-10,1.181301340985722e-07,2.968241448844376e-06,2.968241448844376e-06,1.8198101635788923e-08,1.8198101635788923e-08,16.6
1500,12.0,89.68010365970142,126.98912343259643,223.99999984441203,1908.999996090561,3315.9999999743454,0.3090197899188575,0.010838104261070212,3.491702919651152e-05,3.529091169993913e-06,1.669644890030826e-08,3.257062934029926e-10,1.5558796004796773e-07,3.909439665023627e-06,3.909439665023627e-06,2.5653515685409856e-08,2.5653515685409856e-08,16.6
1600,12.0,89.65883899504723,126.98764534616922,223.99999979868917,1908.9999949416872,3315.9999999646316,0.32880637314686995,0.01230803548212373,4.231687448517365e-05,4.2794496568280795e-06,2.1575491970971543e-08,4.490415496747069e-10,2.013108545309577e-07,5.0583132480367436e-06,5.0583132480367436e-06,3.536773673485849e-08,3.536773673485849e-08,16.6
