milliseconds,s2,s3,s4,s14,s16,s13,s12
0,48000.0,2364.025695931478,320000.0,5.666599644296397,0.009999232838714893,-0.013934962745951643,1.0055610641248853
100,48000.00000000001,2364.025695931478,320000.0,5.709304871129701,0.009999749175591986,0.031647841440010975,0.9650322296303983
200,48000.000000000015,2364.025695931478,320000.0,6.889687981125041,0.010000455471104421,0.08362495861564173,0.8878378484185138
300,48000.000000000015,2364.025695931478,320000.0,19.167328236516838,0.009999712741117352,0.1409253757723657,0.8598360199290328
400,48000.000000000015,2364.025695931478,320000.0,23.06678422545029,0.01000062179545241,0.17462874086663036,0.7903604708749878
500,48000.000000000015,2364.025695931478,320000.0,23.06801575423695,0.010001479320555043,0.19433381266995678,0.7440157341184591
600,48000.000000000015,2364.025695931478,320000.0,30.11935089394098,0.01000176301239001,0.26386321835094667,0.7247893889124559
700,48000.000000000015,2364.025695931478,320000.0,26.923844854133726,0.010001989654508315,0.31255949342884864,0.6830043873368598
800,48000.000000000015,2364.025695931478,320000.0,42.23405576910304,0.010001758957883336,0.3173086878728989,0.6349049611100135
900,48000.000000000015,2364.025695931478,320000.0,40.58368618710293,0.010001831357466597,0.37144291556685877,0.6149921970936837
1000,48000.000000000015,2364.0256959314784,320000.0,42.91858655290447,0.010002669623422486,0.3838568753070995,0.5950340287039656
1100,48000.000000000015,2364.025695931478,320000.0,46.86724692472267,0.010002081523476158,0.40638187927254543,0.5425538218802308
1200,48000.00000000001,2364.025695931478,320000.0,50.69048719256628,0.010002098022426648,0.4521257492677702,0.5400757702226142
1300,48000.00000000001,2364.0256959314784,320000.0,53.319741663999174,0.010003312917538308,0.45645615998996464,0.49766791733157295
1400,48000.00000000001,2364.025695931478,320000.0,60.483294071660374,0.010004700151734332,0.4663553512984567,0.47637235617946705
1500,48000.00000000001,2364.025695931478,320000.0,69.8557674745011,0.010004602216470678,0.5103103570768701,0.46214424081968075
1600,48000.00000000001,2364.0256959314775,320000.0,71.33687166706004,0.01000541336870158,0.550734463516857,0.4170108642975958
1700,48000.00000000001,2364.025695931478,320000.0,74.54741151631723,0.010005915293004791,0.5492763303466958,0.39139401575659905
1800,48000.00000000001,2364.025695931478,320000.0,83.25315420387975,0.010005859851094015,0.5650971070212154,0.36044950751560817
1900,48000.00000000001,2364.025695931478,320000.0,80.62463861744324,0.010006627477532289,0.6012025808229914,0.3749628431302421
2000,48000.00000000001,2364.0256959314775,320000.0,89.96653262500833,0.010006785857981,0.6143356960144487,0.352881348183771
2100,48000.00000000001,2364.025695931478,320000.0,96.03338381898233,0.010007303702309282,0.6104075799798545,0.33776740421631135
2200,48000.00000000001,2364.0256959314775,320000.0,99.14353650090627,0.010008433108887495,0.6224191882529769,0.3153875665337978
2300,48000.000000000015,2364.025695931478,320000.0,105.27871654274644,0.010008253566186474,0.6771844928160878,0.2821164492114299
