milliseconds,S,I,V_L
0,830000000.0,0.0,33200000.0
100,828123938.5343461,441592.831572259,33117210.939534537
200,826289458.2348168,826576.7765612622,34256203.300596155
300,824480369.2481117,1178097.3412529079,36457364.1415956
400,822682254.2186103,1514248.828324583,39625230.30087236
500,820881749.6170052,1849511.9229788287,43714850.55500063
600,819065941.974492,2195911.8004218363,48721259.52262656
700,817221919.8538278,2563819.7771192957,54672810.53657447
800,815336382.421124,2962594.0891561895,61626466.64713074
900,813395309.0274569,3401069.562451875,69664841.91336304
1000,811383667.4557698,3887922.613825288,78894875.99291332
1100,809285131.1928471,4432003.636111577,89446951.12355568
1200,807081820.4385462,5042570.189556419,101475482.90681735
1300,804754043.9753783,5729484.289215617,115160203.62207524
1400,802280026.1843756,6503417.562881944,130707542.76771368
1500,799635631.215033,7376023.762093952,148352693.51294413
1600,796794085.1594254,8360085.908564602,168362244.18113816
1700,793725685.6536045,9469652.282602936,191037239.62801918
1800,790397500.4677594,10720167.208948754,216716530.8373856
1900,786773064.2635087,12128588.781994883,245780413.65279418
2000,782812078.7548975,13713484.923794439,278654598.08098114
2100,778470122.9378858,15495103.41326638,315814435.8533757
2200,773698385.0948629,17495410.13053503,357789284.2920415
2300,768443433.4099402,19738083.002110485,405166911.61192375
2400,762647047.2232628,22248444.074930597,458597827.0891158
2500,756246134.4963247,25053311.66014318,518799356.62572277
2600,749172766.0003461,28180752.396976437,586559231.4142827
2700,741354364.3567458,31659708.86484941,662738388.2604662
2800,732714099.3046832,35519469.16719722,748272583.8555075
2900,723171536.9358385,39788935.09279054,844172632.1579453
3000,712643599.0259341,44495690.77573531,951522205.1609083
3100,701045892.0608457,49664813.21889912,1071473031.731977
3200,688294480.272332,55317390.226241626,1205236656.1799047
3300,674308147.3779219,61468742.6492014,1354071934.4153326
3400,659011184.5511434,68126353.3673628,1519267478.7712717
3500,642336725.2035264,75287518.9580265,1702118332.333172
3600,624230631.7509698,82936768.59962657,1903895932.8941095
3700,604655846.183582,91043165.55103767,2125810975.674665
3800,583597075.8631668,99557638.50110969,2368968994.5408597
3900,561065621.4452878,108410538.80759148,2634318862.745062
4000,537104066.8850431,117509695.59320201,2922594742.522269
4100,511790435.73937005,126739290.72380066,3234253410.0877376
4200,485241399.8986621,135959869.116135,3569409388.253715
4300,457614061.59774023,145009827.11687243,3927771126.9438777
4400,429105841.6017455,153708651.08247742,4308582627.655136
4500,399951991.0997105,161862148.89457735,4710575735.055543
4600,370420698.87522036,169269437.6056472,5131938311.291445
4700,340805546.208769,175731706.72072744,5570302995.531775
4800,311415558.0542105,181062205.74190632,6022762131.325653
4900,282563497.11564684,185096645.25082004,6485911183.701669
5000,254553175.30477008,187703165.96791282,6955920979.412655
