milliseconds,Susceptible,Unquarantined_Infected,Quarantined_Infected,Confirmed_Infected
0,9010000.0,258.0,0.0,0.0
100,9009992.25553578,264.0999242633802,1.6404514146499947,0.004088537843780639
200,9009984.32797509,270.34406292917146,3.3115064415683895,0.016455534321038693
300,9009976.212990241,276.7358245953143,5.0139292770548884,0.03725588303462325
400,9009967.906150289,283.2786991787885,6.748502147481185,0.06664837931841759
500,9009959.402920239,289.9762585519668,8.516025452397203,0.10479574975480647
600,9009950.698658086,296.832158864244,10.317318273960256,0.1518647626993732
700,9009941.788609728,303.850144553556,12.153219271540923,0.2080264204227668
800,9009932.667909704,311.03404776103326,14.024586562856586,0.2734559290180397
900,9009923.331578389,318.38779054291655,15.932298210135606,0.34833280360844415
1000,9009913.77451877,325.9153874050982,17.877252776842145,0.43284098908972174
1100,9009903.991511513,333.6209491947774,19.8603701976085,0.5271690462493772
1200,9009893.977216585,341.50868181854423,21.882591484616373,0.6315100882988778
1300,9009883.72616625,349.58289175595627,23.944879958839937,0.7460620450662292
1400,9009873.232760938,357.84798932142115,26.048221976609465,0.871027818611698
1500,9009862.491279382,366.3084806676272,28.193625130766748,1.006614896219505
1600,9009851.495848348,374.96899163944926,30.38212364617357,1.1530364981462466
1700,9009840.240472354,383.8342443553358,32.61477305341739,1.3105104477981906
1800,9009828.719008138,392.90907732040205,34.892654713562656,1.4792601388405067
1900,9009816.925161555,402.1984478752196,37.21687633383931,1.6595146513557935
2000,9009804.852498218,411.70742380415584,39.588570142274136,1.8515083466384903
2100,9009792.494424747,421.4411981114978,42.008896169011805,2.0554815754639892
2200,9009779.844195072,431.4050840543367,44.47904110906411,2.2716804391756003
2300,9009766.894902758,441.6045211816054,47.00021969750752,2.5003570773765635
2400,9009753.639478028,452.04507768975157,49.573675241746564,2.741769779355545
2500,9009740.070684787,462.7324527535105,52.20068011027318,2.99618309591213
2600,9009726.181109063,473.6724856340539,54.882537730451745,3.2638682721599417
2700,9009711.963168599,484.87114812888956,57.620580992951005,3.5451028877104163
2800,9009697.409102982,496.33455233845524,60.41617393806191,3.840171226361983
2900,9009682.510971054,508.0689527116045,63.270712218362945,4.149364373231947
3000,9009667.26064794,520.0807483788989,66.18562362294261,4.472980325599641
3100,9009651.649782265,532.3765168389782,69.16237540262811,4.811325600118986
3200,9009635.669838287,544.9629807907238,72.20246709197995,5.164713649280017
3300,9009619.312116591,557.846991839754,75.30742699197438,5.533464083231776
3400,9009602.567699661,571.0355733499501,78.47882148350487,5.917904714420243
3500,9009585.427466366,584.5359090384684,81.71825257057081,6.318371012725483
3600,9009567.882055787,598.355371450403,85.02736419773959,6.735207464628198
3700,9009549.921794137,612.5015794985111,88.40785501114817,7.168770320344531
3800,9009531.53695156,626.9821962932795,91.86143354352384,7.619417938828276
3900,9009512.717507519,641.8051138513979,95.38985916768917,8.087519607701283
4000,9009493.4532118,656.9784050582434,98.9949314517603,8.57345324866998
4100,9009473.733580487,672.5103268449543,102.6784908682942,9.077605568634983
4200,9009453.54771162,688.4094652954687,106.44245002085601,9.600378982905886
4300,9009432.884654552,704.6844449045444,110.28873115543897,10.142177742135381
4400,9009411.733155007,721.3441292576656,114.21930933616848,10.703417507160887
4500,9009390.081685357,738.3975971964852,118.23620734647704,11.284524211269996
4600,9009367.918452267,755.8541368117013,122.34149442348887,11.885933773091532
4700,9009345.231304266,773.7233181835772,126.53730264279963,12.50809556472802
4800,9009322.007822433,792.0149220135779,130.82581081452742,13.151469008328586
4900,9009298.23538491,810.7388888450901,135.20923302108375,13.816521154413259
5000,9009273.901029427,829.9054272637928,139.68984299622466,14.503731840841452
