milliseconds,TFp53,miR34a
0,0.0,0.0
100,0.0500023664544193,0.00014469567054048425
200,0.10002792216611267,0.0005590497421239405
300,0.1501022666724094,0.001216435276052584
400,0.2002485098203571,0.0020936342980595025
500,0.25048758472014016,0.003170265439386536
600,0.30083850644198223,0.00442833297530554
700,0.3513185908880806,0.005851862250867655
800,0.4019436444444771,0.007426596942035429
900,0.45272812275580465,0.00913975848218031
1000,0.5036852690131732,0.010979847712702223
1100,0.5548272296967236,0.012936477871301642
1200,0.6061651602446984,0.015000230915826897
1300,0.6577093178959494,0.017162539458297772
1400,0.7094691401972234,0.01941558878508745
1500,0.76145331563522,0.02175222996126989
1600,0.8136698478822979,0.02416590382188658
1700,0.8661261117847733,0.026650577840150666
1800,0.9188289022884644,0.029200692648962294
1900,0.9717844797268358,0.03181111387003144
2000,1.0249986076612634,0.0344770941615178
2100,1.078476592303726,0.0371942322613882
2200,1.1322233157366626,0.039958440475807544
2300,1.1862432656370345,0.04276591650054941
2400,1.240540562192382,0.04561311864597158
2500,1.295118983349774,0.04849674303895261
2600,1.3499819856072606,0.05141370601572633
2700,1.4051327273675815,0.054361123404318396
2800,1.4605740872038322,0.05733629541982923
2900,1.5163086846073133,0.06033668889485772
3000,1.5723388925865487,0.06335992804574168
3100,1.6286668562031195,0.06640377914408771
3200,1.6852945008976081,0.06946614547324052
3300,1.7422235506914059,0.07254505244689365
3400,1.7994555339389608,0.07563864515971816
3500,1.8569918014731635,0.07874517355085311
3600,1.9148335303819903,0.08186299119187643
3700,1.9729817419380087,0.08499054124945811
3800,2.031437301646939,0.08812635803601146
3900,2.0902009384134246,0.09126905213557654
4000,2.1492732401890375,0.09441731583607553
4100,2.2086546738427897,0.09756990746943445
4200,2.2683455797264673,0.10072565789916023
4300,2.3283461890511457,0.10388345699032746
4400,2.3886566209848166,0.10704225763579263
4500,2.449276894981,0.11020106673682148
4600,2.5102069290131466,0.11335894769098853
4700,2.5714465570752596,0.11651500796211958
4800,2.632995526392138,0.1196684020347651
4900,2.694853485180769,0.12281834127847328
5000,2.75702003055335,0.1259640591452698
