milliseconds,s22,s36,s65,s93,s110,s113,s114,s117,s119,s123,s124,s126,s127,s128,s130,s132,s133,s150,s160,s165,s170,s173,s178,s185,s188,s189,s190,s191,s192,s193,s194,s195,s196,s197,s198,s199,s200,s201,s205,s206,s209,s212,s213,s214,s215
0,0.000333333333333333,0.000333333333333333,0.000333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66666666666667e-06,0.0,0.0,0.0,0.0,6.66666666666667e-06,0.0,0.0,0.0,6.66666666666667e-06,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0003333311115071977,0.0003333311115071977,0.0003333311115071977,2.8335763419747718e-18,3.646814620080293e-17,1.7539731346750733e-13,2.488607871805886e-22,2.805504808965409e-13,7.540358941892693e-17,1.0808744300998549e-14,8.647494156401898e-18,-2.88726781220135e-53,2.887201044479621e-53,8.345820427048313e-55,0.0,0.0,9.999936331884875e-07,-1.0000000000000004e-06,-3.4459366345763907e-10,3.4431344461217416e-10,-3.4459366345763917e-10,3.444184762286311e-10,4.2670230163259866e-13,3.351135047101386e-10,6.410721749454438e-60,0.0,1.3849249885028942e-42,0.0,4.0425608090270295e-67,6.6644448405313735e-06,2.2218261352984218e-09,9.993310306094682e-46,2.386736415115791e-52,1.8758608890217323e-72,6.6644448405313735e-06,2.2218261352984213e-09,5.409697111841977e-58,2.500126246288451e-79,6.6644448405313735e-06,2.2218261352984218e-09,-3.3554013200378824e-10,2.386736415115791e-52,1.8758608890217323e-72,5.4096971118419826e-58,2.500126246288451e-79
200,0.0003333288904546777,0.0003333288904546777,0.0003333288904546777,3.577666848257171e-17,2.673495571638767e-16,7.114085622127263e-13,3.209872330396725e-21,1.1376290741492976e-12,5.5265783177113925e-16,7.761770603246088e-14,6.210046165605257e-17,-2.0498577923618587e-50,2.0497722898876638e-50,1.06874746030116e-51,0.0,0.0,1.9999748274579676e-06,-2.0000000000000003e-06,-7.111805199551006e-10,7.100437169322952e-10,-7.111805199551009e-10,7.104696416851091e-10,1.694229476586628e-12,6.736964010876589e-10,5.149046447642543e-56,0.0,3.0354673103050516e-40,0.0,1.2448904457503045e-62,6.662223788011397e-06,4.442878655275098e-09,3.9379947735819345e-43,1.6944449729039395e-49,1.0953519474084295e-67,6.662223788011397e-06,4.4428786552750985e-09,1.931770236833383e-54,2.4879097996184825e-73,6.662223788011397e-06,4.442878655275098e-09,-6.753904879482827e-10,1.6944449729039395e-49,1.0953519474084295e-67,1.931770236833383e-54,2.4879097996184825e-73
300,0.00033332667017797973,0.00033332667017797973,0.00033332667017797973,1.3508403756608306e-16,8.245498552854009e-16,1.6276131628065556e-12,1.2208323871618613e-20,2.6022549339799605e-12,1.7042721984744582e-15,2.3671754312233286e-13,1.8939780988029773e-16,-1.0790619607339182e-49,1.079016823561034e-49,5.64196965755677e-51,0.0,0.0,2.999943543611421e-06,-3.000000000000001e-06,-1.099823511523253e-09,1.0972225658332792e-09,-1.0998235115232533e-09,1.0981967569330964e-09,3.812596936640356e-12,1.0157509314959813e-09,2.726280305205239e-55,0.0,1.5751962957746915e-39,0.0,6.594096700038098e-62,6.660003511313423e-06,6.663155353248759e-09,2.062416891728452e-42,8.919695574911203e-49,5.802403878657191e-67,6.660003511313423e-06,6.66315535324876e-09,1.0221014557285583e-53,1.3180154678534088e-72,6.660003511313423e-06,6.663155353248759e-09,-1.0195634030803739e-09,8.919695574911203e-49,5.802403878657191e-67,1.0221014557285583e-53,1.318015467853409e-72
400,0.00033332445067780543,0.00033332445067780543,0.00033332445067780543,5.1149305287454445e-16,2.1308815250202013e-15,2.977723422969618e-12,4.7768853046171334e-20,4.759383109439203e-12,4.402836376692708e-15,5.94511975363479e-13,4.756996066633464e-16,-1.4747872217768332e-47,1.4746758079512792e-47,1.3925938273206693e-48,0.0,0.0,3.9998997596523535e-06,-4.0000000000000015e-06,-1.5105432529499809e-09,1.5057853794517072e-09,-1.5105432529499817e-09,1.5075665941253533e-09,6.8044195374212506e-12,1.3612583427076491e-09,2.1370664430798205e-52,0.0,6.662235088230254e-38,0.0,1.7652465243823827e-58,6.657784011139143e-06,8.882655527528563e-09,1.5645646225620865e-40,1.219008134725508e-46,2.808331357299621e-63,6.657784011139143e-06,8.882655527528566e-09,3.878110001806529e-51,3.221878573207053e-68,6.657784011139143e-06,8.882655527528563e-09,-1.3680629174016914e-09,1.219008134725508e-46,2.808331357299621e-63,3.878110001806529e-51,3.221878573207053e-68
500,0.0003333222319536694,0.0003333222319536694,0.0003333222319536694,1.1214443297138055e-15,4.094985845001498e-15,4.74985835337376e-12,1.056623591060737e-19,7.590216821959746e-12,8.459787435063408e-15,1.1278024518375526e-12,9.024393443710975e-16,-4.1103396182895037e-47,4.110028240722098e-47,3.891998488795439e-48,0.0,0.0,4.999843485724754e-06,-5.000000000000001e-06,-1.9433257998625963e-09,1.9357370761363055e-09,-1.943325799862597e-09,1.9385771229562283e-09,1.066439746404632e-11,1.7102212420741666e-09,5.986649190756412e-52,0.0,1.8311492911149972e-37,0.0,4.948817523802334e-58,6.655565287003112e-06,1.1101379663559468e-08,4.338894457139576e-40,3.3974633547936634e-46,7.874183222043201e-63,6.655565287003112e-06,1.110137966355947e-08,1.0851445778202028e-50,9.034975267191202e-68,6.655565287003112e-06,1.1101379663559468e-08,-1.7208862981211596e-09,3.3974633547936634e-46,7.874183222043201e-63,1.0851445778202023e-50,9.034975267191202e-68
600,0.00033332001400520353,0.00033332001400520353,0.00033332001400520353,1.931907345923936e-15,6.647586669760378e-15,6.935008752350018e-12,1.8268196925104176e-19,1.1080502715683575e-11,1.3732140523670936e-14,1.8189978092265448e-12,1.4555382786377446e-15,-7.702321706645345e-47,7.701737739484172e-47,7.299174661483418e-48,0.0,0.0,5.999774729520679e-06,-6.000000000000001e-06,-2.3981605784223193e-09,2.3870813854077672e-09,-2.39816057842232e-09,2.391226803871012e-09,1.538851193493347e-11,2.062641606716703e-09,1.1235355068548726e-51,0.0,3.417031885779992e-37,0.0,9.289711539217536e-58,6.653347338537223e-06,1.3319328129448151e-08,8.118504831477661e-40,6.3664697405436264e-46,1.4781699946344173e-62,6.653347338537223e-06,1.3319328129448153e-08,2.0358363841368557e-50,1.69614811241561e-67,6.653347338537223e-06,1.3319328129448151e-08,-2.078031472998392e-09,6.3664697405436264e-46,1.4781699946344173e-62,2.035836384136855e-50,1.69614811241561e-67
700,0.0003333177968319362,0.0003333177968319362,0.0003333177968319362,4.2632943714722234e-15,1.1533816236576139e-14,9.724610612800082e-12,4.1828725126406754e-19,1.5532491747437193e-11,2.3816398035971854e-14,3.061947905905288e-12,2.4503087125020605e-15,-1.196805545979107e-44,1.1966550480047613e-44,1.8810471237718927e-45,0.0,0.0,6.999693460055639e-06,-7.0000000000000024e-06,-2.875036589283751e-09,2.859505409469597e-09,-2.875036589283751e-09,2.8653132678122163e-09,2.105436061183136e-11,2.4184395677462494e-09,8.778207754995408e-48,0.0,1.9457305181697636e-35,0.0,6.2596043461507065e-53,6.651130165269882e-06,1.5536501396788467e-08,7.621919745571631e-38,9.88216676157597e-44,3.002288742132521e-57,6.651130165269882e-06,1.5536501396788467e-08,9.93284951886269e-47,2.5185771024429725e-61,6.651130165269882e-06,1.5536501396788467e-08,-2.4394962861420014e-09,9.88216676157597e-44,3.002288742132521e-57,9.93284951886269e-47,2.5185771024429725e-61
800,0.0003333155804341688,0.0003333155804341688,0.0003333155804341688,7.271674081425825e-15,1.7638286727046705e-14,1.2996309095402923e-11,7.233436973170935e-19,2.0753002547841827e-11,3.641388318815442e-14,4.60492664059246e-12,3.68522121782738e-15,-2.8143209342917426e-44,2.8139664766330143e-44,4.430302152093334e-45,0.0,0.0,7.999599697133128e-06,-8.000000000000003e-06,-3.373960862593722e-09,3.353209134536683e-09,-3.373960862593722e-09,3.3609658574031235e-09,2.7612347547337227e-11,2.7776661727476054e-09,2.0722470486996886e-47,0.0,4.544059682685841e-35,0.0,1.4777900480852982e-52,6.648913767502506e-06,1.7752899164164826e-08,1.7876572838209605e-37,2.3238089832684093e-43,7.087955086440183e-57,6.648913767502506e-06,1.7752899164164826e-08,2.3447092730454046e-46,5.945999705709069e-61,6.648913767502506e-06,1.7752899164164826e-08,-2.8052821154733513e-09,2.3238089832684093e-43,7.087955086440183e-57,2.3447092730454046e-46,5.945999705709069e-61
900,0.00033331336481190503,0.00033331336481190503,0.00033331336481190503,1.0946908581895241e-14,2.494759932184339e-14,1.6748634388171175e-11,1.096780561301335e-18,2.673971448704724e-11,5.149698266544759e-14,6.444910103132562e-12,5.1578548820374115e-15,-4.851153682492484e-44,4.850542367835141e-44,7.640711080824723e-45,0.0,0.0,8.999493440991043e-06,-9.000000000000002e-06,-3.894933482803278e-09,3.868194962983445e-09,-3.894933482803278e-09,3.878186126397873e-09,3.506187696021005e-11,3.140322034940097e-09,3.5766527921922754e-47,0.0,7.814635269977022e-35,0.0,2.550692229199434e-52,6.646698145238715e-06,1.9968521427956426e-08,3.0787615262940092e-37,4.005633782568092e-43,1.2233962948744095e-56,6.646698145238715e-06,1.9968521427956426e-08,4.046852766944472e-46,1.0262932333288968e-60,6.646698145238715e-06,1.9968521427956426e-08,-3.175388977544997e-09,4.005633782568092e-43,1.2233962948744095e-56,4.046852766944472e-46,1.0262932333288968e-60
1000,0.00033331114996514483,0.00033331114996514483,0.00033331114996514483,1.5288997872880474e-14,3.3461754020966197e-14,2.0981586491104835e-11,1.5385978432167923e-18,3.349262756505343e-11,6.906569646785135e-14,8.581898293525596e-12,6.868209705132154e-15,-7.307303790581331e-44,7.306382721611138e-44,1.1512273909966063e-44,0.0,0.0,9.999374691629381e-06,-1.0000000000000003e-05,-4.43795444991242e-09,4.404462894809882e-09,-4.43795444991242e-09,4.416974074796466e-09,4.3402948850449826e-11,3.5064071543237248e-09,5.391038005977302e-47,0.0,1.1757457280043305e-34,0.0,3.844666977957478e-52,6.644483298478507e-06,2.2183368188163266e-08,4.6355047019763086e-37,6.033691074056646e-43,1.8440312329044265e-56,6.644483298478507e-06,2.2183368188163266e-08,6.099715433583473e-46,1.5469374985182672e-60,6.644483298478507e-06,2.2183368188163266e-08,-3.5498168723569386e-09,6.033691074056646e-43,1.8440312329044265e-56,6.099715433583473e-46,1.5469374985182672e-60
1100,0.0003333089358932641,0.0003333089358932641,0.0003333089358932641,2.0911789442038002e-14,4.380632996431419e-14,2.575497510204198e-11,2.1180590394420094e-18,4.110599046651369e-11,9.040749084577559e-14,1.114350025279279e-11,8.918480972256371e-15,-1.2333026325381176e-43,1.233142497095263e-43,2.0014983087314255e-44,0.0,0.0,1.0999243446952895e-05,-1.1000000000000003e-05,-5.003006782033937e-09,4.961901130344186e-09,-5.003006782033937e-09,4.977252671768379e-09,5.2659260847097256e-11,3.875894184340696e-09,1.2558212502752468e-46,0.0,1.8648651504250715e-34,0.0,9.28045061142199e-52,6.642269226597747e-06,2.4397440068924303e-08,7.588078217513298e-37,1.0182053876917232e-42,4.444548912895342e-56,6.642269226597747e-06,2.4397440068924303e-08,1.1659383011334924e-45,2.2226278223210814e-59,6.642269226597747e-06,2.4397440068924303e-08,-3.9285624717522076e-09,1.0182053876917232e-42,4.444548912895342e-56,1.1659383011334924e-45,2.2226278223210814e-59
1200,0.0003333067225945697,0.0003333067225945697,0.0003333067225945697,2.94804201488235e-14,5.767828756192247e-14,3.123104138743794e-11,3.0230499084982204e-18,4.983546434819268e-11,1.190147764581727e-13,1.447587121016781e-11,1.1585885972034636e-14,-2.5761152797969294e-43,2.5757639006076873e-43,4.391793173374414e-44,0.0,0.0,1.1999099701277948e-05,-1.2000000000000004e-05,-5.590044413708727e-09,5.54020639921684e-09,-5.590044413708727e-09,5.558812961705265e-09,6.289509568550727e-11,4.2487089440873274e-09,3.875741854252251e-46,0.0,3.466248928552037e-34,0.0,2.949352293365998e-51,6.640055927903378e-06,2.6610738763293287e-08,1.5002265361568738e-36,2.126311359945518e-42,1.4107994259294042e-55,6.640055927903378e-06,2.6610738763293287e-08,2.928712650031346e-45,1.1750597004062865e-58,6.640055927903378e-06,2.6610738763293287e-08,-4.311616747695408e-09,2.126311359945518e-42,1.4107994259294042e-55,2.928712650031346e-45,1.1750597004062865e-58
1300,0.0003333045100704387,0.0003333045100704387,0.0003333045100704387,3.9640605143661997e-14,7.369745931549283e-14,3.727783177695397e-11,4.100759686050183e-18,5.947311553228785e-11,1.5204711480471456e-13,1.8297477080395017e-11,1.46449590486606e-14,-4.2847739609524865e-43,4.2841781999436075e-43,7.446242858946923e-44,0.0,0.0,1.2998943459227137e-05,-1.3000000000000006e-05,-6.1991048107781106e-09,6.139625356508732e-09,-6.1991048107781106e-09,6.1618248918478055e-09,7.405817109585556e-11,4.6249117661863795e-09,7.286308981451228e-46,0.0,5.477732805471456e-34,0.0,5.583386272580489e-51,6.637843403772391e-06,2.8823262894280075e-08,2.4384611114910943e-36,3.536286837600818e-42,2.6700238181271558e-55,6.637843403772391e-06,2.8823262894280075e-08,5.2019914878341786e-45,2.4310766571649877e-58,6.637843403772391e-06,2.8823262894280075e-08,-4.698987042845185e-09,3.536286837600818e-42,2.6700238181271558e-55,5.2019914878341786e-45,2.4310766571649877e-58
1400,0.0003333022983208711,0.0003333022983208711,0.0003333022983208711,5.1392344426553465e-14,9.186384522502524e-14,4.3895346270590036e-11,5.351188372097892e-18,7.001894401879916e-11,1.895045058854011e-13,2.2608317863474394e-11,1.8095700202134242e-14,-6.359278676004781e-43,6.358385395103018e-43,1.1164847365448944e-43,0.0,0.0,1.3998774720800458e-05,-1.4000000000000005e-05,-6.830187973242083e-09,6.760158002219861e-09,-6.830187973242083e-09,6.786288462195998e-09,8.614848707814212e-11,5.004502650637852e-09,1.1487522631872171e-45,0.0,7.899316781183322e-34,0.0,8.830146998785664e-51,6.635631654204787e-06,3.103501246188466e-08,3.573511547753989e-36,5.248131820657617e-42,4.2221280678827824e-55,6.635631654204787e-06,3.103501246188466e-08,7.985774814541982e-45,3.990313652508209e-58,6.635631654204787e-06,3.103501246188466e-08,-5.090673357201539e-09,5.248131820657617e-42,4.2221280678827824e-55,7.985774814541982e-45,3.990313652508209e-58
1500,0.0003333000873458669,0.0003333000873458669,0.0003333000873458669,6.473563799749795e-14,1.1217744529051978e-13,5.108358486834619e-11,6.7743359666413545e-18,8.147294980772666e-11,2.313869497002324e-13,2.7408393559405965e-11,2.1938109432455585e-14,-8.799629424953824e-43,8.798385486085929e-43,1.5547606692880495e-43,0.0,0.0,1.499859348599792e-05,-1.5000000000000005e-05,-7.483293901100649e-09,7.401804336350231e-09,-7.483293901100649e-09,7.432203672749844e-09,9.916604363236699e-11,5.387481597441746e-09,1.6479382805515096e-45,0.0,1.0731000855687644e-33,0.0,1.2689634471981537e-50,6.633420679200564e-06,3.324598746610706e-08,4.9053778449455626e-36,7.261846309115923e-42,6.0671121751962914e-55,6.633420679200564e-06,3.324598746610706e-08,1.128006263015477e-44,5.852770686435954e-58,6.633420679200564e-06,3.324598746610706e-08,-5.4866756907644695e-09,7.261846309115923e-42,6.0671121751962914e-55,1.128006263015477e-44,5.852770686435954e-58
