milliseconds,P,I,M,T,U
0,1.0372418587500787,0.9837537300017409,1.1134097179110625,0.7266583282083185,0.29690724492294396
100,0.9968585019587461,0.9535512298844414,1.3652573351579536,1.5904337732553946,0.3924576444245269
200,1.0507030563597377,0.8397928783398481,1.6821909316269386,2.167440882957451,0.16950335131950411
300,1.1060191501314738,0.7855370850723725,2.020191956036713,2.21280642724839,2.353504191193979
400,1.0718104148281256,0.7461391477167875,2.1277071324357952,2.937955418927333,1.7175183865225985
500,1.1425757339814269,0.6603929426481909,1.9858161006001818,3.0847520274274918,2.1488058025483023
600,1.1745958227655804,0.5743582239229156,2.685233899417741,3.1712886034703898,3.153721813905312
700,1.1686678508249604,0.5175379342974441,3.09023124566238,3.984823472673999,1.3259030898484905
800,1.2132795688513127,0.4617619055917174,3.1645867542942163,3.9310943170819708,3.6911929584399976
900,1.2190659535001103,0.42719021060424855,2.9689090547840578,4.6074724147159705,2.3618127054909417
1000,1.243915212094822,0.3820407352552091,3.759404880256225,4.683421638176328,2.7148639259959824
1100,1.3362367973621003,0.3233668776847307,3.5470290362025096,5.378677770282321,4.199179063289659
1200,1.302117878809535,0.2752933477029126,4.177424984804019,5.665309406780643,6.094160737473763
1300,1.3327373192169505,0.2298637281092158,4.023353899409407,5.536551862507098,5.979421371990166
1400,1.3921930476918838,0.15327717329705365,4.502324361596961,6.198939569900009,7.222095947385282
1500,1.4451465352516963,0.16442402656640454,5.052040898926068,6.215877530504322,6.790046674893184
1600,1.4814657793086428,0.13473912653173395,4.9069543798986945,6.320653598918724,8.63981302237241
1700,1.491921028879781,0.11349287740682988,5.659030817190059,6.901159032768866,7.591180532293889
1800,1.4874113897106747,0.09814230092588955,5.549577277836399,7.128951525096229,10.220292350158651
1900,1.533261957282809,0.07672461471862912,6.02053850901623,6.918238834591894,9.62667162475916
2000,1.5356966975546111,0.06554022756369769,6.867862494820471,7.560762929031617,9.858504171502748
2100,1.6230604366097106,0.047807964372937675,6.58215186533741,7.528580242257449,10.618134559675598
2200,1.5979056951825175,0.03242775291148988,6.567084967481934,7.542101643902334,11.026072381521127
2300,1.6680558861073291,0.03346084417211076,6.941792992696646,7.83272617322487,13.294036068977663
2400,1.716007093991652,-0.005190433905406237,7.659356897836112,7.997433328199042,15.247455834336018
2500,1.7383430704731062,0.002790225653958445,8.482298478145324,8.334392618618764,16.29064035472608
2600,1.7566447388407191,0.013655985349665882,8.131580519235666,8.381455246033964,16.772020889422627
2700,1.729495086386157,-0.009587780449909458,8.456778870746803,8.308378724310238,17.80868920081835
2800,1.7928497684728468,-0.0012452220949122801,8.663066830523729,8.89884885354876,18.296258208297836
2900,1.8093091898305018,0.016568747283658824,9.588692388001196,9.172704405862497,19.72759411455506
3000,1.8277283295380993,0.022525691161218588,9.448535453783276,9.001267429924853,20.42659372064649
3100,1.8826980242614677,0.025514914718697972,10.417555010448192,9.375040245385444,21.09610365809522
3200,1.8931942444491667,0.021787498286150803,9.980061599361127,9.48429508110675,22.55997452859392
3300,1.9237644753402352,0.022413319550525074,10.888801786894637,9.535339959598028,23.310696999512825
3400,1.894628268807272,0.025715652426133235,11.230215120809959,9.694219001903818,25.474668261059524
3500,1.928924037080955,0.031249189989536547,11.307054796574473,9.685244956011308,24.177490331143904
3600,1.9456108269471057,0.03150583451575515,12.02874881951633,9.924201440373707,26.38656532180461
3700,1.9615757962515952,-0.005071189300644289,11.770327997734325,9.82102687241366,26.944779675962526
3800,2.017823096877962,-0.02175503991423415,12.635028667391097,10.126756281489612,29.53419546648162
3900,2.0556241153403985,0.005805351488288386,12.413580951448168,10.263093916886717,30.294360008902153
4000,2.0185123935930434,-0.010151078946541386,13.372419553842597,10.14130617325481,31.194447852084178
4100,2.0914382277051384,0.009212133512783306,13.77682857542185,10.096197651796594,31.46544345535455
4200,2.0613964159331513,0.0009077053494238783,13.968542576022333,10.330565919758437,32.99449231343466
4300,2.1131088992444504,-0.00797384573606378,13.960700523627308,10.634342935977758,34.14404664840497
4400,2.098596529123819,0.011881679611378431,14.765950282881576,10.785215792140638,36.88715992924148
4500,2.1214103369505124,0.019222452632990404,14.645463385744435,10.609993806422045,35.55197077172838
4600,2.164089432795465,0.020942900087501364,15.464454851650695,10.918476214614437,38.93423425886363
4700,2.1289734481109592,0.0136963145720187,15.41205062625591,10.499132695442494,39.72912628202611
4800,2.1991509300024528,0.007930384089000476,16.4121418015158,11.024263306049782,41.57125006925469
4900,2.1790323481196117,0.026661103219757815,16.948486818715878,10.728639709691144,42.16990576787508
5000,2.215755956966603,0.029545336850964835,16.87779824481101,11.120672347485556,42.54167005688665
