milliseconds,C,I
0,0.9788134445442168,99.9991558498031
100,1.0141175382924157,100.00052713595886
200,1.026365062376054,100.00265593101052
300,1.0619120119816639,100.00558191731677
400,1.0616162540180762,100.00943760220092
500,1.0918724261287467,100.01160751099226
600,1.1227090833288071,100.0130169737989
700,1.1352617010552915,100.01517444448336
800,1.1486050259070038,100.01713813655057
900,1.1911580935811175,100.01646208953392
1000,1.2268933070586416,100.01916287687453
1100,1.2143577782503014,100.02129320320806
1200,1.2359270888717202,100.024413700976
1300,1.2571891320995427,100.02741910603378
1400,1.2946487428683144,100.02867136765867
1500,1.3135935959857377,100.0297375946779
1600,1.3701316834482216,100.03285952235572
1700,1.3979223133577838,100.0352241196152
1800,1.3940441656077687,100.03605860195492
1900,1.4411104455416384,100.03720891861354
2000,1.4780040007600588,100.04025252807044
2100,1.5078137717090574,100.04407954047375
2200,1.5158072548306214,100.04413091218379
2300,1.5595042821794511,100.04697825697707
2400,1.5611641118925978,100.04834899205616
2500,1.6030466866797952,100.05169085554296
2600,1.6334680176641918,100.05490712845643
2700,1.6581454478623077,100.05624194094904
2800,1.7021900815537232,100.05895940247795
2900,1.7548360050187128,100.05859820227364
3000,1.7509292768233216,100.0638122667685
3100,1.81468921800649,100.06587186653023
3200,1.8475663781233993,100.06852833306765
3300,1.8621192680840275,100.06933184477444
3400,1.8821980469179211,100.07327402294393
3500,1.9274239270836366,100.07558813386686
3600,1.9629560732109876,100.07689942028715
3700,2.0329917916561313,100.08061595763857
3800,2.0635503037166667,100.08057143367799
3900,2.072125171756215,100.08334427979673
4000,2.115861659480956,100.08759957374322
4100,2.1836297552700468,100.08761504389051
4200,2.240888854125104,100.0904730922115
4300,2.2426483518007014,100.09524771592298
4400,2.307690042215754,100.0963998081594
4500,2.3595767245478165,100.1002710371765
4600,2.381197218815974,100.10078235876948
4700,2.4164660927340824,100.10344510869344
4800,2.4891828959115303,100.10918240247165
4900,2.524511483657419,100.10930584703488
5000,2.582896267726275,100.11282258419146
