miliseconds,C,I
0,0.990554330376971,100.00162300070794
100,1.0239111322962313,100.00158206832134
200,1.0483950248132607,100.00454511650914
300,1.0744160267585745,100.00533434861282
400,1.090117607505719,100.00769660040717
500,1.0924626615027897,100.00837184553527
600,1.1093463828894814,100.0119528362157
700,1.1432121912327884,100.01503140328074
800,1.1410763755972335,100.01551610309753
900,1.1746862318568458,100.01894877133228
1000,1.213909689022179,100.01843592257227
1100,1.2105325220004401,100.02112850977045
1200,1.2353547708611847,100.02265224450781
1300,1.2992166932114342,100.02625934321539
1400,1.3037335213161,100.02762421665354
1500,1.3390232456114917,100.0311861598529
1600,1.3752139448457175,100.0310416332183
1700,1.3912957600675158,100.03570658936886
1800,1.3865672010116719,100.03768579367706
1900,1.4534770880664956,100.03782758165187
2000,1.4712028068198455,100.04002157491736
2100,1.4966687318308771,100.04340244168081
2200,1.5203790094145997,100.04348678670516
2300,1.5390652397531042,100.04713186439842
2400,1.5554893304994202,100.05035229490049
2500,1.6186216352963965,100.05163985115739
2600,1.650512678979104,100.0547843864212
2700,1.6721425343286478,100.05641939579723
2800,1.6976380188839746,100.05641400015459
2900,1.7293370486302397,100.05887507033457
3000,1.7457002982509926,100.06168288238102
3100,1.801883271709447,100.0636456224991
3200,1.8255959459982773,100.06740065959846
3300,1.849455118593141,100.07103194150676
3400,1.8950000875414827,100.07244345389057
3500,1.936621746286829,100.07483854085469
3600,1.9645986458562423,100.0751897442506
3700,2.015773449041254,100.07873090564334
3800,2.0598993394102387,100.08196722279493
3900,2.0717570007960506,100.08364506936348
4000,2.11352493777469,100.08805828712501
4100,2.177336422042467,100.09006046440796
4200,2.235773771897345,100.09331005079382
4300,2.2731296294006342,100.09353147114216
4400,2.3158045413966346,100.09623760366011
4500,2.3451191172151087,100.09816640774085
4600,2.4077093962784755,100.10264047921872
4700,2.445625109821851,100.10558333628722
4800,2.501108916546863,100.10866276619285
4900,2.5361128556776604,100.11218076323597
5000,2.559314490315319,100.11204774553906
