miliseconds,C,I
0,0.9849197671772487,100.00055967802828
100,1.008188951562754,100.00087155789736
200,1.0330721603921678,100.00356241131139
300,1.0602853030878305,100.00459687188072
400,1.0631187459885085,100.00707646359406
500,1.0977847403548904,100.0085301324148
600,1.1024399786214276,100.01145675591097
700,1.1455009391796453,100.01309339711429
800,1.1733440622553557,100.01738101582515
900,1.170505433088624,100.0184235260336
1000,1.214999114027961,100.02125258767353
1100,1.2357830865127637,100.0216088720067
1200,1.2770450944291705,100.0245654619595
1300,1.2825743058901617,100.02658466084276
1400,1.2906963483508649,100.02933057119392
1500,1.3463920108993475,100.03044988118813
1600,1.35735667607791,100.03122625830214
1700,1.371478642987458,100.0353137021518
1800,1.4175889773801875,100.03503726135231
1900,1.4104012597647322,100.03796368164207
2000,1.4706462218914584,100.04158794166473
2100,1.507313328894914,100.04150606816835
2200,1.5162395456774562,100.0458237734639
2300,1.5525661541746554,100.04680621661953
2400,1.5969442423613838,100.04954026513313
2500,1.5982248615808397,100.05061410458617
2600,1.6261142142819207,100.05403587623574
2700,1.65000628322336,100.055052398487
2800,1.6919321487837815,100.05936894737968
2900,1.7145736816656427,100.06100873816764
3000,1.77171701695411,100.06182905500415
3100,1.790393768035319,100.06539950128658
3200,1.853314537426392,100.06866490035692
3300,1.8709777175272724,100.0682677666918
3400,1.925188941734154,100.07190323202366
3500,1.9367625123369134,100.07455543375839
3600,1.9884360919569728,100.0755796017749
3700,2.021284840136402,100.08025733069113
3800,2.034285762182434,100.08291123397694
3900,2.0749162553561438,100.08422841050782
4000,2.1369679381305184,100.08583521535316
4100,2.179767915494599,100.0878756630616
4200,2.23441652195471,100.09277240771151
4300,2.2743493407145774,100.09316296037908
4400,2.281666655494488,100.09783517121069
4500,2.3241922325456343,100.099139607772
4600,2.3714682824217976,100.10389783092727
4700,2.4456677567309244,100.10365502720201
4800,2.471404742964605,100.10764748788239
4900,2.5536482891496073,100.10994712330138
5000,2.5883900659095618,100.11342774229077
