milliseconds,C,I
0,1.0141571552443134,99.99960982777984
100,1.0206738193435771,100.00329366673022
200,1.0420730940147471,100.0032258893499
300,1.0610472680049838,100.00738376803571
400,1.0613362904386126,100.00668632797633
500,1.081580512120125,100.01160206742541
600,1.1075279514211889,100.01269712555414
700,1.155918184757637,100.013088522184
800,1.182870378552192,100.01527215722425
900,1.1916923519569513,100.0184494362001
1000,1.2137540339097912,100.0188190280885
1100,1.2496380926217043,100.02217252432952
1200,1.2441169537008143,100.02285627936327
1300,1.2701121265925963,100.02662023183608
1400,1.3116308004066404,100.0289668849275
1500,1.319629026030858,100.02922140448362
1600,1.3452276607477418,100.03207304648066
1700,1.3848403451359341,100.03427513938576
1800,1.4161180580477881,100.03670825527585
1900,1.415628599983519,100.03791392071373
2000,1.4605602272646985,100.04170686596615
2100,1.5094417965077003,100.04203220401415
2200,1.540516985303324,100.04552802983103
2300,1.5463545193728012,100.04630699147651
2400,1.596258015278596,100.0505394756211
2500,1.6214788990912903,100.05204927618016
2600,1.6551755352054038,100.05408338992163
2700,1.688313466527423,100.05600035142129
2800,1.6845773962173207,100.05922786475497
2900,1.7482707872018493,100.06052536439577
3000,1.7596216179144017,100.06149746756192
3100,1.7996647887510864,100.06636993841792
3200,1.8252949144968451,100.06835257953158
3300,1.8694132979810854,100.06790089392521
3400,1.8955028893812587,100.072280707242
3500,1.9421767791673359,100.07526661090246
3600,1.9632262709088828,100.07802367628796
3700,2.025035544272061,100.07792484492074
3800,2.064525862553527,100.08132102547908
3900,2.0802156030304944,100.08278732378973
4000,2.1362919033593286,100.0874800078018
4100,2.1633239471228034,100.09008849406204
4200,2.213527678825709,100.09204027391021
4300,2.239866127088455,100.09507608609364
4400,2.2855415740990668,100.09814129062902
4500,2.370599406786451,100.09907138523873
4600,2.3898913015711343,100.10107740528326
4700,2.441671876593715,100.10622527464389
4800,2.494223298188231,100.10707185842898
4900,2.516791942576577,100.11233754942118
5000,2.567113603134285,100.11420670478435
